Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,514.21,280.01,4.636,-0.31328,0.0041,0.0046,0.0036,1244.444,9.657e-05,9.657e-05,9.657e-05
1,474.74,323.8,4.736,-0.31292,0.0195,0.019,0.02,1244.444,0.0002044,0.0002044,0.0002044
2,204.66,191.19,4.819,-0.3113,0.0393,0.041,0.0376,1244.444,0.0002659,0.0002659,0.0002659
3,306.92,231.66,4.747,-0.31115,0.0145,0.0114,0.0176,1244.444,0.0001508,0.0001508,0.0001508
4,203.09,212.72,4.788,-0.31095,0.0148,0.0122,0.0174,1244.444,0.0002318,0.0002318,0.0002318
5,212.76,177.45,4.851,-0.31057,0.0323,0.0154,0.0492,1244.444,0.0004169,0.0004169,0.0004169
6,302.71,91.59,4.9,-0.30906,0.1022,0.0884,0.116,1244.444,0.000203,0.000203,0.000203
7,136.35,57.0,4.756,-0.311,0.007,0.0088,0.0052,1244.444,0.0008135,0.0008135,0.0008135
8,280.51,58.46,4.813,-0.31335,0.0132,0.015,0.0114,1244.444,0.0003237,0.0003237,0.0003237
9,244.26,76.3,4.637,-0.3224,0.0309,0.0244,0.0374,1244.444,0.0001464,0.0001464,0.0001464
10,257.65,191.23,4.804,-0.31123,0.0101,0.0144,0.0058,1244.444,0.000172,0.000172,0.000172
11,204.49,66.79,4.743,-0.31179,0.0075,0.0064,0.0086,1244.444,0.0001761,0.0001761,0.0001761
12,235.28,213.5,4.626,-0.31372,0.0111,0.0122,0.01,1244.444,0.0001531,0.0001531,0.0001531
13,373.21,332.28,4.557,-0.31378,0.0464,0.052,0.0408,1244.444,0.0001169,0.0001169,0.0001169
14,360.11,22.68,4.509,-0.31577,0.0131,0.0214,0.0048,1244.444,0.0002964,0.0002964,0.0002964
15,532.54,333.79,4.599,-0.32045,0.0437,0.0546,0.0328,1244.444,0.00308,0.00308,0.00308
16,194.76,33.15,4.937,-0.30883,0.0615,0.056,0.067,1244.444,0.00194,0.00194,0.00194
17,281.66,93.56,4.753,-0.31153,0.0095,0.0096,0.0094,1244.444,0.0006053,0.0006053,0.0006053
18,320.06,63.88,4.659,-0.28926,0.028,0.0282,0.0278,1244.444,0.0006265,0.0006265,0.0006265
19,196.78,18.55,4.821,-0.31198,0.0348,0.0426,0.027,1244.444,0.0001985,0.0001985,0.0001985
20,455.3,54.81,4.738,-0.31197,0.0333,0.0342,0.0324,1244.444,0.0008395,0.0008395,0.0008395
21,149.48,23.84,4.774,-0.31143,0.0324,0.0334,0.0314,1244.444,0.0002547,0.0002547,0.0002547
22,415.58,218.93,4.668,-0.31332,0.0126,0.0184,0.0068,1244.444,0.0002249,0.0002249,0.0002249
23,443.86,55.03,4.758,-0.31174,0.0313,0.0396,0.023,1244.444,0.0002265,0.0002265,0.0002265
24,315.29,22.33,4.611,-0.31355,0.0264,0.0218,0.031,1244.444,0.0003068,0.0003068,0.0003068
25,377.74,358.49,4.732,-0.31226,0.023,0.023,0.023,1244.444,0.0002418,0.0002418,0.0002418
26,291.53,155.38,4.777,-0.31228,0.0073,0.007,0.0076,1244.444,0.0001495,0.0001495,0.0001495
27,436.95,129.83,4.68,-0.31283,0.0052,0.0062,0.0042,1244.444,0.0001616,0.0001616,0.0001616
28,170.49,64.25,4.743,-0.27186,0.0478,0.0338,0.0618,1244.444,0.0002614,0.0002614,0.0002614
29,342.76,178.25,4.792,-0.32426,0.0158,0.0222,0.0094,1244.444,0.0002708,0.0002708,0.0002708
30,478.79,266.38,4.693,-0.31268,0.0058,0.0082,0.0034,1244.444,0.0001069,0.0001069,0.0001069
31,223.36,28.67,5.058,-0.30701,0.0145,0.016,0.013,1244.444,0.0006029,0.0006029,0.0006029
32,289.25,350.73,4.93,-0.30828,0.0253,0.0228,0.0278,1244.444,0.0002654,0.0002654,0.0002654
33,474.18,387.84,4.677,-0.31373,0.0138,0.0162,0.0114,1244.444,6.931e-05,6.931e-05,6.931e-05
34,259.44,55.21,4.71,-0.2877,0.0889,0.0446,0.1332,1244.444,0.0003515,0.0003515,0.0003515
35,384.46,61.06,4.915,-0.3092,0.0142,0.0168,0.0116,1244.444,0.0001551,0.0001551,0.0001551
36,215.88,53.33,4.854,-0.31028,0.0085,0.012,0.005,1244.444,0.0002374,0.0002374,0.0002374
37,486.16,194.99,4.594,-0.31539,0.0129,0.0136,0.0122,1244.444,0.0001133,0.0001133,0.0001133
38,430.99,130.83,4.486,-0.31594,0.0139,0.0144,0.0134,1244.444,0.0002207,0.0002207,0.0002207
39,519.43,208.6,4.574,-0.31403,0.0109,0.0118,0.01,1244.444,0.0001461,0.0001461,0.0001461
40,294.63,224.39,4.706,-0.31264,0.0111,0.0156,0.0066,1244.444,0.0002469,0.0002469,0.0002469
41,254.12,226.95,4.815,-0.31264,0.0047,0.0068,0.0026,1244.444,0.0001327,0.0001327,0.0001327
42,388.64,304.77,4.655,-0.31429,0.0449,0.0442,0.0456,1244.444,0.0001964,0.0001964,0.0001964
43,401.99,199.9,4.755,-0.31328,0.037,0.023,0.051,1244.444,0.0001223,0.0001223,0.0001223
44,280.97,211.64,4.868,-0.3105,0.006,0.0074,0.0046,1244.444,0.0001276,0.0001276,0.0001276
45,181.65,315.04,4.763,-0.31105,0.0081,0.007,0.0092,1244.444,0.0002004,0.0002004,0.0002004
46,158.25,191.1,4.674,-0.31335,0.0072,0.0112,0.0032,1244.444,0.000154,0.000154,0.000154
47,166.71,92.8,4.795,-0.31225,0.0092,0.0108,0.0076,1244.444,0.0001509,0.0001509,0.0001509
48,270.26,250.91,4.707,-0.31165,0.0114,0.0124,0.0104,1244.444,0.0001568,0.0001568,0.0001568
49,230.1,194.35,4.811,-0.31113,0.0046,0.0062,0.003,1244.444,0.0001783,0.0001783,0.0001783
50,287.54,192.96,4.879,-0.30969,0.0096,0.0056,0.0136,1244.444,0.0001586,0.0001586,0.0001586
51,339.94,307.89,4.767,-0.31094,0.011,0.0122,0.0098,1244.444,0.0001172,0.0001172,0.0001172
52,274.01,88.53,4.855,-0.3096,0.0121,0.009,0.0152,1244.444,0.0001943,0.0001943,0.0001943
53,394.85,257.82,4.768,-0.31056,0.0794,0.1218,0.037,1244.444,0.0001428,0.0001428,0.0001428
54,244.77,67.41,4.822,-0.31041,0.0104,0.0176,0.0032,1244.444,0.0002102,0.0002102,0.0002102
55,253.32,209.15,4.907,-0.30999,0.0059,0.0056,0.0062,1244.444,0.0001402,0.0001402,0.0001402
56,469.41,17.51,4.455,-0.31804,0.0143,0.0116,0.017,1244.444,0.0003063,0.0003063,0.0003063
57,414.48,91.01,4.835,-0.31002,0.0157,0.0128,0.0186,1244.444,0.0003857,0.0003857,0.0003857
58,393.12,291.81,4.709,-0.31367,0.0058,0.0054,0.0062,1244.444,0.000121,0.000121,0.000121
59,418.28,457.77,4.811,-0.31024,0.0055,0.0074,0.0036,1244.444,0.0001078,0.0001078,0.0001078
60,391.49,260.2,4.672,-0.31324,0.0067,0.0102,0.0032,1244.444,0.0001058,0.0001058,0.0001058
