Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0059,0.0064,0.0054,864.0,0.0002226,0.0002226,0.0002226
1,4.981,-0.30902,0.0031,0.003,0.0032,864.0,0.0001933,0.0001933,0.0001933
2,4.892,-0.3104,0.0174,0.0216,0.0132,864.0,0.0002775,0.0002775,0.0002775
3,4.944,-0.27711,0.076,0.0746,0.0774,864.0,0.0004652,0.0004652,0.0004652
4,4.987,-0.32195,0.3984,0.304,0.4928,864.0,0.00228,0.00228,0.00228
5,4.882,-0.31039,0.0618,0.0688,0.0548,864.0,0.0006727,0.0006727,0.0006727
6,4.969,-0.30806,0.0564,0.0676,0.0452,864.0,0.0003042,0.0003042,0.0003042
7,5.015,-0.30824,0.02,0.0054,0.0346,864.0,0.0003128,0.0003128,0.0003128
8,5.111,-0.3073,0.0102,0.0124,0.008,864.0,0.00028,0.00028,0.00028
9,4.972,-0.30941,0.3166,0.2846,0.3486,864.0,0.00536,0.00536,0.00536
10,4.876,-0.31036,0.1405,0.1514,0.1296,864.0,0.00816,0.00816,0.00816
11,5.132,-0.30673,0.2946,0.2814,0.3078,864.0,0.00354,0.00354,0.00354
12,4.831,-0.31113,0.4893,0.413,0.5656,864.0,0.00188,0.00188,0.00188
13,4.95,-0.30876,0.0333,0.0286,0.038,864.0,0.0004059,0.0004059,0.0004059
14,4.995,-0.30886,0.0091,0.014,0.0042,864.0,0.0003035,0.0003035,0.0003035
15,5.118,-0.30738,0.0095,0.012,0.007,864.0,0.00172,0.00172,0.00172
16,4.918,-0.3091,0.0052,0.0094,0.001,864.0,0.000182,0.000182,0.000182
17,5.003,-0.30763,0.0447,0.0502,0.0392,864.0,0.0003147,0.0003147,0.0003147
18,4.865,-0.31125,0.0392,0.0412,0.0372,864.0,0.0001817,0.0001817,0.0001817
19,5.104,-0.30768,0.0035,0.0054,0.0016,864.0,0.0002797,0.0002797,0.0002797
20,4.902,-0.30965,0.0118,0.013,0.0106,864.0,0.0002084,0.0002084,0.0002084
21,5.04,-0.30739,0.0042,0.0066,0.0018,864.0,0.0004866,0.0004866,0.0004866
22,4.979,-0.30076,0.0282,0.0262,0.0302,864.0,0.0003643,0.0003643,0.0003643
23,5.033,-0.30851,0.0117,0.0164,0.007,864.0,0.0003335,0.0003335,0.0003335
24,4.766,-0.30398,0.0441,0.0512,0.037,864.0,0.00114,0.00114,0.00114
25,4.87,-0.31089,0.0098,0.0124,0.0072,864.0,0.0002476,0.0002476,0.0002476
26,4.999,-0.30886,0.0044,0.007,0.0018,864.0,0.0003451,0.0003451,0.0003451
27,5.077,-0.30693,0.1074,0.1212,0.0936,864.0,0.0004046,0.0004046,0.0004046
28,5.198,-0.30578,0.0073,0.0094,0.0052,864.0,0.0001872,0.0001872,0.0001872
29,4.994,-0.30757,0.0848,0.0812,0.0884,864.0,0.0002683,0.0002683,0.0002683
30,5.083,-0.30708,0.011,0.0098,0.0122,864.0,0.0003446,0.0003446,0.0003446
31,5.129,-0.30656,0.0041,0.0052,0.003,864.0,0.0003197,0.0003197,0.0003197
32,5.204,-0.30413,0.0028,0.0042,0.0014,864.0,0.000237,0.000237,0.000237
33,4.953,-0.30938,0.1076,0.1604,0.0548,864.0,0.00102,0.00102,0.00102
34,4.937,-0.30923,0.0069,0.0086,0.0052,864.0,0.0002182,0.0002182,0.0002182
35,5.074,-0.30721,0.0102,0.0152,0.0052,864.0,0.0003807,0.0003807,0.0003807
36,5.102,-0.30593,0.0136,0.0122,0.015,864.0,0.0003639,0.0003639,0.0003639
37,5.168,-0.30222,0.0304,0.039,0.0218,864.0,0.00157,0.00157,0.00157
38,5.106,-0.30753,0.0087,0.0112,0.0062,864.0,0.0005315,0.0005315,0.0005315
39,5.018,-0.30838,0.0147,0.0144,0.015,864.0,0.0003793,0.0003793,0.0003793
40,5.163,-0.30613,0.0626,0.0664,0.0588,864.0,0.0005265,0.0005265,0.0005265
41,5.093,-0.30775,0.0847,0.0832,0.0862,864.0,0.0003644,0.0003644,0.0003644
42,4.925,-0.30938,0.0216,0.0298,0.0134,864.0,0.0001854,0.0001854,0.0001854
43,5.033,-0.30812,0.0095,0.0076,0.0114,864.0,0.0002936,0.0002936,0.0002936
44,5.116,-0.30753,0.0136,0.0248,0.0024,864.0,0.00094,0.00094,0.00094
45,4.88,-0.30948,0.0494,0.0612,0.0376,864.0,0.0002224,0.0002224,0.0002224
46,5.145,-0.30658,0.0035,0.0068,0.0002,864.0,0.0002516,0.0002516,0.0002516
47,5.001,-0.30885,0.0171,0.0212,0.013,864.0,0.000234,0.000234,0.000234
48,4.934,-0.309,0.022,0.0106,0.0334,864.0,0.0001505,0.0001505,0.0001505
49,5.116,-0.30701,0.0037,0.0058,0.0016,864.0,0.0002039,0.0002039,0.0002039
50,5.017,-0.30795,0.0657,0.0332,0.0982,864.0,0.0002551,0.0002551,0.0002551
51,5.209,-0.30446,0.0046,0.0074,0.0018,864.0,0.0003153,0.0003153,0.0003153
52,5.016,-0.30785,0.0063,0.011,0.0016,864.0,0.0005852,0.0005852,0.0005852
53,5.048,-0.30705,0.0593,0.0634,0.0552,864.0,0.00121,0.00121,0.00121
54,5.024,-0.30335,0.0241,0.0252,0.023,864.0,0.0002238,0.0002238,0.0002238
55,5.198,-0.30556,0.0021,0.004,0.0002,864.0,0.0002439,0.0002439,0.0002439
56,5.188,-0.30564,0.0049,0.0082,0.0016,864.0,0.0003336,0.0003336,0.0003336
57,5.093,-0.30621,0.0074,0.0108,0.004,864.0,0.0002801,0.0002801,0.0002801
58,4.965,-0.30941,0.0434,0.0442,0.0426,864.0,0.0001859,0.0001859,0.0001859
59,5.019,-0.30794,0.0192,0.0248,0.0136,864.0,0.0003628,0.0003628,0.0003628
60,5.141,-0.30605,0.0285,0.0418,0.0152,864.0,0.0025,0.0025,0.0025
61,4.875,-0.3101,0.0494,0.055,0.0438,864.0,0.0002151,0.0002151,0.0002151
62,4.961,-0.30931,0.01,0.0118,0.0082,864.0,0.0002256,0.0002256,0.0002256
63,5.045,-0.30798,0.0342,0.0178,0.0506,864.0,0.0002377,0.0002377,0.0002377
64,5.258,-0.30505,0.0252,0.025,0.0254,864.0,0.0002613,0.0002613,0.0002613
65,5.101,-0.30611,0.0024,0.0044,0.0004,864.0,0.000237,0.000237,0.000237
66,5.234,-0.29458,0.0155,0.0194,0.0116,864.0,0.00233,0.00233,0.00233
67,4.912,-0.30058,0.0973,0.1068,0.0878,864.0,0.0006791,0.0006791,0.0006791
68,5.136,-0.30448,0.0049,0.0058,0.004,864.0,0.0002374,0.0002374,0.0002374
69,4.944,-0.30828,0.0045,0.0072,0.0018,864.0,0.0002503,0.0002503,0.0002503
70,5.155,-0.30506,0.0056,0.0082,0.003,864.0,0.0001868,0.0001868,0.0001868
71,5.119,-0.31568,0.0894,0.0856,0.0932,864.0,0.0004536,0.0004536,0.0004536
72,5.145,-0.3059,0.0087,0.014,0.0034,864.0,0.0004875,0.0004875,0.0004875
73,5.019,-0.30805,0.0033,0.0054,0.0012,864.0,0.0003649,0.0003649,0.0003649
74,4.874,-0.32062,0.0771,0.0834,0.0708,864.0,0.0002839,0.0002839,0.0002839
75,5.008,-0.30781,0.0073,0.0108,0.0038,864.0,0.0001769,0.0001769,0.0001769
76,4.904,-0.31017,0.0042,0.0076,0.0008,864.0,0.0001854,0.0001854,0.0001854
77,5.071,-0.30801,0.0712,0.0652,0.0772,864.0,0.00153,0.00153,0.00153
78,5.277,-0.3036,0.0023,0.0038,0.0008,864.0,0.0002567,0.0002567,0.0002567
79,5.017,-0.30802,0.0146,0.0144,0.0148,864.0,0.0003863,0.0003863,0.0003863
80,5.081,-0.30759,0.1056,0.0994,0.1118,864.0,0.0001953,0.0001953,0.0001953
81,4.945,-0.3096,0.096,0.0418,0.1502,864.0,0.0001965,0.0001965,0.0001965
82,5.08,-0.30778,0.0376,0.0438,0.0314,864.0,0.0005278,0.0005278,0.0005278
83,5.052,-0.30815,0.0273,0.0294,0.0252,864.0,0.000638,0.000638,0.000638
84,4.909,-0.30897,0.004,0.0068,0.0012,864.0,0.0002849,0.0002849,0.0002849
85,5.092,-0.30693,0.0021,0.0034,0.0008,864.0,0.0001833,0.0001833,0.0001833
86,4.931,-0.30902,0.0084,0.012,0.0048,864.0,0.0002849,0.0002849,0.0002849
87,5.195,-0.30516,0.0132,0.0158,0.0106,864.0,0.000272,0.000272,0.000272
88,5.097,-0.30661,0.0477,0.0452,0.0502,864.0,0.0003114,0.0003114,0.0003114
89,4.958,-0.30863,0.0044,0.0076,0.0012,864.0,0.0007761,0.0007761,0.0007761
90,5.256,-0.3033,0.0037,0.0064,0.001,864.0,0.0003053,0.0003053,0.0003053
91,5.057,-0.30788,0.0406,0.0192,0.062,864.0,0.0005767,0.0005767,0.0005767
92,5.124,-0.30626,0.0057,0.0094,0.002,864.0,0.0004799,0.0004799,0.0004799
93,5.14,-0.30575,0.0033,0.0062,0.0004,864.0,0.0004279,0.0004279,0.0004279
94,5.176,-0.30523,0.0191,0.023,0.0152,864.0,0.0003255,0.0003255,0.0003255
