Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0078,0.008,0.0076,864.0,0.0002221,0.0002221,0.0002221
1,4.981,-0.30902,0.0054,0.0058,0.005,864.0,0.0002278,0.0002278,0.0002278
2,4.892,-0.3104,0.0241,0.0276,0.0206,864.0,0.0002608,0.0002608,0.0002608
3,4.944,-0.27711,0.0986,0.0936,0.1036,864.0,0.0004623,0.0004623,0.0004623
4,4.987,-0.32195,0.3163,0.298,0.3346,864.0,0.00207,0.00207,0.00207
5,4.882,-0.31039,0.0989,0.1022,0.0956,864.0,0.0005991,0.0005991,0.0005991
6,4.969,-0.30806,0.0953,0.0618,0.1288,864.0,0.0002882,0.0002882,0.0002882
7,5.015,-0.30824,0.0291,0.0132,0.045,864.0,0.000337,0.000337,0.000337
8,5.111,-0.3073,0.0075,0.01,0.005,864.0,0.0002857,0.0002857,0.0002857
9,4.972,-0.30941,0.2825,0.2624,0.3026,864.0,0.00646,0.00646,0.00646
10,4.876,-0.31036,0.1419,0.157,0.1268,864.0,0.00993,0.00993,0.00993
11,5.132,-0.30673,0.2565,0.2634,0.2496,864.0,0.00438,0.00438,0.00438
12,4.831,-0.31113,0.4811,0.6288,0.3334,864.0,0.00091,0.00091,0.00091
13,4.95,-0.30876,0.0134,0.0104,0.0164,864.0,0.0004239,0.0004239,0.0004239
14,4.995,-0.30886,0.0203,0.014,0.0266,864.0,0.0002544,0.0002544,0.0002544
15,5.118,-0.30738,0.0068,0.0092,0.0044,864.0,0.00147,0.00147,0.00147
16,4.918,-0.3091,0.0042,0.006,0.0024,864.0,0.0001554,0.0001554,0.0001554
17,5.003,-0.30763,0.033,0.037,0.029,864.0,0.0003301,0.0003301,0.0003301
18,4.865,-0.31125,0.0454,0.047,0.0438,864.0,0.0002185,0.0002185,0.0002185
19,5.104,-0.30768,0.0263,0.006,0.0466,864.0,0.0002341,0.0002341,0.0002341
20,4.902,-0.30965,0.0168,0.008,0.0256,864.0,0.0002078,0.0002078,0.0002078
21,5.04,-0.30739,0.0108,0.0182,0.0034,864.0,0.00112,0.00112,0.00112
22,4.979,-0.30076,0.0595,0.0272,0.0918,864.0,0.0002825,0.0002825,0.0002825
23,5.033,-0.30851,0.0204,0.0296,0.0112,864.0,0.0002439,0.0002439,0.0002439
24,4.766,-0.30398,0.045,0.0494,0.0406,864.0,0.00159,0.00159,0.00159
25,4.87,-0.31089,0.0067,0.0082,0.0052,864.0,0.0002433,0.0002433,0.0002433
26,4.999,-0.30886,0.006,0.0104,0.0016,864.0,0.00097,0.00097,0.00097
27,5.077,-0.30693,0.0977,0.0946,0.1008,864.0,0.0004236,0.0004236,0.0004236
28,5.198,-0.30578,0.0055,0.0078,0.0032,864.0,0.0003133,0.0003133,0.0003133
