Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0025,0.0046,0.0004,864.0,0.0001982,0.0001982,0.0001982
1,4.981,-0.30902,0.0039,0.0036,0.0042,864.0,0.0001702,0.0001702,0.0001702
2,4.892,-0.3104,0.0264,0.0302,0.0226,864.0,0.0002603,0.0002603,0.0002603
3,4.944,-0.27711,0.099,0.0968,0.1012,864.0,0.0004201,0.0004201,0.0004201
4,4.987,-0.32195,0.3164,0.3334,0.2994,864.0,0.00102,0.00102,0.00102
5,4.882,-0.31039,0.0913,0.0952,0.0874,864.0,0.0005896,0.0005896,0.0005896
6,4.969,-0.30806,0.0568,0.0556,0.058,864.0,0.0002762,0.0002762,0.0002762
7,5.015,-0.30824,0.0064,0.0066,0.0062,864.0,0.0004033,0.0004033,0.0004033
8,5.111,-0.3073,0.013,0.0154,0.0106,864.0,0.0003166,0.0003166,0.0003166
9,4.972,-0.30941,0.329,0.2816,0.3764,864.0,0.007,0.007,0.007
10,4.876,-0.31036,0.1528,0.1556,0.15,864.0,0.0111,0.0111,0.0111
11,5.132,-0.30673,0.2356,0.2448,0.2264,864.0,0.00404,0.00404,0.00404
12,4.831,-0.31113,0.4758,0.6178,0.3338,864.0,0.0011,0.0011,0.0011
13,4.95,-0.30876,0.0096,0.0098,0.0094,864.0,0.0004508,0.0004508,0.0004508
14,4.995,-0.30886,0.0075,0.0084,0.0066,864.0,0.0002171,0.0002171,0.0002171
15,5.118,-0.30738,0.0068,0.0076,0.006,864.0,0.00237,0.00237,0.00237
16,4.918,-0.3091,0.021,0.0166,0.0254,864.0,0.0001637,0.0001637,0.0001637
17,5.003,-0.30763,0.0259,0.0338,0.018,864.0,0.000304,0.000304,0.000304
18,4.865,-0.31125,0.0542,0.0546,0.0538,864.0,0.0002302,0.0002302,0.0002302
19,5.104,-0.30768,0.0058,0.0096,0.002,864.0,0.0003316,0.0003316,0.0003316
20,4.902,-0.30965,0.0077,0.0118,0.0036,864.0,0.0002248,0.0002248,0.0002248
21,5.04,-0.30739,0.0101,0.0182,0.002,864.0,0.0007734,0.0007734,0.0007734
22,4.979,-0.30076,0.0118,0.0166,0.007,864.0,0.0003357,0.0003357,0.0003357
23,5.033,-0.30851,0.0134,0.0194,0.0074,864.0,0.0002658,0.0002658,0.0002658
24,4.766,-0.30398,0.0459,0.0532,0.0386,864.0,0.00241,0.00241,0.00241
25,4.87,-0.31089,0.0111,0.0152,0.007,864.0,0.0002241,0.0002241,0.0002241
26,4.999,-0.30886,0.0059,0.0092,0.0026,864.0,0.0008432,0.0008432,0.0008432
27,5.077,-0.30693,0.0877,0.0904,0.085,864.0,0.0003557,0.0003557,0.0003557
28,5.198,-0.30578,0.005,0.0068,0.0032,864.0,0.0002328,0.0002328,0.0002328
29,4.994,-0.30757,0.0687,0.0782,0.0592,864.0,0.0002105,0.0002105,0.0002105
30,5.083,-0.30708,0.0049,0.008,0.0018,864.0,0.000312,0.000312,0.000312
31,5.129,-0.30656,0.0027,0.0032,0.0022,864.0,0.0004572,0.0004572,0.0004572
32,5.204,-0.30413,0.0041,0.0068,0.0014,864.0,0.0002259,0.0002259,0.0002259
33,4.953,-0.30938,0.0181,0.0194,0.0168,864.0,0.0007238,0.0007238,0.0007238
34,4.937,-0.30923,0.0085,0.0104,0.0066,864.0,0.000249,0.000249,0.000249
35,5.074,-0.30721,0.0042,0.008,0.0004,864.0,0.0004237,0.0004237,0.0004237
36,5.102,-0.30593,0.0046,0.007,0.0022,864.0,0.0002624,0.0002624,0.0002624
37,5.168,-0.30222,0.03,0.042,0.018,864.0,0.00174,0.00174,0.00174
38,5.106,-0.30753,0.0092,0.0132,0.0052,864.0,0.0002785,0.0002785,0.0002785
39,5.018,-0.30838,0.0082,0.0132,0.0032,864.0,0.0002441,0.0002441,0.0002441
40,5.163,-0.30613,0.058,0.0554,0.0606,864.0,0.000386,0.000386,0.000386
41,5.093,-0.30775,0.0695,0.074,0.065,864.0,0.0003517,0.0003517,0.0003517
42,4.925,-0.30938,0.0221,0.0222,0.022,864.0,0.0003102,0.0003102,0.0003102
43,5.033,-0.30812,0.0375,0.0288,0.0462,864.0,0.0003127,0.0003127,0.0003127
44,5.116,-0.30753,0.0121,0.0222,0.002,864.0,0.00272,0.00272,0.00272
45,4.88,-0.30948,0.0545,0.0784,0.0306,864.0,0.0002056,0.0002056,0.0002056
46,5.145,-0.30658,0.0029,0.0058,0.0,864.0,0.0002112,0.0002112,0.0002112
47,5.001,-0.30885,0.0056,0.008,0.0032,864.0,0.0002585,0.0002585,0.0002585
48,4.934,-0.309,0.0066,0.0042,0.009,864.0,0.0001982,0.0001982,0.0001982
49,5.116,-0.30701,0.0043,0.0072,0.0014,864.0,0.0002138,0.0002138,0.0002138
50,5.017,-0.30795,0.0049,0.0042,0.0056,864.0,0.0003288,0.0003288,0.0003288
51,5.209,-0.30446,0.0041,0.0056,0.0026,864.0,0.0002478,0.0002478,0.0002478
52,5.016,-0.30785,0.009,0.0158,0.0022,864.0,0.00169,0.00169,0.00169
53,5.048,-0.30705,0.0548,0.0578,0.0518,864.0,0.00133,0.00133,0.00133
54,5.024,-0.30335,0.0166,0.0212,0.012,864.0,0.0005406,0.0005406,0.0005406
55,5.198,-0.30556,0.0022,0.0038,0.0006,864.0,0.000291,0.000291,0.000291
56,5.188,-0.30564,0.0049,0.0076,0.0022,864.0,0.0003056,0.0003056,0.0003056
57,5.093,-0.30621,0.0143,0.0178,0.0108,864.0,0.0002257,0.0002257,0.0002257
58,4.965,-0.30941,0.0563,0.0556,0.057,864.0,0.0001638,0.0001638,0.0001638
59,5.019,-0.30794,0.018,0.0224,0.0136,864.0,0.0002203,0.0002203,0.0002203
60,5.141,-0.30605,0.0163,0.0192,0.0134,864.0,0.0008889,0.0008889,0.0008889
61,4.875,-0.3101,0.0546,0.0578,0.0514,864.0,0.0002484,0.0002484,0.0002484
62,4.961,-0.30931,0.0084,0.0104,0.0064,864.0,0.0002045,0.0002045,0.0002045
63,5.045,-0.30798,0.0138,0.0068,0.0208,864.0,0.0002608,0.0002608,0.0002608
64,5.258,-0.30505,0.026,0.0266,0.0254,864.0,0.0002851,0.0002851,0.0002851
65,5.101,-0.30611,0.0037,0.0064,0.001,864.0,0.0002814,0.0002814,0.0002814
66,5.234,-0.29458,0.0176,0.0264,0.0088,864.0,0.00174,0.00174,0.00174
67,4.912,-0.30058,0.1005,0.102,0.099,864.0,0.0003069,0.0003069,0.0003069
68,5.136,-0.30448,0.0061,0.0068,0.0054,864.0,0.0002353,0.0002353,0.0002353
69,4.944,-0.30828,0.006,0.0114,0.0006,864.0,0.0002351,0.0002351,0.0002351
70,5.155,-0.30506,0.0064,0.0104,0.0024,864.0,0.0002147,0.0002147,0.0002147
71,5.119,-0.31568,0.0844,0.0932,0.0756,864.0,0.0005656,0.0005656,0.0005656
72,5.145,-0.3059,0.0056,0.0094,0.0018,864.0,0.0002253,0.0002253,0.0002253
73,5.019,-0.30805,0.0292,0.0122,0.0462,864.0,0.0001808,0.0001808,0.0001808
74,4.874,-0.32062,0.0743,0.0816,0.067,864.0,0.0002485,0.0002485,0.0002485
75,5.008,-0.30781,0.0064,0.0094,0.0034,864.0,0.0002165,0.0002165,0.0002165
76,4.904,-0.31017,0.0017,0.0032,0.0002,864.0,0.0002039,0.0002039,0.0002039
77,5.071,-0.30801,0.1123,0.0758,0.1488,864.0,0.000582,0.000582,0.000582
78,5.277,-0.3036,0.0033,0.0052,0.0014,864.0,0.0003187,0.0003187,0.0003187
79,5.017,-0.30802,0.0137,0.0158,0.0116,864.0,0.0005035,0.0005035,0.0005035
80,5.081,-0.30759,0.1016,0.0992,0.104,864.0,0.0001938,0.0001938,0.0001938
81,4.945,-0.3096,0.076,0.026,0.126,864.0,0.0001604,0.0001604,0.0001604
82,5.08,-0.30778,0.0296,0.0358,0.0234,864.0,0.0008218,0.0008218,0.0008218
83,5.052,-0.30815,0.0254,0.0252,0.0256,864.0,0.0007023,0.0007023,0.0007023
84,4.909,-0.30897,0.0027,0.005,0.0004,864.0,0.0001819,0.0001819,0.0001819
85,5.092,-0.30693,0.0037,0.007,0.0004,864.0,0.0002028,0.0002028,0.0002028
86,4.931,-0.30902,0.0062,0.0082,0.0042,864.0,0.0002036,0.0002036,0.0002036
87,5.195,-0.30516,0.0219,0.0232,0.0206,864.0,0.0002787,0.0002787,0.0002787
88,5.097,-0.30661,0.0255,0.0232,0.0278,864.0,0.0002499,0.0002499,0.0002499
89,4.958,-0.30863,0.0068,0.0108,0.0028,864.0,0.0002677,0.0002677,0.0002677
90,5.256,-0.3033,0.0048,0.0066,0.003,864.0,0.0002413,0.0002413,0.0002413
91,5.055,-0.30788,0.0733,0.132,0.0146,864.0,0.04036,0.04036,0.04036
92,5.124,-0.30626,0.0053,0.0086,0.002,864.0,0.0002093,0.0002093,0.0002093
93,5.14,-0.30575,0.0032,0.0046,0.0018,864.0,0.0002658,0.0002658,0.0002658
94,5.176,-0.30523,0.0059,0.0068,0.005,864.0,0.0003648,0.0003648,0.0003648
95,5.221,-0.30548,0.0416,0.0454,0.0378,864.0,0.0003739,0.0003739,0.0003739
96,5.142,-0.30586,0.0233,0.0286,0.018,864.0,0.0002501,0.0002501,0.0002501
97,5.052,-0.30754,0.0077,0.0074,0.008,864.0,0.0002479,0.0002479,0.0002479
98,5.122,-0.29461,0.0321,0.0346,0.0296,864.0,0.01502,0.01502,0.01502
99,5.175,-0.30474,0.0613,0.0548,0.0678,864.0,0.0028,0.0028,0.0028
100,5.028,-0.30765,0.0184,0.026,0.0108,864.0,0.0001953,0.0001953,0.0001953
101,5.095,-0.30715,0.005,0.0066,0.0034,864.0,0.0001597,0.0001597,0.0001597
102,4.985,-0.30865,0.0238,0.0132,0.0344,864.0,0.0002172,0.0002172,0.0002172
103,5.226,-0.30411,0.0876,0.1738,0.0014,864.0,0.01923,0.01923,0.01923
104,5.135,-0.30632,0.0097,0.007,0.0124,864.0,0.0002987,0.0002987,0.0002987
105,4.985,-0.30863,0.0106,0.0126,0.0086,864.0,0.0001815,0.0001815,0.0001815
106,5.04,-0.30814,0.0094,0.0084,0.0104,864.0,0.0002846,0.0002846,0.0002846
107,5.122,-0.30525,0.0046,0.0062,0.003,864.0,0.0002196,0.0002196,0.0002196
108,5.254,-0.30352,0.0779,0.0752,0.0806,864.0,0.00129,0.00129,0.00129
109,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,5.292,-0.30295,0.0122,0.0142,0.0102,864.0,0.0002649,0.0002649,0.0002649
111,5.191,-0.3056,0.0033,0.0042,0.0024,864.0,0.0003112,0.0003112,0.0003112
112,5.215,-0.27862,0.0523,0.0568,0.0478,864.0,0.000632,0.000632,0.000632
113,5.17,-0.30616,0.025,0.028,0.022,864.0,0.0002424,0.0002424,0.0002424
114,5.27,-0.30316,0.0725,0.076,0.069,864.0,0.00257,0.00257,0.00257
115,5.12,-0.30653,0.0117,0.0124,0.011,864.0,0.0002681,0.0002681,0.0002681
116,5.017,-0.30771,0.0029,0.0052,0.0006,864.0,0.0001944,0.0001944,0.0001944
117,5.234,-0.30379,0.0028,0.0048,0.0008,864.0,0.0003686,0.0003686,0.0003686
118,5.114,-0.30676,0.0118,0.0126,0.011,864.0,0.0005518,0.0005518,0.0005518
119,5.271,-0.30461,0.0081,0.0078,0.0084,864.0,0.0001971,0.0001971,0.0001971
120,5.084,-0.30669,0.0029,0.0046,0.0012,864.0,0.0002342,0.0002342,0.0002342
121,4.996,-0.30827,0.0136,0.0196,0.0076,864.0,0.0001924,0.0001924,0.0001924
122,5.269,-0.30324,0.0017,0.0034,0.0,864.0,0.000264,0.000264,0.000264
123,5.108,-0.30626,0.0052,0.008,0.0024,864.0,0.00172,0.00172,0.00172
124,5.24,-0.29286,0.0174,0.0198,0.015,864.0,0.00248,0.00248,0.00248
125,5.037,-0.30725,0.0023,0.0044,0.0002,864.0,0.0001943,0.0001943,0.0001943
126,5.165,-0.30495,0.0038,0.0072,0.0004,864.0,0.0002313,0.0002313,0.0002313
