Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.017,0.018,0.016,864.0,0.0002189,0.0002189,0.0002189
1,4.981,-0.30902,0.0139,0.0054,0.0224,864.0,0.0001792,0.0001792,0.0001792
2,4.892,-0.3104,0.0278,0.0306,0.025,864.0,0.0002613,0.0002613,0.0002613
3,4.944,-0.27711,0.1435,0.1612,0.1258,864.0,0.00141,0.00141,0.00141
4,4.987,-0.32195,0.3632,0.3082,0.4182,864.0,0.00123,0.00123,0.00123
5,4.882,-0.31039,0.0754,0.0794,0.0714,864.0,0.0005749,0.0005749,0.0005749
6,4.969,-0.30806,0.0547,0.0664,0.043,864.0,0.0002667,0.0002667,0.0002667
7,5.015,-0.30824,0.0096,0.0046,0.0146,864.0,0.0003145,0.0003145,0.0003145
8,5.111,-0.3073,0.0101,0.0142,0.006,864.0,0.0002895,0.0002895,0.0002895
9,4.972,-0.30941,0.3108,0.3104,0.3112,864.0,0.00715,0.00715,0.00715
10,4.876,-0.31036,0.1385,0.1618,0.1152,864.0,0.00512,0.00512,0.00512
11,5.132,-0.30673,0.2879,0.2674,0.3084,864.0,0.00471,0.00471,0.00471
12,4.831,-0.31113,0.4875,0.479,0.496,864.0,0.00147,0.00147,0.00147
13,4.95,-0.30876,0.026,0.0238,0.0282,864.0,0.000638,0.000638,0.000638
14,4.995,-0.30886,0.011,0.01,0.012,864.0,0.0002521,0.0002521,0.0002521
15,5.118,-0.30738,0.0117,0.0128,0.0106,864.0,0.00141,0.00141,0.00141
16,4.918,-0.3091,0.0047,0.0062,0.0032,864.0,0.0002017,0.0002017,0.0002017
17,5.003,-0.30763,0.0597,0.0658,0.0536,864.0,0.00119,0.00119,0.00119
18,4.865,-0.31125,0.0431,0.0414,0.0448,864.0,0.0001972,0.0001972,0.0001972
19,5.104,-0.30768,0.0096,0.0064,0.0128,864.0,0.0002472,0.0002472,0.0002472
20,4.902,-0.30965,0.012,0.017,0.007,864.0,0.0002514,0.0002514,0.0002514
21,5.04,-0.30739,0.0031,0.0058,0.0004,864.0,0.0003838,0.0003838,0.0003838
22,4.979,-0.30076,0.0323,0.0324,0.0322,864.0,0.0004002,0.0004002,0.0004002
23,5.033,-0.30851,0.0162,0.0252,0.0072,864.0,0.0002876,0.0002876,0.0002876
24,4.766,-0.30398,0.0392,0.0446,0.0338,864.0,0.00181,0.00181,0.00181
25,4.87,-0.31089,0.0111,0.0148,0.0074,864.0,0.0002261,0.0002261,0.0002261
26,4.999,-0.30886,0.0047,0.0072,0.0022,864.0,0.0002236,0.0002236,0.0002236
27,5.077,-0.30693,0.1054,0.1128,0.098,864.0,0.0003813,0.0003813,0.0003813
28,5.198,-0.30578,0.0095,0.0096,0.0094,864.0,0.0002566,0.0002566,0.0002566
29,4.994,-0.30757,0.0844,0.0856,0.0832,864.0,0.0002748,0.0002748,0.0002748
30,5.083,-0.30708,0.0103,0.0052,0.0154,864.0,0.0003324,0.0003324,0.0003324
31,5.129,-0.30656,0.0033,0.0044,0.0022,864.0,0.0002952,0.0002952,0.0002952
32,5.204,-0.30413,0.0051,0.0076,0.0026,864.0,0.0002125,0.0002125,0.0002125
33,4.953,-0.30938,0.2308,0.3646,0.097,864.0,0.0011,0.0011,0.0011
34,4.937,-0.30923,0.0098,0.0114,0.0082,864.0,0.0001955,0.0001955,0.0001955
35,5.074,-0.30721,0.0088,0.0146,0.003,864.0,0.000348,0.000348,0.000348
36,5.102,-0.30593,0.0103,0.0116,0.009,864.0,0.0004666,0.0004666,0.0004666
37,5.168,-0.30222,0.0311,0.0394,0.0228,864.0,0.00432,0.00432,0.00432
38,5.106,-0.30753,0.0076,0.0128,0.0024,864.0,0.0003775,0.0003775,0.0003775
39,5.018,-0.30838,0.0126,0.0152,0.01,864.0,0.0003549,0.0003549,0.0003549
40,5.163,-0.30613,0.0696,0.0694,0.0698,864.0,0.0004479,0.0004479,0.0004479
41,5.093,-0.30775,0.0766,0.0878,0.0654,864.0,0.0003384,0.0003384,0.0003384
42,4.925,-0.30938,0.0152,0.0174,0.013,864.0,0.0001963,0.0001963,0.0001963
43,5.033,-0.30812,0.0085,0.0046,0.0124,864.0,0.0002523,0.0002523,0.0002523
44,5.116,-0.30753,0.0112,0.0208,0.0016,864.0,0.0004084,0.0004084,0.0004084
45,4.88,-0.30948,0.0497,0.0688,0.0306,864.0,0.0002399,0.0002399,0.0002399
46,5.145,-0.30658,0.0038,0.0068,0.0008,864.0,0.0002123,0.0002123,0.0002123
47,5.001,-0.30885,0.0157,0.0188,0.0126,864.0,0.0002836,0.0002836,0.0002836
48,4.934,-0.309,0.0599,0.0402,0.0796,864.0,0.0001681,0.0001681,0.0001681
49,5.116,-0.30701,0.0058,0.0068,0.0048,864.0,0.0002012,0.0002012,0.0002012
50,5.017,-0.30795,0.0575,0.0368,0.0782,864.0,0.0001975,0.0001975,0.0001975
51,5.209,-0.30446,0.0082,0.0134,0.003,864.0,0.0004663,0.0004663,0.0004663
52,5.016,-0.30785,0.0495,0.0194,0.0796,864.0,0.0012,0.0012,0.0012
53,5.048,-0.30705,0.0611,0.0608,0.0614,864.0,0.00118,0.00118,0.00118
54,5.024,-0.30335,0.0207,0.0286,0.0128,864.0,0.000245,0.000245,0.000245
55,5.198,-0.30556,0.0052,0.0064,0.004,864.0,0.0002556,0.0002556,0.0002556
56,5.188,-0.30564,0.005,0.0064,0.0036,864.0,0.0003648,0.0003648,0.0003648
57,5.093,-0.30621,0.0108,0.0136,0.008,864.0,0.0002185,0.0002185,0.0002185
58,4.965,-0.30941,0.0347,0.0376,0.0318,864.0,0.0001734,0.0001734,0.0001734
59,5.019,-0.30794,0.0137,0.0164,0.011,864.0,0.0003491,0.0003491,0.0003491
60,5.141,-0.30605,0.0253,0.0314,0.0192,864.0,0.0026,0.0026,0.0026
61,4.875,-0.3101,0.0468,0.0542,0.0394,864.0,0.0002053,0.0002053,0.0002053
62,4.961,-0.30931,0.0166,0.0116,0.0216,864.0,0.0001815,0.0001815,0.0001815
63,5.045,-0.30798,0.023,0.0068,0.0392,864.0,0.0002365,0.0002365,0.0002365
64,5.258,-0.30505,0.0272,0.0278,0.0266,864.0,0.000259,0.000259,0.000259
65,5.101,-0.30611,0.0035,0.0068,0.0002,864.0,0.0002452,0.0002452,0.0002452
66,5.234,-0.29458,0.014,0.0206,0.0074,864.0,0.00192,0.00192,0.00192
67,4.912,-0.30058,0.0997,0.1156,0.0838,864.0,0.0002877,0.0002877,0.0002877
68,5.136,-0.30448,0.0118,0.0104,0.0132,864.0,0.000287,0.000287,0.000287
69,4.944,-0.30828,0.0062,0.01,0.0024,864.0,0.0003677,0.0003677,0.0003677
70,5.155,-0.30506,0.0058,0.0082,0.0034,864.0,0.00033,0.00033,0.00033
71,5.119,-0.31568,0.1019,0.0974,0.1064,864.0,0.0004293,0.0004293,0.0004293
72,5.145,-0.3059,0.0076,0.0096,0.0056,864.0,0.0002105,0.0002105,0.0002105
73,5.019,-0.30805,0.0421,0.011,0.0732,864.0,0.0001619,0.0001619,0.0001619
74,4.874,-0.32062,0.0764,0.0814,0.0714,864.0,0.0002377,0.0002377,0.0002377
75,5.008,-0.30781,0.0074,0.0108,0.004,864.0,0.0002224,0.0002224,0.0002224
76,4.904,-0.31017,0.0039,0.007,0.0008,864.0,0.0001963,0.0001963,0.0001963
77,5.071,-0.30801,0.083,0.0816,0.0844,864.0,0.00161,0.00161,0.00161
78,5.277,-0.3036,0.004,0.0048,0.0032,864.0,0.0003254,0.0003254,0.0003254
79,5.017,-0.30802,0.0163,0.0156,0.017,864.0,0.0004986,0.0004986,0.0004986
80,5.081,-0.30759,0.1122,0.1094,0.115,864.0,0.0001877,0.0001877,0.0001877
81,4.945,-0.3096,0.018,0.0144,0.0216,864.0,0.0002006,0.0002006,0.0002006
82,5.08,-0.30778,0.0363,0.0426,0.03,864.0,0.0006296,0.0006296,0.0006296
83,5.052,-0.30815,0.0319,0.0396,0.0242,864.0,0.0005041,0.0005041,0.0005041
84,4.909,-0.30897,0.0034,0.0064,0.0004,864.0,0.0003641,0.0003641,0.0003641
85,5.092,-0.30693,0.0034,0.006,0.0008,864.0,0.0001892,0.0001892,0.0001892
86,4.931,-0.30902,0.0092,0.0128,0.0056,864.0,0.0002476,0.0002476,0.0002476
87,5.195,-0.30516,0.016,0.0184,0.0136,864.0,0.0002588,0.0002588,0.0002588
88,5.097,-0.30661,0.0579,0.0592,0.0566,864.0,0.0002459,0.0002459,0.0002459
89,4.958,-0.30863,0.0115,0.0186,0.0044,864.0,0.0004812,0.0004812,0.0004812
90,5.256,-0.3033,0.005,0.0088,0.0012,864.0,0.0003127,0.0003127,0.0003127
91,5.057,-0.30788,0.0182,0.0216,0.0148,864.0,0.0005216,0.0005216,0.0005216
92,5.124,-0.30626,0.0028,0.0044,0.0012,864.0,0.0002517,0.0002517,0.0002517
93,5.14,-0.30575,0.0078,0.0092,0.0064,864.0,0.0002787,0.0002787,0.0002787
94,5.176,-0.30523,0.0157,0.0162,0.0152,864.0,0.0003672,0.0003672,0.0003672
95,5.221,-0.30548,0.1913,0.2052,0.1774,864.0,0.0004362,0.0004362,0.0004362
96,5.142,-0.30586,0.0483,0.0474,0.0492,864.0,0.0003634,0.0003634,0.0003634
97,5.052,-0.30754,0.0092,0.012,0.0064,864.0,0.0003449,0.0003449,0.0003449
98,5.122,-0.29461,0.0285,0.0322,0.0248,864.0,0.00395,0.00395,0.00395
99,5.175,-0.30474,0.0676,0.0604,0.0748,864.0,0.00183,0.00183,0.00183
100,5.028,-0.30765,0.0224,0.029,0.0158,864.0,0.0002289,0.0002289,0.0002289
101,5.095,-0.30715,0.0213,0.0194,0.0232,864.0,0.0002081,0.0002081,0.0002081
102,4.985,-0.30865,0.0041,0.0074,0.0008,864.0,0.0002072,0.0002072,0.0002072
103,5.227,-0.30411,0.1073,0.2078,0.0068,864.0,0.00701,0.00701,0.00701
104,5.135,-0.30632,0.0013,0.0024,0.0002,864.0,0.000222,0.000222,0.000222
105,4.985,-0.30863,0.0119,0.0126,0.0112,864.0,0.0001764,0.0001764,0.0001764
106,5.04,-0.30814,0.0308,0.016,0.0456,864.0,0.0002371,0.0002371,0.0002371
107,5.122,-0.30525,0.005,0.0078,0.0022,864.0,0.0002122,0.0002122,0.0002122
108,5.254,-0.30352,0.0676,0.0672,0.068,864.0,0.0008109,0.0008109,0.0008109
109,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,5.292,-0.30295,0.0072,0.0088,0.0056,864.0,0.0002523,0.0002523,0.0002523
111,5.191,-0.3056,0.0026,0.0044,0.0008,864.0,0.0002234,0.0002234,0.0002234
112,5.215,-0.27862,0.0533,0.0594,0.0472,864.0,0.0006795,0.0006795,0.0006795
113,5.17,-0.30616,0.0268,0.0272,0.0264,864.0,0.0002128,0.0002128,0.0002128
114,5.27,-0.30316,0.0846,0.0876,0.0816,864.0,0.00321,0.00321,0.00321
115,5.12,-0.30653,0.0222,0.013,0.0314,864.0,0.0003181,0.0003181,0.0003181
116,5.017,-0.30771,0.0033,0.0066,0.0,864.0,0.0001555,0.0001555,0.0001555
117,5.234,-0.30379,0.0023,0.004,0.0006,864.0,0.0002659,0.0002659,0.0002659
118,5.114,-0.30676,0.0204,0.0052,0.0356,864.0,0.0002301,0.0002301,0.0002301
119,5.271,-0.30461,0.0066,0.0078,0.0054,864.0,0.0002064,0.0002064,0.0002064
120,5.084,-0.30669,0.0035,0.0062,0.0008,864.0,0.0002587,0.0002587,0.0002587
121,4.996,-0.30827,0.015,0.0218,0.0082,864.0,0.0002885,0.0002885,0.0002885
122,5.269,-0.30324,0.0022,0.004,0.0004,864.0,0.0003028,0.0003028,0.0003028
123,5.108,-0.30626,0.0052,0.008,0.0024,864.0,0.00214,0.00214,0.00214
124,5.24,-0.29286,0.021,0.017,0.025,864.0,0.00138,0.00138,0.00138
125,5.037,-0.30725,0.0028,0.0052,0.0004,864.0,0.0001794,0.0001794,0.0001794
126,5.165,-0.30495,0.0039,0.006,0.0018,864.0,0.0002372,0.0002372,0.0002372
