Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,458.16,4.656,-0.31111,0.002,0.002,0.002,1244.444,6.339e-05,6.339e-05,6.339e-05
1,442.16,4.535,0.0,0.0013,0.0018,0.0008,1244.444,0.000102,0.000102,0.000102
2,188.2,4.68,-0.31073,0.0099,0.0168,0.003,1244.444,0.0004387,0.0004387,0.0004387
3,423.94,4.607,0.0,0.0077,0.0082,0.0072,1244.444,0.0001378,0.0001378,0.0001378
4,474.05,4.462,-0.32295,0.012,0.0122,0.0118,1244.444,0.0004167,0.0004167,0.0004167
5,366.55,4.427,0.0,0.0058,0.0088,0.0028,1244.444,0.0002473,0.0002473,0.0002473
6,351.58,4.64,-0.31059,0.0014,0.0026,0.0002,1244.444,9.77e-05,9.77e-05,9.77e-05
7,502.33,4.476,0.0,0.0019,0.003,0.0008,1244.444,0.0001598,0.0001598,0.0001598
8,356.69,4.402,-0.31475,0.0149,0.0142,0.0156,1244.444,0.0003706,0.0003706,0.0003706
9,482.33,4.519,0.0,0.0034,0.0046,0.0022,1244.444,0.0001076,0.0001076,0.0001076
10,291.16,4.628,-0.31213,0.0034,0.0048,0.002,1244.444,0.0001483,0.0001483,0.0001483
11,132.74,4.572,0.0,0.0151,0.0186,0.0116,1244.444,0.0003567,0.0003567,0.0003567
12,224.09,4.464,-0.31549,0.0035,0.0066,0.0004,1244.444,0.0002346,0.0002346,0.0002346
13,260.56,4.573,0.0,0.0046,0.0048,0.0044,1244.444,0.0002325,0.0002325,0.0002325
14,168.94,4.604,0.0,0.0285,0.0414,0.0156,1244.444,0.00205,0.00205,0.00205
15,315.37,4.497,0.0,0.0358,0.03,0.0416,1244.444,0.0006196,0.0006196,0.0006196
16,411.81,4.513,0.0,0.0135,0.016,0.011,1244.444,0.0001828,0.0001828,0.0001828
17,276.68,4.676,0.0,0.0078,0.0104,0.0052,1244.444,0.0005981,0.0005981,0.0005981
18,375.81,4.515,-0.31437,0.0026,0.0034,0.0018,1244.444,0.0001173,0.0001173,0.0001173
19,407.72,4.444,0.0,0.0439,0.0216,0.0662,1244.444,0.0001089,0.0001089,0.0001089
20,577.65,4.341,-0.31506,0.025,0.0186,0.0314,1244.444,0.000189,0.000189,0.000189
21,153.09,4.485,0.0,0.0121,0.0118,0.0124,1244.444,0.0001275,0.0001275,0.0001275
22,400.93,4.383,-0.3144,0.0132,0.0232,0.0032,1244.444,0.00122,0.00122,0.00122
23,191.71,4.532,0.0,0.002,0.0036,0.0004,1244.444,0.0001485,0.0001485,0.0001485
24,174.34,4.646,-0.31097,0.0047,0.009,0.0004,1244.444,0.0003742,0.0003742,0.0003742
25,96.69,4.702,0.0,0.0122,0.0132,0.0112,1244.444,0.0008663,0.0008663,0.0008663
26,220.46,4.649,-0.3113,0.0087,0.0102,0.0072,1244.444,0.0003037,0.0003037,0.0003037
27,326.36,4.604,0.0,0.0187,0.013,0.0244,1244.444,0.0004385,0.0004385,0.0004385
28,168.46,4.517,-0.31294,0.0056,0.0056,0.0056,1244.444,0.0001754,0.0001754,0.0001754
29,419.64,4.46,0.0,0.0105,0.012,0.009,1244.444,9.789e-05,9.789e-05,9.789e-05
30,100.71,4.646,0.0,0.0373,0.0356,0.039,1244.444,0.00109,0.00109,0.00109
31,379.45,4.613,-0.3168,0.0134,0.0156,0.0112,1244.444,0.0002663,0.0002663,0.0002663
32,187.22,4.499,-0.31188,0.0081,0.01,0.0062,1244.444,0.0001814,0.0001814,0.0001814
33,177.21,4.597,0.0,0.0027,0.004,0.0014,1244.444,0.0001433,0.0001433,0.0001433
34,447.24,4.562,0.0,0.0028,0.004,0.0016,1244.444,0.000201,0.000201,0.000201
35,293.42,4.722,0.0,0.0049,0.0062,0.0036,1244.444,0.0002469,0.0002469,0.0002469
36,281.79,4.608,0.0,0.0069,0.0052,0.0086,1244.444,0.0002048,0.0002048,0.0002048
37,368.14,4.498,-0.31322,0.0092,0.0122,0.0062,1244.444,0.0003208,0.0003208,0.0003208
38,430.89,4.458,0.0,0.034,0.0172,0.0508,1244.444,0.0004719,0.0004719,0.0004719
39,177.73,4.504,-0.31442,0.0099,0.0106,0.0092,1244.444,0.0004932,0.0004932,0.0004932
40,255.78,4.464,-0.31843,0.007,0.0096,0.0044,1244.444,0.0003016,0.0003016,0.0003016
41,242.18,4.576,-0.31168,0.0189,0.0366,0.0012,1244.444,9.57e-05,9.57e-05,9.57e-05
42,175.05,4.641,0.0,0.005,0.0046,0.0054,1244.444,0.0001813,0.0001813,0.0001813
43,304.26,4.523,-0.32382,0.0041,0.006,0.0022,1244.444,0.0001512,0.0001512,0.0001512
44,416.04,4.595,-0.31574,0.032,0.027,0.037,1244.444,0.0002771,0.0002771,0.0002771
45,236.66,4.63,-0.35528,0.0027,0.0046,0.0008,1244.444,0.0001773,0.0001773,0.0001773
46,215.93,4.71,0.0,0.0039,0.0054,0.0024,1244.444,0.000401,0.000401,0.000401
47,388.4,4.676,0.0,0.0281,0.0244,0.0318,1244.444,0.0004563,0.0004563,0.0004563
48,50.1,4.625,0.0,0.0052,0.0094,0.001,1244.444,0.0005598,0.0005598,0.0005598
49,280.9,4.582,-0.32008,0.022,0.0268,0.0172,1244.444,0.0002097,0.0002097,0.0002097
50,319.86,4.457,0.0,0.0067,0.011,0.0024,1244.444,0.00907,0.00907,0.00907
51,362.48,4.565,-0.29895,0.0263,0.0192,0.0334,1244.444,0.0002657,0.0002657,0.0002657
52,353.5,4.444,0.0,0.0822,0.0108,0.1536,1244.444,0.0004924,0.0004924,0.0004924
53,362.38,4.622,0.0,0.0045,0.0052,0.0038,1244.444,0.0001241,0.0001241,0.0001241
54,232.65,4.501,0.0,0.0151,0.0134,0.0168,1244.444,0.0002487,0.0002487,0.0002487
55,251.67,4.686,0.0,0.1069,0.2062,0.0076,1244.444,0.00819,0.00819,0.00819
56,324.07,4.554,-0.31304,0.0046,0.0074,0.0018,1244.444,0.000407,0.000407,0.000407
57,235.08,4.64,0.0,0.0056,0.0102,0.001,1244.444,0.0005316,0.0005316,0.0005316
58,286.54,4.609,-0.31283,0.0073,0.0094,0.0052,1244.444,0.0005523,0.0005523,0.0005523
59,280.23,4.77,0.0,0.0018,0.0022,0.0014,1244.444,0.0001401,0.0001401,0.0001401
60,170.04,4.518,-0.3137,0.1825,0.1704,0.1946,1244.444,0.0002156,0.0002156,0.0002156
61,83.97,4.701,0.0,0.2118,0.1916,0.232,1244.444,0.0005021,0.0005021,0.0005021
62,262.57,4.667,-0.29109,0.0095,0.0112,0.0078,1244.444,0.0002624,0.0002624,0.0002624
63,281.06,4.507,0.0,0.0076,0.0098,0.0054,1244.444,0.0004251,0.0004251,0.0004251
64,295.93,4.463,-0.313,0.0026,0.004,0.0012,1244.444,0.0002058,0.0002058,0.0002058
65,220.92,4.615,0.0,0.0024,0.0044,0.0004,1244.444,0.0002326,0.0002326,0.0002326
66,125.07,4.651,0.0,0.0284,0.0304,0.0264,1244.444,0.00214,0.00214,0.00214
67,256.61,4.714,0.0,0.0044,0.0068,0.002,1244.444,0.0001729,0.0001729,0.0001729
68,334.96,4.613,-0.31209,0.0049,0.0056,0.0042,1244.444,0.000205,0.000205,0.000205
69,327.28,4.552,0.0,0.0036,0.0038,0.0034,1244.444,0.0001382,0.0001382,0.0001382
70,359.3,4.712,-0.31002,0.0025,0.004,0.001,1244.444,0.0001392,0.0001392,0.0001392
71,282.0,4.543,0.0,0.0134,0.0142,0.0126,1244.444,0.0003617,0.0003617,0.0003617
72,127.73,4.577,0.0,0.0028,0.0054,0.0002,1244.444,0.0003967,0.0003967,0.0003967
73,253.51,4.822,0.0,0.0029,0.003,0.0028,1244.444,0.0001515,0.0001515,0.0001515
74,333.74,4.61,0.0,0.0039,0.004,0.0038,1244.444,0.0001512,0.0001512,0.0001512
75,188.31,4.787,-0.3086,0.0045,0.0058,0.0032,1244.444,0.0002272,0.0002272,0.0002272
76,114.45,4.683,0.0,0.0035,0.0066,0.0004,1244.444,0.0005652,0.0005652,0.0005652
77,439.47,4.577,-0.31325,0.003,0.004,0.002,1244.444,0.0004096,0.0004096,0.0004096
78,455.73,4.483,0.0,0.0029,0.0024,0.0034,1244.444,9.638e-05,9.638e-05,9.638e-05
79,246.98,4.565,-0.28001,0.0125,0.0108,0.0142,1244.444,0.0004607,0.0004607,0.0004607
80,242.53,4.6,0.0,0.0173,0.0176,0.017,1244.444,0.0003229,0.0003229,0.0003229
81,341.99,4.499,-0.31479,0.003,0.0038,0.0022,1244.444,0.0002004,0.0002004,0.0002004
82,293.92,4.602,-0.3276,0.0029,0.0044,0.0014,1244.444,0.0003066,0.0003066,0.0003066
83,329.31,4.636,-0.31169,0.0058,0.0082,0.0034,1244.444,0.0004223,0.0004223,0.0004223
84,221.5,4.723,0.0,0.0177,0.0214,0.014,1244.444,0.0003075,0.0003075,0.0003075
85,280.53,4.587,-0.31183,0.0106,0.0114,0.0098,1244.444,0.0001075,0.0001075,0.0001075
86,204.38,4.757,0.0,0.0256,0.014,0.0372,1244.444,0.000555,0.000555,0.000555
