Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0036,0.0044,0.0028,864.0,0.0001993,0.0001993,0.0001993
1,4.981,-0.30902,0.0057,0.0044,0.007,864.0,0.0001675,0.0001675,0.0001675
2,4.892,-0.3104,0.0206,0.0244,0.0168,864.0,0.000326,0.000326,0.000326
3,4.944,-0.27711,0.0993,0.1044,0.0942,864.0,0.0004963,0.0004963,0.0004963
4,4.987,-0.32195,0.3598,0.3382,0.3814,864.0,0.0008432,0.0008432,0.0008432
5,4.882,-0.31039,0.0874,0.0948,0.08,864.0,0.0005812,0.0005812,0.0005812
6,4.969,-0.30806,0.0441,0.046,0.0422,864.0,0.0002759,0.0002759,0.0002759
7,5.015,-0.30824,0.0334,0.0066,0.0602,864.0,0.0003497,0.0003497,0.0003497
8,5.111,-0.3073,0.0108,0.0122,0.0094,864.0,0.0002461,0.0002461,0.0002461
9,4.972,-0.30941,0.2909,0.3006,0.2812,864.0,0.01274,0.01274,0.01274
10,4.876,-0.31036,0.134,0.1368,0.1312,864.0,0.00663,0.00663,0.00663
11,5.132,-0.30673,0.2941,0.242,0.3462,864.0,0.00567,0.00567,0.00567
12,4.831,-0.31113,0.4831,0.3948,0.5714,864.0,0.00232,0.00232,0.00232
13,4.95,-0.30876,0.0181,0.0158,0.0204,864.0,0.0003429,0.0003429,0.0003429
14,4.995,-0.30886,0.0207,0.014,0.0274,864.0,0.0002404,0.0002404,0.0002404
15,5.118,-0.30738,0.0073,0.0074,0.0072,864.0,0.00176,0.00176,0.00176
16,4.918,-0.3091,0.005,0.0074,0.0026,864.0,0.0001576,0.0001576,0.0001576
17,5.003,-0.30763,0.0539,0.0546,0.0532,864.0,0.0003675,0.0003675,0.0003675
18,4.865,-0.31125,0.05,0.059,0.041,864.0,0.0002512,0.0002512,0.0002512
19,5.104,-0.30768,0.0268,0.0048,0.0488,864.0,0.000294,0.000294,0.000294
20,4.902,-0.30965,0.0096,0.0154,0.0038,864.0,0.0003083,0.0003083,0.0003083
21,5.04,-0.30739,0.0033,0.0038,0.0028,864.0,0.0004488,0.0004488,0.0004488
22,4.979,-0.30076,0.028,0.0204,0.0356,864.0,0.000229,0.000229,0.000229
23,5.033,-0.30851,0.0129,0.017,0.0088,864.0,0.0002438,0.0002438,0.0002438
24,4.766,-0.30398,0.0534,0.0614,0.0454,864.0,0.00201,0.00201,0.00201
25,4.87,-0.31089,0.012,0.0154,0.0086,864.0,0.000265,0.000265,0.000265
26,4.999,-0.30886,0.0049,0.0094,0.0004,864.0,0.0002347,0.0002347,0.0002347
27,5.077,-0.30693,0.1095,0.1102,0.1088,864.0,0.0003632,0.0003632,0.0003632
28,5.198,-0.30578,0.0066,0.0074,0.0058,864.0,0.0002474,0.0002474,0.0002474
29,4.994,-0.30757,0.088,0.096,0.08,864.0,0.0002618,0.0002618,0.0002618
30,5.083,-0.30708,0.0047,0.0064,0.003,864.0,0.0003894,0.0003894,0.0003894
31,5.129,-0.30656,0.003,0.0042,0.0018,864.0,0.0002828,0.0002828,0.0002828
32,5.204,-0.30413,0.0047,0.0056,0.0038,864.0,0.0002041,0.0002041,0.0002041
33,4.953,-0.30938,0.1991,0.3598,0.0384,864.0,0.0011,0.0011,0.0011
34,4.937,-0.30923,0.0093,0.0134,0.0052,864.0,0.0002067,0.0002067,0.0002067
35,5.074,-0.30721,0.0109,0.0188,0.003,864.0,0.00101,0.00101,0.00101
36,5.102,-0.30593,0.0038,0.006,0.0016,864.0,0.0003863,0.0003863,0.0003863
37,5.168,-0.30222,0.0296,0.0362,0.023,864.0,0.00151,0.00151,0.00151
38,5.106,-0.30753,0.009,0.012,0.006,864.0,0.0002714,0.0002714,0.0002714
39,5.018,-0.30838,0.0176,0.0164,0.0188,864.0,0.0003839,0.0003839,0.0003839
40,5.163,-0.30613,0.0624,0.063,0.0618,864.0,0.0002918,0.0002918,0.0002918
41,5.093,-0.30775,0.0857,0.0816,0.0898,864.0,0.0003298,0.0003298,0.0003298
42,4.925,-0.30938,0.013,0.0168,0.0092,864.0,0.0002687,0.0002687,0.0002687
43,5.033,-0.30812,0.0205,0.009,0.032,864.0,0.0006025,0.0006025,0.0006025
44,5.116,-0.30753,0.0092,0.0168,0.0016,864.0,0.0005461,0.0005461,0.0005461
45,4.88,-0.30948,0.0591,0.0736,0.0446,864.0,0.000202,0.000202,0.000202
46,5.145,-0.30658,0.0021,0.004,0.0002,864.0,0.0001859,0.0001859,0.0001859
47,5.001,-0.30885,0.0184,0.0244,0.0124,864.0,0.0002809,0.0002809,0.0002809
48,4.934,-0.309,0.05,0.0358,0.0642,864.0,0.000229,0.000229,0.000229
49,5.116,-0.30701,0.0057,0.009,0.0024,864.0,0.0002018,0.0002018,0.0002018
50,5.017,-0.30795,0.0311,0.0138,0.0484,864.0,0.0002134,0.0002134,0.0002134
51,5.209,-0.30446,0.0069,0.0128,0.001,864.0,0.0003769,0.0003769,0.0003769
52,5.016,-0.30785,0.0277,0.0146,0.0408,864.0,0.00167,0.00167,0.00167
53,5.048,-0.30705,0.0524,0.043,0.0618,864.0,0.00119,0.00119,0.00119
54,5.024,-0.30335,0.0163,0.023,0.0096,864.0,0.0002709,0.0002709,0.0002709
55,5.198,-0.30556,0.002,0.0032,0.0008,864.0,0.0002457,0.0002457,0.0002457
56,5.188,-0.30564,0.0045,0.0058,0.0032,864.0,0.0003583,0.0003583,0.0003583
57,5.093,-0.30621,0.0087,0.0126,0.0048,864.0,0.0002531,0.0002531,0.0002531
58,4.965,-0.30941,0.0375,0.0352,0.0398,864.0,0.0001577,0.0001577,0.0001577
59,5.019,-0.30794,0.0141,0.0168,0.0114,864.0,0.0003733,0.0003733,0.0003733
60,5.141,-0.30605,0.0177,0.022,0.0134,864.0,0.00255,0.00255,0.00255
61,4.875,-0.3101,0.0404,0.0426,0.0382,864.0,0.000217,0.000217,0.000217
62,4.961,-0.30931,0.0072,0.0102,0.0042,864.0,0.0002353,0.0002353,0.0002353
63,5.045,-0.30798,0.0475,0.0066,0.0884,864.0,0.0002408,0.0002408,0.0002408
64,5.258,-0.30505,0.0237,0.0234,0.024,864.0,0.0002643,0.0002643,0.0002643
65,5.101,-0.30611,0.0284,0.0412,0.0156,864.0,0.0002667,0.0002667,0.0002667
66,5.234,-0.29458,0.0172,0.0216,0.0128,864.0,0.00329,0.00329,0.00329
67,4.912,-0.30058,0.0908,0.107,0.0746,864.0,0.0002786,0.0002786,0.0002786
68,5.136,-0.30448,0.0077,0.0086,0.0068,864.0,0.0003166,0.0003166,0.0003166
69,4.944,-0.30828,0.0052,0.0098,0.0006,864.0,0.0003273,0.0003273,0.0003273
70,5.155,-0.30506,0.008,0.0116,0.0044,864.0,0.0003857,0.0003857,0.0003857
71,5.119,-0.31568,0.0987,0.0802,0.1172,864.0,0.0005054,0.0005054,0.0005054
72,5.145,-0.3059,0.0042,0.007,0.0014,864.0,0.0002078,0.0002078,0.0002078
73,5.019,-0.30805,0.0032,0.005,0.0014,864.0,0.0001481,0.0001481,0.0001481
74,4.874,-0.32062,0.0767,0.0826,0.0708,864.0,0.0002232,0.0002232,0.0002232
75,5.008,-0.30781,0.0071,0.0106,0.0036,864.0,0.0003942,0.0003942,0.0003942
76,4.904,-0.31017,0.0028,0.0054,0.0002,864.0,0.0001791,0.0001791,0.0001791
77,5.071,-0.30801,0.072,0.0766,0.0674,864.0,0.0006147,0.0006147,0.0006147
78,5.277,-0.3036,0.0031,0.0058,0.0004,864.0,0.0002761,0.0002761,0.0002761
79,5.017,-0.30802,0.0133,0.0126,0.014,864.0,0.0004433,0.0004433,0.0004433
80,5.081,-0.30759,0.1344,0.1444,0.1244,864.0,0.0002344,0.0002344,0.0002344
81,4.945,-0.3096,0.0151,0.0142,0.016,864.0,0.0002405,0.0002405,0.0002405
82,5.08,-0.30778,0.0362,0.0378,0.0346,864.0,0.0008449,0.0008449,0.0008449
83,5.052,-0.30815,0.0357,0.0396,0.0318,864.0,0.0006311,0.0006311,0.0006311
84,4.909,-0.30897,0.0035,0.0066,0.0004,864.0,0.0003471,0.0003471,0.0003471
85,5.092,-0.30693,0.0025,0.0042,0.0008,864.0,0.0001736,0.0001736,0.0001736
86,4.931,-0.30902,0.008,0.0114,0.0046,864.0,0.0002175,0.0002175,0.0002175
87,5.195,-0.30516,0.0222,0.0282,0.0162,864.0,0.000231,0.000231,0.000231
88,5.097,-0.30661,0.0524,0.0506,0.0542,864.0,0.0002137,0.0002137,0.0002137
