Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.017,0.014,0.02,864.0,0.000221,0.000221,0.000221
1,4.981,-0.30902,0.0917,0.0384,0.145,864.0,0.000172,0.000172,0.000172
2,4.892,-0.3104,0.0229,0.0286,0.0172,864.0,0.000245,0.000245,0.000245
3,4.944,-0.27711,0.093,0.0948,0.0912,864.0,0.0005039,0.0005039,0.0005039
4,4.987,-0.32195,0.3379,0.2854,0.3904,864.0,0.00134,0.00134,0.00134
5,4.882,-0.31039,0.0891,0.1002,0.078,864.0,0.0005588,0.0005588,0.0005588
6,4.969,-0.30806,0.0509,0.0564,0.0454,864.0,0.0002623,0.0002623,0.0002623
7,5.015,-0.30824,0.007,0.0066,0.0074,864.0,0.000293,0.000293,0.000293
8,5.111,-0.3073,0.0096,0.0128,0.0064,864.0,0.0003046,0.0003046,0.0003046
9,4.972,-0.30941,0.3047,0.299,0.3104,864.0,0.00531,0.00531,0.00531
10,4.876,-0.31036,0.1405,0.1626,0.1184,864.0,0.00441,0.00441,0.00441
11,5.132,-0.30673,0.296,0.277,0.315,864.0,0.00447,0.00447,0.00447
12,4.831,-0.31113,0.4858,0.439,0.5326,864.0,0.00096,0.00096,0.00096
13,4.95,-0.30876,0.0177,0.0182,0.0172,864.0,0.0004784,0.0004784,0.0004784
14,4.995,-0.30886,0.013,0.018,0.008,864.0,0.0002468,0.0002468,0.0002468
15,5.118,-0.30738,0.017,0.0186,0.0154,864.0,0.00319,0.00319,0.00319
16,4.918,-0.3091,0.0088,0.0094,0.0082,864.0,0.0001936,0.0001936,0.0001936
17,5.003,-0.30763,0.0454,0.0448,0.046,864.0,0.0005001,0.0005001,0.0005001
18,4.865,-0.31125,0.062,0.066,0.058,864.0,0.0002139,0.0002139,0.0002139
19,5.104,-0.30768,0.0019,0.0036,0.0002,864.0,0.0002786,0.0002786,0.0002786
20,4.902,-0.30965,0.0164,0.0202,0.0126,864.0,0.000236,0.000236,0.000236
21,5.04,-0.30739,0.0044,0.008,0.0008,864.0,0.0003397,0.0003397,0.0003397
22,4.979,-0.30076,0.0138,0.019,0.0086,864.0,0.0002833,0.0002833,0.0002833
23,5.033,-0.30851,0.0123,0.018,0.0066,864.0,0.0004978,0.0004978,0.0004978
24,4.766,-0.30398,0.0446,0.0536,0.0356,864.0,0.00225,0.00225,0.00225
25,4.87,-0.31089,0.0118,0.015,0.0086,864.0,0.0002274,0.0002274,0.0002274
26,4.999,-0.30886,0.0046,0.0068,0.0024,864.0,0.0003165,0.0003165,0.0003165
27,5.077,-0.30693,0.109,0.124,0.094,864.0,0.0003661,0.0003661,0.0003661
28,5.198,-0.30578,0.0114,0.0124,0.0104,864.0,0.0002034,0.0002034,0.0002034
29,4.994,-0.30757,0.0858,0.0876,0.084,864.0,0.0002318,0.0002318,0.0002318
30,5.083,-0.30708,0.0044,0.008,0.0008,864.0,0.0003421,0.0003421,0.0003421
31,5.129,-0.30656,0.0045,0.0058,0.0032,864.0,0.0003568,0.0003568,0.0003568
32,5.204,-0.30413,0.0061,0.0094,0.0028,864.0,0.0003285,0.0003285,0.0003285
33,4.953,-0.30938,0.1076,0.1604,0.0548,864.0,0.0011,0.0011,0.0011
34,4.937,-0.30923,0.0127,0.0146,0.0108,864.0,0.0003887,0.0003887,0.0003887
35,5.074,-0.30721,0.0078,0.0132,0.0024,864.0,0.0003528,0.0003528,0.0003528
36,5.102,-0.30593,0.0044,0.0056,0.0032,864.0,0.000338,0.000338,0.000338
37,5.168,-0.30222,0.0301,0.0372,0.023,864.0,0.00165,0.00165,0.00165
38,5.106,-0.30753,0.0092,0.014,0.0044,864.0,0.0004181,0.0004181,0.0004181
39,5.018,-0.30838,0.0086,0.0116,0.0056,864.0,0.0003672,0.0003672,0.0003672
40,5.163,-0.30613,0.0577,0.0574,0.058,864.0,0.0005413,0.0005413,0.0005413
41,5.093,-0.30775,0.0822,0.0836,0.0808,864.0,0.0003109,0.0003109,0.0003109
42,4.925,-0.30938,0.0129,0.0188,0.007,864.0,0.0001546,0.0001546,0.0001546
43,5.033,-0.30812,0.01,0.0044,0.0156,864.0,0.0002429,0.0002429,0.0002429
44,5.116,-0.30753,0.0101,0.0184,0.0018,864.0,0.0007178,0.0007178,0.0007178
45,4.88,-0.30948,0.0522,0.0712,0.0332,864.0,0.0002258,0.0002258,0.0002258
46,5.145,-0.30658,0.0036,0.0064,0.0008,864.0,0.0002486,0.0002486,0.0002486
47,5.001,-0.30885,0.0188,0.022,0.0156,864.0,0.000268,0.000268,0.000268
48,4.934,-0.309,0.0114,0.0086,0.0142,864.0,0.0001681,0.0001681,0.0001681
49,5.116,-0.30701,0.0031,0.0044,0.0018,864.0,0.0002157,0.0002157,0.0002157
50,5.017,-0.30795,0.0841,0.042,0.1262,864.0,0.0002508,0.0002508,0.0002508
51,5.209,-0.30446,0.0035,0.005,0.002,864.0,0.0003416,0.0003416,0.0003416
