Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
18,318.86,4.515,-0.31437,0.0016,0.0014,0.0018,1244.444,0.0001363,0.0001363,0.0001363
19,429.5,4.444,0.0,0.0396,0.0194,0.0598,1244.444,0.0001115,0.0001115,0.0001115
20,573.77,4.341,-0.31506,0.0253,0.0244,0.0262,1244.444,0.0002444,0.0002444,0.0002444
21,522.22,4.485,0.0,0.0108,0.0096,0.012,1244.444,0.0001022,0.0001022,0.0001022
22,201.35,4.383,-0.3144,0.0082,0.0144,0.002,1244.444,0.00148,0.00148,0.00148
23,124.44,4.532,0.0,0.0043,0.006,0.0026,1244.444,0.000144,0.000144,0.000144
24,184.0,4.646,-0.31097,0.0026,0.0036,0.0016,1244.444,0.0003364,0.0003364,0.0003364
25,278.12,4.702,0.0,0.0103,0.0136,0.007,1244.444,0.00097,0.00097,0.00097
26,221.33,4.649,-0.3113,0.016,0.013,0.019,1244.444,0.0004624,0.0004624,0.0004624
27,307.51,4.604,0.0,0.0187,0.0116,0.0258,1244.444,0.0002103,0.0002103,0.0002103
28,151.7,4.517,-0.31294,0.0111,0.0104,0.0118,1244.444,0.000193,0.000193,0.000193
29,531.62,4.46,0.0,0.0101,0.0104,0.0098,1244.444,0.0001321,0.0001321,0.0001321
30,468.4,4.646,0.0,0.045,0.039,0.051,1244.444,0.00096,0.00096,0.00096
31,482.65,4.613,-0.3168,0.0174,0.0174,0.0174,1244.444,0.0003103,0.0003103,0.0003103
32,262.18,4.499,-0.31188,0.0045,0.0062,0.0028,1244.444,0.0005605,0.0005605,0.0005605
33,449.02,4.597,0.0,0.0033,0.0056,0.001,1244.444,0.0002053,0.0002053,0.0002053
34,443.29,4.562,0.0,0.0038,0.0042,0.0034,1244.444,0.0002156,0.0002156,0.0002156
35,383.16,4.722,0.0,0.0051,0.0068,0.0034,1244.444,0.0001865,0.0001865,0.0001865
36,374.55,4.608,0.0,0.0077,0.0086,0.0068,1244.444,0.0002175,0.0002175,0.0002175
37,442.71,4.498,-0.31322,0.0125,0.014,0.011,1244.444,0.0003106,0.0003106,0.0003106
38,326.55,4.458,0.0,0.0386,0.0162,0.061,1244.444,0.00039,0.00039,0.00039
39,183.26,4.504,-0.31442,0.0044,0.0068,0.002,1244.444,0.0003954,0.0003954,0.0003954
40,363.83,4.464,-0.31843,0.0084,0.0114,0.0054,1244.444,0.0002782,0.0002782,0.0002782
41,288.21,4.576,-0.31168,0.0042,0.0074,0.001,1244.444,8.022e-05,8.022e-05,8.022e-05
42,315.0,4.641,0.0,0.0051,0.007,0.0032,1244.444,0.0001595,0.0001595,0.0001595
43,385.93,4.523,-0.32382,0.0036,0.0054,0.0018,1244.444,0.0001354,0.0001354,0.0001354
44,467.58,4.595,-0.31574,0.0278,0.0302,0.0254,1244.444,0.0004814,0.0004814,0.0004814
45,352.66,4.63,-0.35528,0.0027,0.0044,0.001,1244.444,0.0002089,0.0002089,0.0002089
46,335.42,4.71,0.0,0.0033,0.005,0.0016,1244.444,0.0003156,0.0003156,0.0003156
47,281.63,4.676,0.0,0.0847,0.0558,0.1136,1244.444,0.0002811,0.0002811,0.0002811
48,267.11,4.625,0.0,0.009,0.0146,0.0034,1244.444,0.0004025,0.0004025,0.0004025
49,55.16,4.582,-0.32008,0.0224,0.027,0.0178,1244.444,0.0001857,0.0001857,0.0001857
50,348.89,4.457,0.0,0.017,0.0158,0.0182,1244.444,0.0001764,0.0001764,0.0001764
51,384.93,4.565,-0.29895,0.0285,0.015,0.042,1244.444,0.0001903,0.0001903,0.0001903
52,376.61,4.444,0.0,0.0539,0.0218,0.086,1244.444,0.0004793,0.0004793,0.0004793
53,307.27,4.622,0.0,0.0047,0.0038,0.0056,1244.444,8.851e-05,8.851e-05,8.851e-05
54,456.06,4.501,0.0,0.0077,0.0096,0.0058,1244.444,0.0003329,0.0003329,0.0003329
55,340.68,4.686,0.0,0.0106,0.0172,0.004,1244.444,0.000251,0.000251,0.000251
56,282.71,4.554,-0.31304,0.0045,0.0082,0.0008,1244.444,0.0006831,0.0006831,0.0006831
57,263.53,4.64,0.0,0.0077,0.0146,0.0008,1244.444,0.0008744,0.0008744,0.0008744
58,237.11,4.609,-0.31283,0.0053,0.0074,0.0032,1244.444,0.0003997,0.0003997,0.0003997
59,258.86,4.77,0.0,0.001,0.0018,0.0002,1244.444,0.0001615,0.0001615,0.0001615
60,331.83,4.518,-0.3137,0.1691,0.1812,0.157,1244.444,0.0002141,0.0002141,0.0002141
61,264.02,4.701,0.0,0.2354,0.1914,0.2794,1244.444,0.0006129,0.0006129,0.0006129
62,239.56,4.667,-0.29109,0.0097,0.0126,0.0068,1244.444,0.0002774,0.0002774,0.0002774
63,321.14,4.507,0.0,0.0037,0.0046,0.0028,1244.444,0.000342,0.000342,0.000342
64,304.37,4.463,-0.313,0.0029,0.0042,0.0016,1244.444,0.0002059,0.0002059,0.0002059
65,230.96,4.615,0.0,0.0025,0.005,0.0,1244.444,0.0002108,0.0002108,0.0002108
66,355.29,4.651,0.0,0.0265,0.031,0.022,1244.444,0.00316,0.00316,0.00316
67,335.37,4.714,0.0,0.0061,0.008,0.0042,1244.444,0.000173,0.000173,0.000173
68,350.24,4.613,-0.31209,0.0068,0.0066,0.007,1244.444,0.0001765,0.0001765,0.0001765
69,377.75,4.552,0.0,0.0034,0.0054,0.0014,1244.444,0.0001723,0.0001723,0.0001723
70,351.17,4.712,-0.31002,0.0018,0.0034,0.0002,1244.444,0.0001943,0.0001943,0.0001943
71,367.42,4.543,0.0,0.0933,0.0642,0.1224,1244.444,0.0004835,0.0004835,0.0004835
72,178.12,4.577,0.0,0.0055,0.0098,0.0012,1244.444,0.0003477,0.0003477,0.0003477
73,241.36,4.822,0.0,0.0195,0.01,0.029,1244.444,0.0001883,0.0001883,0.0001883
74,161.15,4.61,0.0,0.0036,0.0032,0.004,1244.444,0.0001583,0.0001583,0.0001583
75,233.73,4.787,-0.3086,0.0034,0.0048,0.002,1244.444,0.000191,0.000191,0.000191
76,106.54,4.683,0.0,0.0039,0.007,0.0008,1244.444,0.0002076,0.0002076,0.0002076
77,466.59,4.577,-0.31325,0.0048,0.0052,0.0044,1244.444,0.0005369,0.0005369,0.0005369
78,358.37,4.483,0.0,0.0015,0.0026,0.0004,1244.444,8.754e-05,8.754e-05,8.754e-05
79,288.47,4.565,-0.28001,0.0109,0.0084,0.0134,1244.444,0.000459,0.000459,0.000459
80,280.23,4.6,0.0,0.0199,0.0234,0.0164,1244.444,0.0003436,0.0003436,0.0003436
81,309.49,4.499,-0.31479,0.0041,0.0064,0.0018,1244.444,0.0002879,0.0002879,0.0002879
82,325.53,4.602,-0.3276,0.0029,0.005,0.0008,1244.444,0.0003275,0.0003275,0.0003275
83,393.83,4.636,-0.31169,0.0089,0.0074,0.0104,1244.444,0.0004233,0.0004233,0.0004233
84,227.37,4.723,0.0,0.0958,0.0244,0.1672,1244.444,0.0003621,0.0003621,0.0003621
85,190.9,4.587,-0.31183,0.006,0.0058,0.0062,1244.444,0.0001467,0.0001467,0.0001467
86,225.07,4.757,0.0,0.0142,0.0118,0.0166,1244.444,0.0005039,0.0005039,0.0005039
87,230.58,4.725,-0.30958,0.0211,0.0394,0.0028,1244.444,0.0005573,0.0005573,0.0005573
88,305.48,4.566,-0.36821,0.048,0.046,0.05,1244.444,0.0001706,0.0001706,0.0001706
89,219.55,4.797,-0.30874,0.0145,0.013,0.016,1244.444,8.833e-05,8.833e-05,8.833e-05
90,290.3,4.704,0.0,0.0038,0.0058,0.0018,1244.444,0.0001621,0.0001621,0.0001621
91,243.74,4.709,0.0,0.003,0.0036,0.0024,1244.444,0.0002248,0.0002248,0.0002248
92,198.56,4.73,0.0,0.0038,0.0054,0.0022,1244.444,0.0003734,0.0003734,0.0003734
93,417.2,4.678,0.0,0.0031,0.0056,0.0006,1244.444,0.0003172,0.0003172,0.0003172
94,130.98,4.876,-0.30795,0.0089,0.011,0.0068,1244.444,0.0003221,0.0003221,0.0003221
95,352.79,4.597,-0.31185,0.0082,0.012,0.0044,1244.444,0.0001452,0.0001452,0.0001452
96,229.05,4.733,-0.30895,0.0123,0.0048,0.0198,1244.444,0.0001166,0.0001166,0.0001166
97,159.49,4.807,0.0,0.0016,0.0026,0.0006,1244.444,0.0001493,0.0001493,0.0001493
98,342.32,4.609,-0.31259,0.0086,0.0138,0.0034,1244.444,0.0006435,0.0006435,0.0006435
99,334.19,4.574,0.0,0.0054,0.0074,0.0034,1244.444,0.0003036,0.0003036,0.0003036
100,288.24,4.647,-0.3109,0.0012,0.0022,0.0002,1244.444,0.0002022,0.0002022,0.0002022
101,321.26,4.724,0.0,0.0024,0.0042,0.0006,1244.444,0.0001919,0.0001919,0.0001919
102,234.63,4.604,-0.31233,0.0022,0.0034,0.001,1244.444,0.0001605,0.0001605,0.0001605
103,228.55,4.664,0.0,0.003,0.0052,0.0008,1244.444,0.0002049,0.0002049,0.0002049
104,272.74,4.802,-0.30894,0.0163,0.0156,0.017,1244.444,0.0005591,0.0005591,0.0005591
105,301.75,4.749,0.0,0.0305,0.0336,0.0274,1244.444,0.00124,0.00124,0.00124
106,254.88,4.719,-0.29787,0.014,0.0156,0.0124,1244.444,0.0005045,0.0005045,0.0005045
107,312.64,4.615,0.0,0.0245,0.007,0.042,1244.444,0.0001998,0.0001998,0.0001998
108,188.52,4.546,-0.31218,0.056,0.026,0.086,1244.444,0.0001462,0.0001462,0.0001462
109,103.74,4.875,0.0,0.016,0.0146,0.0174,1244.444,0.0005215,0.0005215,0.0005215
110,329.31,4.806,0.0,0.0027,0.0022,0.0032,1244.444,0.0002172,0.0002172,0.0002172
111,172.45,4.769,0.0,0.0086,0.0092,0.008,1244.444,0.0004986,0.0004986,0.0004986
112,267.9,4.584,0.0,0.023,0.014,0.032,1244.444,0.0001809,0.0001809,0.0001809
113,159.98,4.656,-0.31079,0.0031,0.0042,0.002,1244.444,0.0001689,0.0001689,0.0001689
114,265.26,4.782,0.0,0.0121,0.0022,0.022,1244.444,0.0001844,0.0001844,0.0001844
115,299.31,4.709,-0.30971,0.0092,0.0134,0.005,1244.444,0.0005532,0.0005532,0.0005532
116,239.79,4.959,0.0,0.0034,0.0048,0.002,1244.444,0.0002408,0.0002408,0.0002408
117,227.04,4.832,-0.30822,0.0124,0.0116,0.0132,1244.444,0.0001399,0.0001399,0.0001399
118,172.37,4.749,0.0,0.0029,0.005,0.0008,1244.444,0.0002061,0.0002061,0.0002061
119,239.0,4.611,-0.31637,0.0023,0.0036,0.001,1244.444,0.0001687,0.0001687,0.0001687
120,282.62,4.5,0.0,0.001,0.0014,0.0006,1244.444,0.0001187,0.0001187,0.0001187
121,375.74,4.621,-0.31075,0.0015,0.0022,0.0008,1244.444,0.0001514,0.0001514,0.0001514
122,324.32,4.688,0.0,0.0029,0.0038,0.002,1244.444,0.0001281,0.0001281,0.0001281
123,110.54,4.731,-0.30912,0.0036,0.0056,0.0016,1244.444,0.0002497,0.0002497,0.0002497
124,212.16,4.635,0.0,0.0041,0.007,0.0012,1244.444,0.0005986,0.0005986,0.0005986
125,260.05,4.737,-0.30847,0.003,0.0052,0.0008,1244.444,0.0004818,0.0004818,0.0004818
126,231.05,4.703,0.0,0.0024,0.0038,0.001,1244.444,0.0003779,0.0003779,0.0003779
