Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
88,5.097,-0.30661,0.0451,0.0434,0.0468,864.0,0.0002313,0.0002313,0.0002313
89,4.958,-0.30863,0.0063,0.0098,0.0028,864.0,0.0008662,0.0008662,0.0008662
90,5.256,-0.3033,0.0049,0.0086,0.0012,864.0,0.0002924,0.0002924,0.0002924
91,5.057,-0.30788,0.0218,0.0268,0.0168,864.0,0.0007308,0.0007308,0.0007308
92,5.124,-0.30626,0.004,0.0062,0.0018,864.0,0.000525,0.000525,0.000525
93,5.14,-0.30575,0.0038,0.0064,0.0012,864.0,0.0005085,0.0005085,0.0005085
94,5.176,-0.30523,0.0155,0.018,0.013,864.0,0.0003152,0.0003152,0.0003152
95,5.221,-0.30548,0.1907,0.1858,0.1956,864.0,0.0005759,0.0005759,0.0005759
96,5.142,-0.30586,0.0551,0.0544,0.0558,864.0,0.0003519,0.0003519,0.0003519
97,5.052,-0.30754,0.0062,0.0064,0.006,864.0,0.0003508,0.0003508,0.0003508
98,5.122,-0.29461,0.0387,0.0408,0.0366,864.0,0.00981,0.00981,0.00981
99,5.175,-0.30474,0.0806,0.0888,0.0724,864.0,0.00219,0.00219,0.00219
100,5.028,-0.30765,0.0224,0.029,0.0158,864.0,0.000202,0.000202,0.000202
101,5.095,-0.30715,0.0157,0.0148,0.0166,864.0,0.0002091,0.0002091,0.0002091
102,4.985,-0.30865,0.0046,0.0078,0.0014,864.0,0.0002283,0.0002283,0.0002283
103,5.227,-0.30411,0.0754,0.1476,0.0032,864.0,0.00689,0.00689,0.00689
104,5.135,-0.30632,0.0091,0.0074,0.0108,864.0,0.0001863,0.0001863,0.0001863
105,4.985,-0.30863,0.0097,0.011,0.0084,864.0,0.0002454,0.0002454,0.0002454
106,5.04,-0.30814,0.0319,0.0158,0.048,864.0,0.0002736,0.0002736,0.0002736
107,5.122,-0.30525,0.005,0.0074,0.0026,864.0,0.0002814,0.0002814,0.0002814
108,5.254,-0.30352,0.0801,0.0848,0.0754,864.0,0.0005023,0.0005023,0.0005023
109,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,5.292,-0.30295,0.0083,0.011,0.0056,864.0,0.0002618,0.0002618,0.0002618
111,5.191,-0.3056,0.0028,0.005,0.0006,864.0,0.0002614,0.0002614,0.0002614
112,5.215,-0.27862,0.0553,0.056,0.0546,864.0,0.0005664,0.0005664,0.0005664
113,5.17,-0.30616,0.0283,0.0318,0.0248,864.0,0.0002212,0.0002212,0.0002212
114,5.27,-0.30316,0.0815,0.0888,0.0742,864.0,0.00367,0.00367,0.00367
115,5.12,-0.30653,0.0114,0.0126,0.0102,864.0,0.0002839,0.0002839,0.0002839
116,5.017,-0.30771,0.003,0.0058,0.0002,864.0,0.0001784,0.0001784,0.0001784
117,5.234,-0.30379,0.0019,0.003,0.0008,864.0,0.0002954,0.0002954,0.0002954
118,5.114,-0.30676,0.0528,0.0036,0.102,864.0,0.0002556,0.0002556,0.0002556
119,5.271,-0.30461,0.0082,0.0104,0.006,864.0,0.0002415,0.0002415,0.0002415
120,5.084,-0.30669,0.0026,0.0042,0.001,864.0,0.0002351,0.0002351,0.0002351
121,4.996,-0.30827,0.011,0.0184,0.0036,864.0,0.0002478,0.0002478,0.0002478
122,5.269,-0.30324,0.0023,0.0044,0.0002,864.0,0.0002762,0.0002762,0.0002762
123,5.109,-0.30626,0.0051,0.0082,0.002,864.0,0.00185,0.00185,0.00185
124,5.24,-0.29286,0.025,0.0158,0.0342,864.0,0.00226,0.00226,0.00226
125,5.037,-0.30725,0.0025,0.0038,0.0012,864.0,0.0002076,0.0002076,0.0002076
126,5.165,-0.30495,0.0058,0.01,0.0016,864.0,0.0002365,0.0002365,0.0002365
