Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,5.088,-0.30783,0.0068,0.0078,0.0058,864.0,0.0002162,0.0002162,0.0002162
1,4.981,-0.30902,0.011,0.0082,0.0138,864.0,0.0001815,0.0001815,0.0001815
2,4.892,-0.3104,0.0226,0.0226,0.0226,864.0,0.0002881,0.0002881,0.0002881
3,4.944,-0.27711,0.1021,0.0956,0.1086,864.0,0.0004151,0.0004151,0.0004151
4,4.987,-0.32195,0.3089,0.2698,0.348,864.0,0.00153,0.00153,0.00153
5,4.882,-0.31039,0.0957,0.1016,0.0898,864.0,0.0005536,0.0005536,0.0005536
6,4.969,-0.30806,0.0877,0.0602,0.1152,864.0,0.0002964,0.0002964,0.0002964
7,5.015,-0.30824,0.0368,0.0078,0.0658,864.0,0.0002935,0.0002935,0.0002935
8,5.111,-0.3073,0.0109,0.0112,0.0106,864.0,0.0003719,0.0003719,0.0003719
9,4.972,-0.30941,0.3395,0.3574,0.3216,864.0,0.00764,0.00764,0.00764
10,4.876,-0.31036,0.1381,0.1508,0.1254,864.0,0.00896,0.00896,0.00896
11,5.132,-0.30673,0.2886,0.3026,0.2746,864.0,0.00471,0.00471,0.00471
12,4.831,-0.31113,0.4899,0.6038,0.376,864.0,0.00227,0.00227,0.00227
13,4.95,-0.30876,0.097,0.0412,0.1528,864.0,0.0005199,0.0005199,0.0005199
14,4.995,-0.30886,0.0629,0.0306,0.0952,864.0,0.0002571,0.0002571,0.0002571
15,5.118,-0.30738,0.0072,0.0086,0.0058,864.0,0.00185,0.00185,0.00185
16,4.918,-0.3091,0.0052,0.0084,0.002,864.0,0.0001903,0.0001903,0.0001903
17,5.003,-0.30763,0.0672,0.0726,0.0618,864.0,0.0004315,0.0004315,0.0004315
18,4.865,-0.31125,0.0585,0.0688,0.0482,864.0,0.0002344,0.0002344,0.0002344
19,5.104,-0.30768,0.0043,0.0078,0.0008,864.0,0.0002287,0.0002287,0.0002287
20,4.902,-0.30965,0.0153,0.0238,0.0068,864.0,0.0002035,0.0002035,0.0002035
21,5.04,-0.30739,0.005,0.008,0.002,864.0,0.0003709,0.0003709,0.0003709
22,4.979,-0.30076,0.0282,0.0262,0.0302,864.0,0.0002886,0.0002886,0.0002886
23,5.033,-0.30851,0.0111,0.0154,0.0068,864.0,0.0003425,0.0003425,0.0003425
24,4.766,-0.30398,0.04,0.0448,0.0352,864.0,0.00196,0.00196,0.00196
25,4.87,-0.31089,0.0119,0.0142,0.0096,864.0,0.000289,0.000289,0.000289
26,4.999,-0.30886,0.0058,0.0084,0.0032,864.0,0.0003038,0.0003038,0.0003038
27,5.077,-0.30693,0.1163,0.1284,0.1042,864.0,0.000348,0.000348,0.000348
28,5.198,-0.30578,0.006,0.008,0.004,864.0,0.0002001,0.0002001,0.0002001
29,4.994,-0.30757,0.0921,0.0854,0.0988,864.0,0.0002559,0.0002559,0.0002559
30,5.083,-0.30708,0.003,0.0044,0.0016,864.0,0.0002063,0.0002063,0.0002063
31,5.129,-0.30656,0.0026,0.0034,0.0018,864.0,0.0002935,0.0002935,0.0002935
32,5.204,-0.30413,0.0049,0.0078,0.002,864.0,0.0002648,0.0002648,0.0002648
33,4.953,-0.30938,0.1076,0.1604,0.0548,864.0,0.001,0.001,0.001
34,4.937,-0.30923,0.01,0.0154,0.0046,864.0,0.0003346,0.0003346,0.0003346
35,5.074,-0.30721,0.0105,0.0188,0.0022,864.0,0.0004575,0.0004575,0.0004575
36,5.102,-0.30593,0.0029,0.0054,0.0004,864.0,0.0002724,0.0002724,0.0002724
37,5.168,-0.30222,0.033,0.0402,0.0258,864.0,0.00105,0.00105,0.00105
38,5.106,-0.30753,0.0104,0.0144,0.0064,864.0,0.0004978,0.0004978,0.0004978
39,5.018,-0.30838,0.0152,0.019,0.0114,864.0,0.0004182,0.0004182,0.0004182
40,5.163,-0.30613,0.055,0.0586,0.0514,864.0,0.0003963,0.0003963,0.0003963
41,5.093,-0.30775,0.0796,0.076,0.0832,864.0,0.0003663,0.0003663,0.0003663
42,4.925,-0.30938,0.023,0.0288,0.0172,864.0,0.0001878,0.0001878,0.0001878
43,5.033,-0.30812,0.0178,0.0094,0.0262,864.0,0.0002047,0.0002047,0.0002047
44,5.116,-0.30753,0.0116,0.0214,0.0018,864.0,0.0005908,0.0005908,0.0005908
45,4.88,-0.30948,0.0536,0.0698,0.0374,864.0,0.0002229,0.0002229,0.0002229
46,5.145,-0.30658,0.0028,0.0056,0.0,864.0,0.0002596,0.0002596,0.0002596
47,5.001,-0.30885,0.0186,0.0226,0.0146,864.0,0.0002258,0.0002258,0.0002258
48,4.934,-0.309,0.0468,0.0214,0.0722,864.0,0.0001706,0.0001706,0.0001706
49,5.116,-0.30701,0.0026,0.0034,0.0018,864.0,0.0002372,0.0002372,0.0002372
50,5.017,-0.30795,0.0039,0.0044,0.0034,864.0,0.0002183,0.0002183,0.0002183
51,5.209,-0.30446,0.0029,0.0048,0.001,864.0,0.0002419,0.0002419,0.0002419
52,5.016,-0.30785,0.0055,0.0086,0.0024,864.0,0.0004837,0.0004837,0.0004837
53,5.048,-0.30705,0.0585,0.0558,0.0612,864.0,0.00114,0.00114,0.00114
54,5.024,-0.30335,0.0178,0.019,0.0166,864.0,0.0002129,0.0002129,0.0002129
55,5.198,-0.30556,0.0033,0.0062,0.0004,864.0,0.0002312,0.0002312,0.0002312
56,5.188,-0.30564,0.004,0.0058,0.0022,864.0,0.0003044,0.0003044,0.0003044
57,5.093,-0.30621,0.0089,0.0126,0.0052,864.0,0.0002404,0.0002404,0.0002404
58,4.965,-0.30941,0.0359,0.0388,0.033,864.0,0.0001776,0.0001776,0.0001776
59,5.019,-0.30794,0.0146,0.0186,0.0106,864.0,0.0003121,0.0003121,0.0003121
60,5.141,-0.30605,0.0309,0.0474,0.0144,864.0,0.00187,0.00187,0.00187
61,4.875,-0.3101,0.0423,0.0474,0.0372,864.0,0.0001867,0.0001867,0.0001867
62,4.961,-0.30931,0.0073,0.0098,0.0048,864.0,0.0002159,0.0002159,0.0002159
63,5.045,-0.30798,0.0281,0.0202,0.036,864.0,0.0002633,0.0002633,0.0002633
64,5.258,-0.30505,0.0273,0.0298,0.0248,864.0,0.0002884,0.0002884,0.0002884
65,5.101,-0.30611,0.0093,0.0082,0.0104,864.0,0.000208,0.000208,0.000208
66,5.234,-0.29458,0.0235,0.0294,0.0176,864.0,0.0022,0.0022,0.0022
67,4.912,-0.30058,0.112,0.1152,0.1088,864.0,0.0002602,0.0002602,0.0002602
68,5.136,-0.30448,0.0082,0.0072,0.0092,864.0,0.0002132,0.0002132,0.0002132
69,4.944,-0.30828,0.0059,0.007,0.0048,864.0,0.0002168,0.0002168,0.0002168
70,5.155,-0.30506,0.007,0.0092,0.0048,864.0,0.0001913,0.0001913,0.0001913
71,5.119,-0.31568,0.0875,0.0856,0.0894,864.0,0.0004775,0.0004775,0.0004775
72,5.145,-0.3059,0.008,0.0116,0.0044,864.0,0.0002023,0.0002023,0.0002023
73,5.019,-0.30805,0.0081,0.0062,0.01,864.0,0.0004183,0.0004183,0.0004183
74,4.874,-0.32062,0.0788,0.0754,0.0822,864.0,0.0001999,0.0001999,0.0001999
75,5.008,-0.30781,0.0072,0.011,0.0034,864.0,0.0001933,0.0001933,0.0001933
76,4.904,-0.31017,0.0041,0.0068,0.0014,864.0,0.0002108,0.0002108,0.0002108
77,5.071,-0.30801,0.0723,0.075,0.0696,864.0,0.00123,0.00123,0.00123
78,5.277,-0.3036,0.0036,0.0058,0.0014,864.0,0.0002403,0.0002403,0.0002403
79,5.017,-0.30802,0.0305,0.0272,0.0338,864.0,0.0005836,0.0005836,0.0005836
80,5.081,-0.30759,0.1025,0.0976,0.1074,864.0,0.0002361,0.0002361,0.0002361
81,4.945,-0.3096,0.0111,0.0142,0.008,864.0,0.0002273,0.0002273,0.0002273
82,5.08,-0.30778,0.0383,0.0338,0.0428,864.0,0.0007112,0.0007112,0.0007112
83,5.052,-0.30815,0.0277,0.0244,0.031,864.0,0.00099,0.00099,0.00099
84,4.909,-0.30897,0.0048,0.0094,0.0002,864.0,0.0003023,0.0003023,0.0003023
85,5.092,-0.30693,0.003,0.0052,0.0008,864.0,0.000189,0.000189,0.000189
86,4.931,-0.30902,0.0079,0.0126,0.0032,864.0,0.0003568,0.0003568,0.0003568
87,5.195,-0.30516,0.0143,0.0196,0.009,864.0,0.0002557,0.0002557,0.0002557
