Qubit,Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
65,5.101,-0.30611,0.0048,0.0068,0.0028,864.0,0.0003753,0.0003753,0.0003753
66,5.234,-0.29458,0.0183,0.0222,0.0144,864.0,0.00208,0.00208,0.00208
67,4.912,-0.30058,0.0996,0.1112,0.088,864.0,0.0002627,0.0002627,0.0002627
68,5.136,-0.30448,0.0075,0.0084,0.0066,864.0,0.0002437,0.0002437,0.0002437
69,4.944,-0.30828,0.0174,0.0124,0.0224,864.0,0.0002512,0.0002512,0.0002512
70,5.155,-0.30506,0.0067,0.0098,0.0036,864.0,0.0002592,0.0002592,0.0002592
71,5.119,-0.31568,0.0818,0.0854,0.0782,864.0,0.0004821,0.0004821,0.0004821
72,5.145,-0.3059,0.0094,0.0104,0.0084,864.0,0.000196,0.000196,0.000196
73,5.019,-0.30805,0.0178,0.015,0.0206,864.0,0.0002613,0.0002613,0.0002613
74,4.874,-0.32062,0.0824,0.0786,0.0862,864.0,0.0002264,0.0002264,0.0002264
75,5.008,-0.30781,0.0046,0.007,0.0022,864.0,0.0001779,0.0001779,0.0001779
76,4.904,-0.31017,0.0027,0.0044,0.001,864.0,0.0001936,0.0001936,0.0001936
77,5.071,-0.30801,0.0698,0.0786,0.061,864.0,0.00128,0.00128,0.00128
78,5.277,-0.3036,0.0026,0.0044,0.0008,864.0,0.000272,0.000272,0.000272
79,5.017,-0.30802,0.0153,0.0176,0.013,864.0,0.0004696,0.0004696,0.0004696
80,5.081,-0.30759,0.1213,0.1282,0.1144,864.0,0.0002135,0.0002135,0.0002135
81,4.945,-0.3096,0.0166,0.0144,0.0188,864.0,0.0002272,0.0002272,0.0002272
82,5.08,-0.30778,0.0383,0.035,0.0416,864.0,0.0006808,0.0006808,0.0006808
83,5.052,-0.30815,0.035,0.0398,0.0302,864.0,0.0011,0.0011,0.0011
84,4.909,-0.30897,0.0019,0.0036,0.0002,864.0,0.0001858,0.0001858,0.0001858
85,5.092,-0.30693,0.0034,0.0068,0.0,864.0,0.0004727,0.0004727,0.0004727
86,4.931,-0.30902,0.0084,0.0124,0.0044,864.0,0.0002608,0.0002608,0.0002608
87,5.195,-0.30516,0.014,0.0162,0.0118,864.0,0.0002266,0.0002266,0.0002266
88,5.097,-0.30661,0.0439,0.0494,0.0384,864.0,0.0002522,0.0002522,0.0002522
89,4.958,-0.30863,0.005,0.0084,0.0016,864.0,0.000218,0.000218,0.000218
90,5.256,-0.3033,0.0044,0.008,0.0008,864.0,0.0002686,0.0002686,0.0002686
91,5.056,-0.30788,0.0502,0.0538,0.0466,864.0,0.01403,0.01403,0.01403
92,5.124,-0.30626,0.004,0.0066,0.0014,864.0,0.0002051,0.0002051,0.0002051
93,5.14,-0.30575,0.0027,0.0042,0.0012,864.0,0.0001998,0.0001998,0.0001998
94,5.176,-0.30523,0.0151,0.0178,0.0124,864.0,0.0002626,0.0002626,0.0002626
95,5.221,-0.30548,0.1884,0.219,0.1578,864.0,0.0004452,0.0004452,0.0004452
96,5.142,-0.30586,0.0517,0.0562,0.0472,864.0,0.0002865,0.0002865,0.0002865
97,5.052,-0.30754,0.008,0.0092,0.0068,864.0,0.0002713,0.0002713,0.0002713
98,5.122,-0.29461,0.037,0.04,0.034,864.0,0.01117,0.01117,0.01117
99,5.175,-0.30474,0.0752,0.0724,0.078,864.0,0.00231,0.00231,0.00231
100,5.028,-0.30765,0.0197,0.0218,0.0176,864.0,0.000208,0.000208,0.000208
101,5.095,-0.30715,0.0105,0.0112,0.0098,864.0,0.0001964,0.0001964,0.0001964
102,4.985,-0.30865,0.0053,0.009,0.0016,864.0,0.0002319,0.0002319,0.0002319
103,5.227,-0.30411,0.1184,0.2344,0.0024,864.0,0.04988,0.04988,0.04988
104,5.135,-0.30632,0.0014,0.0026,0.0002,864.0,0.000219,0.000219,0.000219
105,4.985,-0.30863,0.0097,0.0102,0.0092,864.0,0.0002035,0.0002035,0.0002035
106,5.04,-0.30814,0.0095,0.012,0.007,864.0,0.0002891,0.0002891,0.0002891
107,5.122,-0.30525,0.0036,0.0054,0.0018,864.0,0.0002159,0.0002159,0.0002159
108,5.254,-0.30352,0.0812,0.0866,0.0758,864.0,0.00142,0.00142,0.00142
109,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,5.292,-0.30295,0.0109,0.0112,0.0106,864.0,0.0002722,0.0002722,0.0002722
111,5.191,-0.3056,0.0031,0.0054,0.0008,864.0,0.0002731,0.0002731,0.0002731
112,5.217,-0.27862,0.0534,0.0576,0.0492,864.0,0.0009,0.0009,0.0009
113,5.17,-0.30616,0.0263,0.0236,0.029,864.0,0.0002236,0.0002236,0.0002236
114,5.27,-0.30316,0.0769,0.0944,0.0594,864.0,0.00275,0.00275,0.00275
115,5.12,-0.30653,0.0187,0.0166,0.0208,864.0,0.0002849,0.0002849,0.0002849
116,5.017,-0.30771,0.0027,0.0052,0.0002,864.0,0.0001979,0.0001979,0.0001979
117,5.234,-0.30379,0.0054,0.0062,0.0046,864.0,0.0004579,0.0004579,0.0004579
118,5.114,-0.30676,0.0527,0.0164,0.089,864.0,0.0004495,0.0004495,0.0004495
119,5.271,-0.30461,0.0152,0.0164,0.014,864.0,0.0001833,0.0001833,0.0001833
120,5.084,-0.30669,0.0038,0.0062,0.0014,864.0,0.0002472,0.0002472,0.0002472
121,4.996,-0.30827,0.0116,0.0168,0.0064,864.0,0.0002239,0.0002239,0.0002239
122,5.269,-0.30324,0.0023,0.0038,0.0008,864.0,0.0002522,0.0002522,0.0002522
123,5.108,-0.30626,0.0041,0.0054,0.0028,864.0,0.00244,0.00244,0.00244
124,5.24,-0.29286,0.0212,0.0212,0.0212,864.0,0.00218,0.00218,0.00218
125,5.037,-0.30725,0.0033,0.0054,0.0012,864.0,0.0001751,0.0001751,0.0001751
126,5.165,-0.30495,0.0059,0.0094,0.0024,864.0,0.0002262,0.0002262,0.0002262
