Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
96,293.56,157.83,4.853,-0.3072,0.0138,0.0132,0.0144,1244.444,0.0002329,0.0002329,0.0002329
97,305.53,292.98,4.95,-0.30871,0.0085,0.0054,0.0116,1244.444,0.0001708,0.0001708,0.0001708
98,353.53,262.55,4.775,-0.31129,0.0136,0.0146,0.0126,1244.444,0.000278,0.000278,0.000278
99,391.87,235.24,4.832,-0.31021,0.0154,0.0152,0.0156,1244.444,0.0001889,0.0001889,0.0001889
100,467.49,386.36,4.649,-0.31432,0.0129,0.0146,0.0112,1244.444,0.0002851,0.0002851,0.0002851
101,259.98,67.09,4.844,-0.31062,0.003,0.0038,0.0022,1244.444,0.000183,0.000183,0.000183
102,269.01,159.06,4.787,-0.31093,0.0152,0.0182,0.0122,1244.444,0.0002712,0.0002712,0.0002712
103,319.89,125.98,4.695,-0.31226,0.0041,0.0056,0.0026,1244.444,0.0002047,0.0002047,0.0002047
104,165.04,165.25,4.784,-0.31223,0.0043,0.0068,0.0018,1244.444,0.0002146,0.0002146,0.0002146
105,282.78,54.99,4.883,-0.30992,0.0194,0.0276,0.0112,1244.444,0.0002787,0.0002787,0.0002787
106,293.29,219.62,4.775,-0.31271,0.0095,0.0142,0.0048,1244.444,0.0001837,0.0001837,0.0001837
107,245.91,179.42,4.986,-0.30744,0.0194,0.0288,0.01,1244.444,0.0001964,0.0001964,0.0001964
108,167.98,168.09,4.858,-0.30937,0.0063,0.007,0.0056,1244.444,0.0001502,0.0001502,0.0001502
109,263.24,282.23,4.794,-0.30982,0.0288,0.0296,0.028,1244.444,0.0002352,0.0002352,0.0002352
110,176.15,226.2,4.835,-0.30954,0.0064,0.0102,0.0026,1244.444,0.0004221,0.0004221,0.0004221
111,192.97,154.82,4.9,-0.30966,0.0056,0.007,0.0042,1244.444,0.0002379,0.0002379,0.0002379
112,201.1,24.21,4.931,-0.30828,0.0076,0.0086,0.0066,1244.444,0.0005046,0.0005046,0.0005046
113,338.94,57.82,4.964,-0.30844,0.004,0.0054,0.0026,1244.444,0.000239,0.000239,0.000239
114,295.28,309.36,4.885,-0.30934,0.0123,0.016,0.0086,1244.444,0.0001258,0.0001258,0.0001258
115,88.02,87.93,4.743,-0.31098,0.0075,0.0116,0.0034,1244.444,0.0004425,0.0004425,0.0004425
116,146.7,213.82,4.931,-0.30852,0.0072,0.0066,0.0078,1244.444,0.0001919,0.0001919,0.0001919
117,344.46,164.46,4.793,-0.31084,0.0085,0.0066,0.0104,1244.444,0.0003711,0.0003711,0.0003711
118,220.74,259.51,4.737,-0.31214,0.004,0.0042,0.0038,1244.444,0.0001481,0.0001481,0.0001481
119,334.48,119.93,4.793,-0.3115,0.0078,0.0104,0.0052,1244.444,0.0006391,0.0006391,0.0006391
120,195.9,170.35,4.888,-0.30955,0.0066,0.0084,0.0048,1244.444,0.0001927,0.0001927,0.0001927
121,265.07,26.84,4.848,-0.31085,0.0064,0.0088,0.004,1244.444,0.0005837,0.0005837,0.0005837
122,297.09,391.92,4.732,-0.3116,0.006,0.0076,0.0044,1244.444,0.00123,0.00123,0.00123
123,381.24,169.38,4.821,-0.31031,0.0045,0.0034,0.0056,1244.444,0.0001349,0.0001349,0.0001349
124,244.46,241.89,4.881,-0.30921,0.004,0.005,0.003,1244.444,0.0001844,0.0001844,0.0001844
125,162.94,67.97,4.977,-0.30776,0.0133,0.0112,0.0154,1244.444,0.00184,0.00184,0.00184
126,322.47,78.37,4.831,-0.3093,0.0073,0.0082,0.0064,1244.444,0.0002809,0.0002809,0.0002809
