Qubit,T1 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,476.62,4.656,-0.31111,0.0021,0.0038,0.0004,1244.444,0.0002797,0.0002797,0.0002797
1,493.75,4.535,0.0,0.0022,0.0036,0.0008,1244.444,0.0002657,0.0002657,0.0002657
2,293.65,4.68,-0.31073,0.0053,0.007,0.0036,1244.444,0.0001894,0.0001894,0.0001894
3,406.37,4.607,0.0,0.0114,0.013,0.0098,1244.444,0.0001122,0.0001122,0.0001122
4,469.22,4.462,-0.32295,0.0083,0.0108,0.0058,1244.444,0.0003874,0.0003874,0.0003874
5,373.59,4.427,0.0,0.0065,0.0074,0.0056,1244.444,0.0001391,0.0001391,0.0001391
6,362.0,4.64,-0.31059,0.0013,0.0018,0.0008,1244.444,0.0001031,0.0001031,0.0001031
7,559.84,4.476,0.0,0.001,0.0008,0.0012,1244.444,9.307e-05,9.307e-05,9.307e-05
8,353.09,4.402,-0.31475,0.0018,0.0028,0.0008,1244.444,0.0002671,0.0002671,0.0002671
9,435.77,4.519,0.0,0.0117,0.0092,0.0142,1244.444,0.0001484,0.0001484,0.0001484
10,274.24,4.628,-0.31213,0.0025,0.0028,0.0022,1244.444,0.0001661,0.0001661,0.0001661
11,356.73,4.572,0.0,0.0126,0.012,0.0132,1244.444,0.000305,0.000305,0.000305
12,206.73,4.464,-0.31549,0.0028,0.0052,0.0004,1244.444,0.0001653,0.0001653,0.0001653
13,278.54,4.573,0.0,0.0124,0.022,0.0028,1244.444,0.0004171,0.0004171,0.0004171
14,225.46,4.604,0.0,0.0098,0.0096,0.01,1244.444,0.00108,0.00108,0.00108
15,179.46,4.497,0.0,0.0185,0.0134,0.0236,1244.444,0.0006723,0.0006723,0.0006723
16,414.4,4.513,0.0,0.0079,0.01,0.0058,1244.444,0.000201,0.000201,0.000201
17,298.77,4.676,0.0,0.0099,0.0142,0.0056,1244.444,0.0006983,0.0006983,0.0006983
18,330.3,4.515,-0.31437,0.0047,0.0048,0.0046,1244.444,9.013e-05,9.013e-05,9.013e-05
19,494.61,4.444,0.0,0.0083,0.0106,0.006,1244.444,0.0001431,0.0001431,0.0001431
20,549.73,4.341,-0.31506,0.0299,0.0292,0.0306,1244.444,0.0001628,0.0001628,0.0001628
21,370.19,4.485,0.0,0.0103,0.0114,0.0092,1244.444,0.0001045,0.0001045,0.0001045
22,221.54,4.383,-0.3144,0.0908,0.1438,0.0378,1244.444,0.00091,0.00091,0.00091
23,158.02,4.532,0.0,0.0092,0.0144,0.004,1244.444,0.0007622,0.0007622,0.0007622
24,270.71,4.646,-0.31097,0.0028,0.0052,0.0004,1244.444,0.0003751,0.0003751,0.0003751
