Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,354.05,221.51,4.636,-0.31328,0.0053,0.006,0.0046,1244.444,8.644e-05,8.644e-05,8.644e-05
1,182.38,197.56,4.736,-0.31292,0.034,0.046,0.022,1244.444,0.0001362,0.0001362,0.0001362
2,309.55,178.98,4.819,-0.3113,0.0488,0.0546,0.043,1244.444,0.0002221,0.0002221,0.0002221
3,342.66,157.78,4.747,-0.31115,0.0061,0.0062,0.006,1244.444,0.0001873,0.0001873,0.0001873
4,393.92,231.14,4.788,-0.31095,0.0176,0.0134,0.0218,1244.444,0.000242,0.000242,0.000242
5,300.91,174.61,4.851,-0.31057,0.0259,0.014,0.0378,1244.444,0.000195,0.000195,0.000195
6,156.48,106.09,4.9,-0.30906,0.0947,0.0898,0.0996,1244.444,0.0004506,0.0004506,0.0004506
7,31.26,71.42,4.756,-0.311,0.0058,0.007,0.0046,1244.444,0.00103,0.00103,0.00103
8,250.16,52.54,4.813,-0.31335,0.0124,0.0162,0.0086,1244.444,0.00024,0.00024,0.00024
9,244.91,62.84,4.638,-0.3224,0.0853,0.1218,0.0488,1244.444,0.00231,0.00231,0.00231
10,240.01,179.65,4.804,-0.31123,0.0089,0.0116,0.0062,1244.444,0.0001888,0.0001888,0.0001888
11,280.33,70.1,4.743,-0.31179,0.0111,0.0124,0.0098,1244.444,0.000175,0.000175,0.000175
12,393.25,307.39,4.626,-0.31372,0.0442,0.032,0.0564,1244.444,0.0002224,0.0002224,0.0002224
13,390.28,319.08,4.557,-0.31378,0.0494,0.0584,0.0404,1244.444,0.0001318,0.0001318,0.0001318
14,289.12,61.14,4.509,-0.31577,0.0139,0.022,0.0058,1244.444,0.0002756,0.0002756,0.0002756
15,426.57,317.6,4.599,-0.32045,0.0254,0.0298,0.021,1244.444,0.00119,0.00119,0.00119
16,284.49,27.61,4.937,-0.30883,0.0636,0.0586,0.0686,1244.444,0.00253,0.00253,0.00253
17,325.62,93.56,4.753,-0.31153,0.0071,0.0082,0.006,1244.444,0.0005835,0.0005835,0.0005835
18,419.87,55.02,4.659,-0.28926,0.0303,0.0348,0.0258,1244.444,0.0001569,0.0001569,0.0001569
19,234.24,51.08,4.821,-0.31198,0.038,0.0314,0.0446,1244.444,0.0003522,0.0003522,0.0003522
20,341.3,65.62,4.738,-0.31197,0.0368,0.0398,0.0338,1244.444,0.0001868,0.0001868,0.0001868
21,365.82,25.27,4.774,-0.31143,0.0356,0.0354,0.0358,1244.444,0.0002794,0.0002794,0.0002794
22,268.97,198.83,4.668,-0.31332,0.0098,0.0124,0.0072,1244.444,0.0001461,0.0001461,0.0001461
23,379.4,85.39,4.758,-0.31174,0.0112,0.0124,0.01,1244.444,0.0002573,0.0002573,0.0002573
24,256.03,25.48,4.611,-0.31355,0.0266,0.0192,0.034,1244.444,0.0002169,0.0002169,0.0002169
25,279.84,275.73,4.732,-0.31226,0.0198,0.018,0.0216,1244.444,0.0001321,0.0001321,0.0001321
26,290.81,150.85,4.777,-0.31228,0.0048,0.0058,0.0038,1244.444,0.0001759,0.0001759,0.0001759
27,455.78,124.62,4.68,-0.31283,0.0077,0.0082,0.0072,1244.444,0.0001991,0.0001991,0.0001991
28,249.9,71.55,4.744,-0.27186,0.0358,0.0376,0.034,1244.444,0.0003208,0.0003208,0.0003208
29,345.57,144.31,4.792,-0.32426,0.0158,0.0212,0.0104,1244.444,0.00091,0.00091,0.00091
30,405.23,191.03,4.693,-0.31268,0.0104,0.0156,0.0052,1244.444,0.0001396,0.0001396,0.0001396
31,333.17,26.27,5.058,-0.30701,0.0194,0.0182,0.0206,1244.444,0.0004878,0.0004878,0.0004878
32,290.27,261.31,4.93,-0.30828,0.0248,0.0272,0.0224,1244.444,0.0001935,0.0001935,0.0001935
33,435.78,387.84,4.677,-0.31373,0.0105,0.0178,0.0032,1244.444,0.0001208,0.0001208,0.0001208
34,221.88,103.48,4.71,-0.2877,0.061,0.0576,0.0644,1244.444,0.0002655,0.0002655,0.0002655
35,302.63,46.74,4.915,-0.3092,0.0172,0.0208,0.0136,1244.444,0.00108,0.00108,0.00108
36,179.66,48.39,4.854,-0.31028,0.0077,0.0104,0.005,1244.444,0.0003543,0.0003543,0.0003543
37,421.09,248.93,4.594,-0.31539,0.018,0.0222,0.0138,1244.444,0.0001451,0.0001451,0.0001451
38,455.18,105.06,4.486,-0.31594,0.0409,0.0654,0.0164,1244.444,0.000459,0.000459,0.000459
39,549.57,194.55,4.574,-0.31403,0.0057,0.0062,0.0052,1244.444,0.0001856,0.0001856,0.0001856
40,303.71,278.42,4.706,-0.31264,0.0031,0.0036,0.0026,1244.444,0.0001602,0.0001602,0.0001602
41,219.66,129.47,4.815,-0.31264,0.0065,0.0072,0.0058,1244.444,0.000184,0.000184,0.000184
42,429.37,304.77,4.655,-0.31429,0.0333,0.0374,0.0292,1244.444,0.0001186,0.0001186,0.0001186
43,428.93,226.09,4.755,-0.31328,0.0047,0.0058,0.0036,1244.444,0.0001663,0.0001663,0.0001663
44,248.06,232.36,4.868,-0.3105,0.0096,0.005,0.0142,1244.444,0.0001654,0.0001654,0.0001654
45,127.8,122.73,4.763,-0.31105,0.0124,0.0092,0.0156,1244.444,0.0002637,0.0002637,0.0002637
46,498.41,434.43,4.674,-0.31335,0.0125,0.0126,0.0124,1244.444,0.0001186,0.0001186,0.0001186
47,272.43,94.64,4.795,-0.31225,0.0095,0.0094,0.0096,1244.444,0.0001434,0.0001434,0.0001434
48,275.5,268.92,4.707,-0.31165,0.0134,0.0154,0.0114,1244.444,0.0001402,0.0001402,0.0001402
49,233.99,97.55,4.811,-0.31113,0.0035,0.0036,0.0034,1244.444,0.0001923,0.0001923,0.0001923
50,309.53,169.04,4.879,-0.30969,0.0099,0.0086,0.0112,1244.444,0.0001593,0.0001593,0.0001593
51,340.73,373.87,4.767,-0.31094,0.0121,0.0102,0.014,1244.444,0.0001147,0.0001147,0.0001147
52,291.19,89.88,4.855,-0.3096,0.0105,0.0086,0.0124,1244.444,0.0002136,0.0002136,0.0002136
53,390.67,315.83,4.768,-0.31056,0.0216,0.0334,0.0098,1244.444,0.0001169,0.0001169,0.0001169
54,405.74,73.36,4.822,-0.31041,0.0152,0.0148,0.0156,1244.444,0.0001902,0.0001902,0.0001902
55,339.71,318.05,4.907,-0.30999,0.0054,0.0034,0.0074,1244.444,0.0001414,0.0001414,0.0001414
56,363.92,15.85,4.455,-0.31804,0.0125,0.0108,0.0142,1244.444,0.0002757,0.0002757,0.0002757
57,224.49,77.33,4.835,-0.31002,0.0154,0.0122,0.0186,1244.444,0.0003143,0.0003143,0.0003143
58,357.63,268.57,4.709,-0.31367,0.0393,0.0092,0.0694,1244.444,0.0001275,0.0001275,0.0001275
59,423.26,338.38,4.811,-0.31024,0.0054,0.007,0.0038,1244.444,0.0001101,0.0001101,0.0001101
60,335.86,234.74,4.672,-0.31324,0.0049,0.0072,0.0026,1244.444,0.0001246,0.0001246,0.0001246
61,246.85,118.92,4.902,-0.30996,0.0113,0.0158,0.0068,1244.444,0.0002507,0.0002507,0.0002507
62,444.82,163.83,4.771,-0.31099,0.0299,0.0336,0.0262,1244.444,0.0003692,0.0003692,0.0003692
63,217.53,186.7,4.995,-0.30845,0.0065,0.0058,0.0072,1244.444,0.0001393,0.0001393,0.0001393
64,152.56,185.89,4.879,-0.31051,0.0053,0.0062,0.0044,1244.444,0.0002236,0.0002236,0.0002236
65,296.5,205.1,4.758,-0.31052,0.0241,0.031,0.0172,1244.444,0.0002193,0.0002193,0.0002193
66,410.91,329.77,4.81,-0.31092,0.0053,0.0064,0.0042,1244.444,0.0001247,0.0001247,0.0001247
67,315.09,149.71,4.893,-0.31039,0.0058,0.0056,0.006,1244.444,0.0002025,0.0002025,0.0002025
68,230.45,75.61,4.741,-0.3118,0.0073,0.0076,0.007,1244.444,0.0003486,0.0003486,0.0003486
69,315.48,19.12,4.837,-0.30965,0.0109,0.0102,0.0116,1244.444,0.0002717,0.0002717,0.0002717
70,182.64,219.94,4.709,-0.31145,0.0087,0.0116,0.0058,1244.444,0.0004987,0.0004987,0.0004987
71,185.33,116.48,4.846,-0.31011,0.0358,0.0344,0.0372,1244.444,0.0002268,0.0002268,0.0002268
72,330.13,181.13,4.875,-0.3092,0.0613,0.0658,0.0568,1244.444,0.0001337,0.0001337,0.0001337
73,203.0,128.02,4.875,-0.31024,0.0181,0.0214,0.0148,1244.444,0.0005644,0.0005644,0.0005644
74,292.75,242.63,4.814,-0.3113,0.0043,0.0054,0.0032,1244.444,0.0003245,0.0003245,0.0003245
75,438.19,125.5,4.769,-0.31043,0.0415,0.0506,0.0324,1244.444,0.0002883,0.0002883,0.0002883
76,559.04,19.57,4.702,-0.31292,0.018,0.0178,0.0182,1244.444,0.0002441,0.0002441,0.0002441
77,281.7,124.31,4.807,-0.31079,0.0058,0.0064,0.0052,1244.444,0.0001376,0.0001376,0.0001376
78,188.17,268.04,4.861,-0.30955,0.0183,0.02,0.0166,1244.444,0.0001759,0.0001759,0.0001759
79,468.54,31.16,4.786,-0.31151,0.007,0.01,0.004,1244.444,0.0001927,0.0001927,0.0001927
80,159.84,206.78,5.043,-0.30792,0.01,0.007,0.013,1244.444,0.0002525,0.0002525,0.0002525
