Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,496.43,272.98,4.636,-0.31328,0.0033,0.0044,0.0022,1244.444,0.0001248,0.0001248
1,294.8,340.56,4.736,-0.31292,0.0154,0.0146,0.0162,1244.444,0.000131,0.000131
2,158.09,137.53,4.819,-0.3113,0.0289,0.0256,0.0322,1244.444,0.0002283,0.0002283
3,233.81,269.54,4.747,-0.31115,0.0143,0.0172,0.0114,1244.444,0.0002136,0.0002136
4,387.43,247.04,4.788,-0.31095,0.0158,0.013,0.0186,1244.444,0.0004443,0.0004443
5,268.34,143.44,4.851,-0.31057,0.0294,0.0138,0.045,1244.444,0.0002937,0.0002937
6,236.48,88.61,4.9,-0.30906,0.1018,0.1028,0.1008,1244.444,0.0008252,0.0008252
7,344.03,52.41,4.756,-0.311,0.0056,0.0066,0.0046,1244.444,0.0002282,0.0002282
8,432.36,32.04,4.813,-0.31335,0.0157,0.0152,0.0162,1244.444,0.0002675,0.0002675
9,454.04,82.14,4.638,-0.3224,0.0348,0.0264,0.0432,1244.444,0.0003883,0.0003883
10,229.16,221.06,4.804,-0.31123,0.0601,0.1132,0.007,1244.444,0.0026,0.0026
11,157.16,89.53,4.743,-0.31179,0.0102,0.0128,0.0076,1244.444,0.0002617,0.0002617
12,279.3,140.4,4.626,-0.31372,0.0109,0.0124,0.0094,1244.444,0.0004419,0.0004419
13,445.19,246.0,4.557,-0.31378,0.0554,0.0574,0.0534,1244.444,0.00198,0.00198
14,351.63,61.63,4.509,-0.31577,0.016,0.0264,0.0056,1244.444,0.0004226,0.0004226
15,539.03,290.18,4.599,-0.32045,0.0544,0.0518,0.057,1244.444,0.0003929,0.0003929
16,240.76,33.13,4.937,-0.30883,0.0861,0.0568,0.1154,1244.444,0.0008769,0.0008769
17,308.63,83.78,4.753,-0.31153,0.0107,0.0152,0.0062,1244.444,0.00108,0.00108
18,467.86,65.84,4.659,-0.28926,0.0517,0.0538,0.0496,1244.444,0.0001855,0.0001855
19,391.39,60.66,4.821,-0.31198,0.0426,0.0328,0.0524,1244.444,0.0002283,0.0002283
20,422.18,60.59,4.738,-0.31197,0.0292,0.0268,0.0316,1244.444,0.0002301,0.0002301
21,417.34,26.08,4.774,-0.31143,0.0322,0.0362,0.0282,1244.444,0.0002928,0.0002928
22,303.57,179.27,4.668,-0.31332,0.0147,0.022,0.0074,1244.444,0.0002017,0.0002017
23,87.8,46.3,4.758,-0.31174,0.0399,0.062,0.0178,1244.444,0.0002825,0.0002825
24,388.41,16.03,4.611,-0.31355,0.0361,0.0242,0.048,1244.444,0.0003056,0.0003056
25,324.33,238.41,4.732,-0.31226,0.0245,0.026,0.023,1244.444,0.000183,0.000183
26,321.46,142.3,4.777,-0.31228,0.0041,0.0044,0.0038,1244.444,0.0001366,0.0001366
27,453.36,123.33,4.68,-0.31283,0.0069,0.0072,0.0066,1244.444,0.0001915,0.0001915
28,219.54,67.4,4.744,-0.27186,0.0511,0.0474,0.0548,1244.444,0.0002974,0.0002974
29,281.2,157.54,4.792,-0.32426,0.0096,0.0096,0.0096,1244.444,0.0001702,0.0001702
30,119.35,301.65,4.693,-0.31268,0.0158,0.0134,0.0182,1244.444,0.000117,0.000117
31,368.98,31.8,5.058,-0.30701,0.0154,0.0166,0.0142,1244.444,0.0005314,0.0005314
32,251.12,223.34,4.93,-0.30828,0.0317,0.0416,0.0218,1244.444,0.0001817,0.0001817
33,440.32,438.01,4.677,-0.31373,0.0065,0.007,0.006,1244.444,0.0001996,0.0001996
34,142.8,81.3,4.71,-0.2877,0.055,0.038,0.072,1244.444,0.0003803,0.0003803
35,280.3,58.67,4.915,-0.3092,0.0115,0.0104,0.0126,1244.444,0.0001909,0.0001909
36,395.15,63.75,4.854,-0.31028,0.0069,0.0076,0.0062,1244.444,0.0001291,0.0001291
37,478.16,370.49,4.594,-0.31539,0.0204,0.0192,0.0216,1244.444,0.000177,0.000177
38,444.35,165.17,4.486,-0.31594,0.023,0.0186,0.0274,1244.444,0.0001966,0.0001966
39,492.43,236.41,4.574,-0.31403,0.0089,0.0076,0.0102,1244.444,0.000155,0.000155
40,180.19,136.44,4.705,-0.31264,0.0151,0.0154,0.0148,1244.444,0.0001417,0.0001417
41,280.36,318.5,4.815,-0.31264,0.0045,0.0062,0.0028,1244.444,0.0001193,0.0001193
42,374.4,425.53,4.655,-0.31429,0.0295,0.034,0.025,1244.444,0.0001342,0.0001342
43,342.53,206.68,4.755,-0.31328,0.0089,0.009,0.0088,1244.444,0.0005621,0.0005621
44,240.34,199.74,4.868,-0.3105,0.005,0.0052,0.0048,1244.444,0.0001486,0.0001486
45,423.69,128.72,4.763,-0.31105,0.0068,0.0066,0.007,1244.444,0.0006722,0.0006722
46,363.92,442.85,4.674,-0.31335,0.0069,0.0088,0.005,1244.444,9.563e-05,9.563e-05
47,269.46,99.84,4.795,-0.31225,0.0108,0.0098,0.0118,1244.444,0.0001601,0.0001601
48,234.78,76.21,4.707,-0.31165,0.0119,0.0142,0.0096,1244.444,0.0001753,0.0001753
49,287.13,172.2,4.811,-0.31113,0.0057,0.0092,0.0022,1244.444,0.0001831,0.0001831
50,359.63,177.87,4.879,-0.30969,0.0152,0.0062,0.0242,1244.444,0.0001882,0.0001882
51,379.3,303.63,4.767,-0.31094,0.0166,0.016,0.0172,1244.444,0.0002005,0.0002005
52,297.79,79.62,4.855,-0.3096,0.0124,0.009,0.0158,1244.444,0.0001924,0.0001924
