Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,105.96,11.47,5.088,-0.30783,0.0067,0.007,0.0064,864.0,0.0002068,0.0002068,0.0002068
1,124.57,99.56,4.981,-0.30902,0.0025,0.0036,0.0014,864.0,0.0002215,0.0002215,0.0002215
2,92.24,16.92,4.892,-0.3104,0.0184,0.0222,0.0146,864.0,0.0003123,0.0003123,0.0003123
3,85.53,30.61,4.944,-0.27711,0.1045,0.096,0.113,864.0,0.0004351,0.0004351,0.0004351
4,115.63,85.68,4.987,-0.32195,0.3345,0.3564,0.3126,864.0,0.00188,0.00188,0.00188
5,108.77,134.18,4.882,-0.31039,0.0911,0.0952,0.087,864.0,0.0005654,0.0005654,0.0005654
6,101.53,190.98,4.969,-0.30806,0.048,0.053,0.043,864.0,0.0002652,0.0002652,0.0002652
7,72.73,57.63,5.015,-0.30824,0.0393,0.013,0.0656,864.0,0.0003564,0.0003564,0.0003564
8,65.18,122.6,5.111,-0.3073,0.0178,0.021,0.0146,864.0,0.0007076,0.0007076,0.0007076
9,81.06,84.26,4.972,-0.30941,0.1713,0.1796,0.163,864.0,0.01221,0.01221,0.01221
10,150.73,121.27,4.876,-0.31036,0.0439,0.0546,0.0332,864.0,0.01005,0.01005,0.01005
11,150.77,58.49,5.132,-0.30673,0.0279,0.03,0.0258,864.0,0.00329,0.00329,0.00329
12,217.01,178.64,4.831,-0.31113,0.4092,0.493,0.3254,864.0,0.00279,0.00279,0.00279
13,84.31,13.27,4.95,-0.30876,0.0031,0.006,0.0002,864.0,0.0002258,0.0002258,0.0002258
14,85.46,112.84,4.995,-0.30886,0.0101,0.013,0.0072,864.0,0.000322,0.000322,0.000322
15,67.72,77.41,5.118,-0.30738,0.0061,0.0054,0.0068,864.0,0.00288,0.00288,0.00288
16,120.33,181.77,4.918,-0.3091,0.0038,0.0072,0.0004,864.0,0.0001433,0.0001433,0.0001433
17,110.36,149.95,5.003,-0.30763,0.0061,0.0122,0.0,864.0,0.0002601,0.0002601,0.0002601
18,96.15,151.15,4.865,-0.31125,0.0599,0.054,0.0658,864.0,0.0001488,0.0001488,0.0001488
19,94.08,119.21,5.104,-0.30768,0.0124,0.0064,0.0184,864.0,0.0002145,0.0002145,0.0002145
20,113.05,188.48,4.902,-0.30965,0.0079,0.0104,0.0054,864.0,0.0002028,0.0002028,0.0002028
21,112.53,135.17,5.04,-0.30739,0.0031,0.0046,0.0016,864.0,0.0002114,0.0002114,0.0002114
22,93.13,48.33,4.979,-0.30076,0.0189,0.0144,0.0234,864.0,0.0004154,0.0004154,0.0004154
23,104.05,127.89,5.033,-0.30851,0.0249,0.0338,0.016,864.0,0.0002928,0.0002928,0.0002928
24,135.76,161.75,4.766,-0.30398,0.0509,0.0608,0.041,864.0,0.00281,0.00281,0.00281
25,91.17,123.16,4.87,-0.31089,0.0092,0.0114,0.007,864.0,0.0002322,0.0002322,0.0002322
26,103.78,110.98,4.999,-0.30886,0.0102,0.0152,0.0052,864.0,0.000625,0.000625,0.000625
27,122.35,49.17,5.077,-0.30693,0.0438,0.0478,0.0398,864.0,0.0002468,0.0002468,0.0002468
28,61.75,60.17,5.198,-0.30578,0.0024,0.0044,0.0004,864.0,0.0003033,0.0003033,0.0003033
29,126.9,19.52,4.994,-0.30757,0.0036,0.0054,0.0018,864.0,0.0002192,0.0002192,0.0002192
30,123.4,105.52,5.083,-0.30708,0.0035,0.0064,0.0006,864.0,0.0002702,0.0002702,0.0002702
31,92.79,66.33,5.129,-0.30656,0.0028,0.0042,0.0014,864.0,0.0003233,0.0003233,0.0003233
32,113.99,35.55,5.204,-0.30413,0.0019,0.0028,0.001,864.0,0.0002272,0.0002272,0.0002272
33,65.47,46.66,4.952,-0.30938,0.0397,0.057,0.0224,864.0,0.01489,0.01489,0.01489
34,96.39,123.77,4.937,-0.30923,0.0113,0.0126,0.01,864.0,0.0002579,0.0002579,0.0002579
35,118.84,32.66,5.074,-0.30721,0.0052,0.007,0.0034,864.0,0.0002136,0.0002136,0.0002136
36,125.26,141.41,5.102,-0.30593,0.0056,0.0068,0.0044,864.0,0.0002225,0.0002225,0.0002225
37,84.98,63.92,5.168,-0.30222,0.0292,0.034,0.0244,864.0,0.00115,0.00115,0.00115
38,72.94,100.67,5.106,-0.30753,0.0084,0.0114,0.0054,864.0,0.000222,0.000222,0.000222
39,76.08,122.15,5.018,-0.30838,0.0127,0.0104,0.015,864.0,0.0003774,0.0003774,0.0003774
40,86.58,15.02,5.163,-0.30613,0.0226,0.0224,0.0228,864.0,0.0002782,0.0002782,0.0002782
41,56.15,43.06,5.093,-0.30775,0.0214,0.0214,0.0214,864.0,0.0003765,0.0003765,0.0003765
42,137.53,291.24,4.925,-0.30938,0.0146,0.02,0.0092,864.0,0.0001716,0.0001716,0.0001716
43,117.15,196.84,5.033,-0.30812,0.0135,0.011,0.016,864.0,0.0002058,0.0002058,0.0002058
