Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,629.23,222.3,4.636,-0.31328,0.0037,0.003,0.0044,1244.444,7.746e-05,7.746e-05
1,434.98,318.52,4.736,-0.31292,0.0153,0.0194,0.0112,1244.444,0.0001814,0.0001814
2,142.26,149.24,4.819,-0.3113,0.0254,0.021,0.0298,1244.444,0.000383,0.000383
3,409.34,207.22,4.747,-0.31115,0.0061,0.007,0.0052,1244.444,0.000164,0.000164
4,441.06,177.72,4.788,-0.31095,0.014,0.0116,0.0164,1244.444,0.0002052,0.0002052
5,271.2,185.83,4.851,-0.31057,0.0453,0.0312,0.0594,1244.444,0.0002697,0.0002697
6,248.1,55.8,4.9,-0.30906,0.0971,0.0954,0.0988,1244.444,0.0006273,0.0006273
7,369.17,51.64,4.756,-0.311,0.0083,0.0078,0.0088,1244.444,0.0004478,0.0004478
8,80.84,38.48,4.813,-0.31335,0.0128,0.012,0.0136,1244.444,0.0005723,0.0005723
9,472.32,66.54,4.638,-0.3224,0.052,0.0338,0.0702,1244.444,0.0001665,0.0001665
10,210.46,138.64,4.805,-0.31123,0.0888,0.1604,0.0172,1244.444,0.00139,0.00139
11,469.69,82.82,4.743,-0.31179,0.0113,0.0148,0.0078,1244.444,0.0001225,0.0001225
12,376.71,244.9,4.626,-0.31372,0.0115,0.012,0.011,1244.444,0.0002275,0.0002275
13,331.81,209.84,4.557,-0.31378,0.0458,0.051,0.0406,1244.444,0.0003527,0.0003527
14,298.79,73.56,4.509,-0.31577,0.013,0.023,0.003,1244.444,0.0002943,0.0002943
15,546.72,287.69,4.599,-0.32045,0.0256,0.0254,0.0258,1244.444,0.0005055,0.0005055
16,278.51,30.56,4.937,-0.30883,0.0876,0.047,0.1282,1244.444,0.00095,0.00095
17,203.36,83.78,4.753,-0.31153,0.0101,0.0154,0.0048,1244.444,0.0006141,0.0006141
18,489.95,65.72,4.659,-0.28926,0.0472,0.0454,0.049,1244.444,0.0001421,0.0001421
19,289.84,80.31,4.821,-0.31198,0.0429,0.0346,0.0512,1244.444,0.000172,0.000172
20,476.49,68.1,4.738,-0.31197,0.0279,0.0274,0.0284,1244.444,0.0002266,0.0002266
21,415.06,28.76,4.774,-0.31143,0.0359,0.0356,0.0362,1244.444,0.0002253,0.0002253
22,253.41,193.57,4.668,-0.31332,0.0096,0.0146,0.0046,1244.444,0.0001348,0.0001348
23,370.04,65.6,4.758,-0.31174,0.0216,0.0214,0.0218,1244.444,0.0006041,0.0006041
24,261.33,12.6,4.611,-0.31355,0.0318,0.0332,0.0304,1244.444,0.00151,0.00151
25,307.78,410.24,4.732,-0.31226,0.0262,0.0306,0.0218,1244.444,0.0001326,0.0001326
26,265.91,117.58,4.777,-0.31228,0.0043,0.0046,0.004,1244.444,0.000144,0.000144
27,390.42,156.66,4.68,-0.31283,0.0067,0.0072,0.0062,1244.444,0.0001612,0.0001612
28,335.71,77.76,4.744,-0.27186,0.0305,0.0238,0.0372,1244.444,0.0003287,0.0003287
29,183.26,130.61,4.792,-0.32426,0.0098,0.0116,0.008,1244.444,0.0002113,0.0002113
30,425.14,410.06,4.693,-0.31268,0.0078,0.01,0.0056,1244.444,8.913e-05,8.913e-05
31,306.19,32.39,5.058,-0.30701,0.0154,0.015,0.0158,1244.444,0.0006428,0.0006428
32,261.73,269.03,4.93,-0.30828,0.0303,0.025,0.0356,1244.444,0.0002871,0.0002871
33,525.21,269.76,4.677,-0.31373,0.0062,0.0064,0.006,1244.444,0.0003082,0.0003082
34,229.11,64.41,4.71,-0.2877,0.0439,0.0294,0.0584,1244.444,0.0002957,0.0002957
35,315.87,68.17,4.915,-0.3092,0.0117,0.012,0.0114,1244.444,0.0001426,0.0001426
36,215.52,62.62,4.854,-0.31028,0.0059,0.0066,0.0052,1244.444,0.0001238,0.0001238
37,348.02,323.98,4.594,-0.31539,0.0236,0.026,0.0212,1244.444,0.0001907,0.0001907
38,314.58,195.7,4.486,-0.31594,0.0222,0.018,0.0264,1244.444,0.0002259,0.0002259
39,529.15,177.6,4.574,-0.31403,0.0104,0.0126,0.0082,1244.444,0.0001835,0.0001835
40,321.61,356.24,4.706,-0.31264,0.0054,0.0076,0.0032,1244.444,0.0005333,0.0005333
41,269.22,381.81,4.815,-0.31264,0.0055,0.0078,0.0032,1244.444,0.0001537,0.0001537
42,350.29,375.66,4.655,-0.31429,0.0294,0.0314,0.0274,1244.444,0.0001202,0.0001202
