Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,112.12,10.96,5.088,-0.30783,0.0181,0.0112,0.025,864.0,0.0002674,0.0002674,0.0002674
1,133.77,110.36,4.981,-0.30902,0.0373,0.018,0.0566,864.0,0.0001831,0.0001831,0.0001831
2,87.08,14.23,4.892,-0.3104,0.0253,0.0274,0.0232,864.0,0.0003575,0.0003575,0.0003575
3,115.91,32.59,4.944,-0.27711,0.091,0.0896,0.0924,864.0,0.0007254,0.0007254,0.0007254
4,73.42,76.96,4.987,-0.32195,0.309,0.2978,0.3202,864.0,0.00149,0.00149,0.00149
5,82.71,165.72,4.882,-0.31039,0.0963,0.1006,0.092,864.0,0.000594,0.000594,0.000594
6,107.01,194.21,4.969,-0.30806,0.0757,0.0852,0.0662,864.0,0.0003423,0.0003423,0.0003423
7,37.47,56.33,5.015,-0.30824,0.0373,0.0088,0.0658,864.0,0.0003573,0.0003573,0.0003573
8,87.35,109.75,5.111,-0.3073,0.0119,0.016,0.0078,864.0,0.0003069,0.0003069,0.0003069
9,93.2,14.38,4.972,-0.30941,0.3348,0.3384,0.3312,864.0,0.005,0.005,0.005
10,135.87,17.03,4.876,-0.31036,0.1433,0.1688,0.1178,864.0,0.00598,0.00598,0.00598
11,167.42,30.77,5.132,-0.30673,0.282,0.2708,0.2932,864.0,0.0035,0.0035,0.0035
12,95.34,35.26,4.831,-0.31113,0.4936,0.5276,0.4596,864.0,0.00171,0.00171,0.00171
13,77.15,10.07,4.95,-0.30876,0.0305,0.0248,0.0362,864.0,0.0003546,0.0003546,0.0003546
14,89.62,91.81,4.995,-0.30886,0.0109,0.0146,0.0072,864.0,0.0003796,0.0003796,0.0003796
15,76.51,38.17,5.118,-0.30738,0.0086,0.0104,0.0068,864.0,0.0014,0.0014,0.0014
16,116.2,176.69,4.918,-0.3091,0.0076,0.009,0.0062,864.0,0.0001656,0.0001656,0.0001656
17,140.25,15.97,5.003,-0.30763,0.0496,0.0508,0.0484,864.0,0.0008797,0.0008797,0.0008797
18,101.91,146.58,4.865,-0.31125,0.0548,0.0454,0.0642,864.0,0.000184,0.000184,0.000184
19,96.35,115.5,5.104,-0.30768,0.0143,0.0176,0.011,864.0,0.0002619,0.0002619,0.0002619
20,95.15,182.57,4.902,-0.30965,0.0269,0.0262,0.0276,864.0,0.0003748,0.0003748,0.0003748
