Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,441.71,272.98,4.636,-0.31328,0.0035,0.0032,0.0038,1244.444,0.0001246,0.0001246
1,420.06,303.96,4.736,-0.31292,0.0157,0.019,0.0124,1244.444,0.000405,0.000405
2,206.6,195.32,4.819,-0.3113,0.0307,0.0294,0.032,1244.444,0.0002502,0.0002502
3,372.93,133.41,4.747,-0.31115,0.0086,0.0126,0.0046,1244.444,0.0001809,0.0001809
4,490.95,106.08,4.788,-0.31095,0.0146,0.0136,0.0156,1244.444,0.0002049,0.0002049
5,157.66,107.55,4.851,-0.31057,0.0438,0.0182,0.0694,1244.444,0.0003253,0.0003253
6,334.23,122.61,4.9,-0.30906,0.0972,0.0898,0.1046,1244.444,0.0001476,0.0001476
7,348.77,65.3,4.756,-0.311,0.006,0.0062,0.0058,1244.444,0.0004991,0.0004991
8,376.28,55.58,4.813,-0.31335,0.0145,0.0156,0.0134,1244.444,0.0002205,0.0002205
9,509.78,64.63,4.638,-0.3224,0.085,0.065,0.105,1244.444,0.0002006,0.0002006
10,186.64,199.66,4.804,-0.31123,0.0778,0.1448,0.0108,1244.444,0.00227,0.00227
11,385.79,77.39,4.743,-0.31179,0.0113,0.0132,0.0094,1244.444,0.0001809,0.0001809
12,314.53,288.23,4.626,-0.31372,0.0256,0.0334,0.0178,1244.444,0.0005185,0.0005185
13,263.65,256.83,4.557,-0.31378,0.0814,0.0788,0.084,1244.444,0.0003073,0.0003073
14,351.63,33.15,4.509,-0.31577,0.014,0.023,0.005,1244.444,0.0004316,0.0004316
15,231.35,290.18,4.599,-0.32045,0.0265,0.0262,0.0268,1244.444,0.0004766,0.0004766
16,81.18,30.03,4.937,-0.30883,0.0939,0.0664,0.1214,1244.444,0.00195,0.00195
17,228.93,73.89,4.753,-0.31153,0.0166,0.0284,0.0048,1244.444,0.0005938,0.0005938
18,454.22,63.08,4.659,-0.28926,0.0432,0.05,0.0364,1244.444,0.0002301,0.0002301
19,306.14,46.13,4.821,-0.31198,0.0407,0.0402,0.0412,1244.444,0.0002795,0.0002795
20,406.63,65.64,4.738,-0.31197,0.0302,0.028,0.0324,1244.444,0.0001989,0.0001989
21,449.54,25.49,4.774,-0.31143,0.036,0.0412,0.0308,1244.444,0.000278,0.000278
22,217.43,199.39,4.668,-0.31332,0.0078,0.0078,0.0078,1244.444,0.0001945,0.0001945
23,81.25,56.85,4.758,-0.31174,0.0167,0.0218,0.0116,1244.444,0.00139,0.00139
24,328.47,21.29,4.611,-0.31355,0.0291,0.0208,0.0374,1244.444,0.0003503,0.0003503
25,281.36,398.96,4.732,-0.31226,0.0385,0.0512,0.0258,1244.444,0.0002132,0.0002132
26,194.77,128.39,4.777,-0.31228,0.0042,0.0052,0.0032,1244.444,0.000194,0.000194
27,177.16,80.96,4.68,-0.31283,0.0055,0.0072,0.0038,1244.444,0.0001817,0.0001817
28,181.99,64.6,4.744,-0.27186,0.0494,0.0474,0.0514,1244.444,0.0003358,0.0003358
29,353.91,106.62,4.792,-0.32426,0.0089,0.01,0.0078,1244.444,0.0001548,0.0001548
30,416.43,276.62,4.693,-0.31268,0.0097,0.013,0.0064,1244.444,0.0001049,0.0001049
31,154.93,32.2,5.058,-0.30701,0.0139,0.0142,0.0136,1244.444,0.0005215,0.0005215
32,263.04,295.61,4.93,-0.30828,0.0331,0.0438,0.0224,1244.444,0.0002022,0.0002022
33,453.29,368.02,4.677,-0.31373,0.0068,0.0084,0.0052,1244.444,0.0002367,0.0002367
34,274.01,93.81,4.71,-0.2877,0.0753,0.054,0.0966,1244.444,0.0004285,0.0004285
35,290.93,71.38,4.915,-0.3092,0.0122,0.0146,0.0098,1244.444,0.0001756,0.0001756
36,439.32,50.17,4.854,-0.31028,0.04667,0.03,0.06333,1244.444,0.0001615,0.0001615
37,313.56,281.11,4.594,-0.31539,0.0199,0.0214,0.0184,1244.444,0.0001468,0.0001468
38,111.59,190.04,4.486,-0.31594,0.0268,0.023,0.0306,1244.444,0.000399,0.000399
39,416.0,229.7,4.574,-0.31403,0.007,0.0066,0.0074,1244.444,0.0002985,0.0002985
40,428.34,318.42,4.705,-0.31264,0.0122,0.0114,0.013,1244.444,0.0004508,0.0004508
41,266.16,430.36,4.815,-0.31264,0.0036,0.0044,0.0028,1244.444,0.0001184,0.0001184
42,216.33,305.49,4.655,-0.31429,0.0318,0.036,0.0276,1244.444,7.393e-05,7.393e-05
43,456.46,219.34,4.755,-0.31328,0.0169,0.0266,0.0072,1244.444,0.0005589,0.0005589
44,280.77,310.94,4.868,-0.3105,0.009,0.0058,0.0122,1244.444,0.0001557,0.0001557
45,372.38,349.96,4.763,-0.31105,0.0063,0.007,0.0056,1244.444,0.0003682,0.0003682
46,413.52,442.85,4.674,-0.31335,0.008,0.0112,0.0048,1244.444,0.0001276,0.0001276
47,398.31,95.77,4.795,-0.31225,0.0112,0.0098,0.0126,1244.444,0.0001463,0.0001463
48,311.55,210.29,4.707,-0.31165,0.0122,0.012,0.0124,1244.444,8.554e-05,8.554e-05
49,289.84,156.05,4.811,-0.31113,0.0046,0.005,0.0042,1244.444,0.0001679,0.0001679
50,296.18,123.55,4.879,-0.30969,0.0126,0.0058,0.0194,1244.444,0.0001953,0.0001953
51,286.7,363.81,4.767,-0.31094,0.03667,0.02667,0.04667,1244.444,0.0001444,0.0001444
52,287.89,84.82,4.855,-0.3096,0.0158,0.0146,0.017,1244.444,0.00181,0.00181
53,223.0,280.12,4.768,-0.31056,0.0457,0.0724,0.019,1244.444,0.0001169,0.0001169
54,351.38,64.55,4.822,-0.31041,0.0042,0.0052,0.0032,1244.444,0.0002121,0.0002121
55,304.91,251.61,4.907,-0.30999,0.0044,0.0036,0.0052,1244.444,0.0002004,0.0002004
56,396.59,16.78,4.455,-0.31804,0.0165,0.0152,0.0178,1244.444,0.0002537,0.0002537
57,465.18,67.77,4.835,-0.31002,0.0221,0.0156,0.0286,1244.444,0.0003187,0.0003187
58,496.43,279.56,4.709,-0.31367,0.1498,0.0326,0.267,1244.444,0.0001171,0.0001171
59,339.08,307.54,4.811,-0.31024,0.0089,0.0114,0.0064,1244.444,0.0001487,0.0001487
60,315.64,309.86,4.672,-0.31324,0.007,0.0104,0.0036,1244.444,0.000148,0.000148
61,364.31,408.49,4.902,-0.30996,0.006,0.0062,0.0058,1244.444,0.000204,0.000204
62,407.03,302.51,4.771,-0.31099,0.0197,0.021,0.0184,1244.444,0.0001436,0.0001436
63,347.72,288.08,4.995,-0.30845,0.0043,0.0042,0.0044,1244.444,0.0001851,0.0001851
64,186.33,173.42,4.879,-0.31051,0.0054,0.0078,0.003,1244.444,0.00128,0.00128
65,256.54,245.43,4.758,-0.31052,0.0196,0.0248,0.0144,1244.444,0.0001554,0.0001554
66,235.8,265.67,4.81,-0.31092,0.0065,0.0054,0.0076,1244.444,0.0001194,0.0001194
67,249.69,194.74,4.893,-0.31039,0.0053,0.0044,0.0062,1244.444,0.0001665,0.0001665
68,351.45,110.7,4.741,-0.3118,0.0098,0.0126,0.007,1244.444,0.0001612,0.0001612
69,251.61,19.69,4.837,-0.30965,0.0122,0.0142,0.0102,1244.444,0.0002349,0.0002349
70,402.8,281.58,4.709,-0.31145,0.0047,0.006,0.0034,1244.444,0.0001231,0.0001231
71,320.73,135.72,4.846,-0.31011,0.0413,0.0392,0.0434,1244.444,0.0001974,0.0001974
72,240.85,262.91,4.875,-0.3092,0.0481,0.0346,0.0616,1244.444,0.0001181,0.0001181
73,263.81,306.26,4.875,-0.31024,0.0182,0.0202,0.0162,1244.444,0.0004193,0.0004193
74,247.2,263.62,4.814,-0.3113,0.0019,0.0028,0.001,1244.444,0.0001129,0.0001129
75,386.02,216.56,4.769,-0.31043,0.0467,0.05,0.0434,1244.444,0.0001859,0.0001859
76,438.81,17.41,4.702,-0.31292,0.0164,0.0166,0.0162,1244.444,0.0001758,0.0001758
77,321.65,226.58,4.807,-0.31079,0.0067,0.0072,0.0062,1244.444,0.00131,0.00131
78,449.2,264.83,4.861,-0.30955,0.0188,0.0188,0.0188,1244.444,0.000148,0.000148
79,222.1,31.65,4.786,-0.31151,0.0055,0.0076,0.0034,1244.444,0.0001594,0.0001594
80,170.54,183.45,5.043,-0.30792,0.0101,0.0082,0.012,1244.444,0.0002354,0.0002354
81,262.21,175.38,4.961,-0.30881,0.0025,0.0034,0.0016,1244.444,0.0001447,0.0001447
82,361.94,185.48,4.815,-0.31103,0.0045,0.0058,0.0032,1244.444,0.0001618,0.0001618
83,357.44,65.26,4.738,-0.3138,0.0194,0.0116,0.0272,1244.444,0.0002319,0.0002319
84,416.6,263.99,4.666,-0.31335,0.0082,0.0106,0.0058,1244.444,0.0001204,0.0001204
85,304.61,134.04,4.745,-0.31197,0.0159,0.0206,0.0112,1244.444,0.0002213,0.0002213
86,256.55,207.86,4.89,-0.30914,0.0053,0.0052,0.0054,1244.444,0.0001708,0.0001708
