Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,541.12,208.25,4.636,-0.31328,0.0074,0.009,0.0058,1244.444,0.0002314,0.0002314,0.0002314
1,352.3,306.71,4.736,-0.31292,0.0223,0.0262,0.0184,1244.444,0.0002224,0.0002224,0.0002224
2,240.82,185.84,4.819,-0.3113,0.037,0.0332,0.0408,1244.444,0.0003211,0.0003211,0.0003211
3,237.71,201.34,4.747,-0.31115,0.0089,0.0074,0.0104,1244.444,0.0001713,0.0001713,0.0001713
4,264.99,243.66,4.788,-0.31095,0.0153,0.0132,0.0174,1244.444,0.0002236,0.0002236,0.0002236
5,228.38,205.42,4.851,-0.31057,0.0485,0.0134,0.0836,1244.444,0.0002038,0.0002038,0.0002038
6,140.92,99.82,4.9,-0.30906,0.1003,0.0946,0.106,1244.444,0.0001997,0.0001997,0.0001997
7,207.48,64.26,4.756,-0.311,0.0114,0.0144,0.0084,1244.444,0.00098,0.00098,0.00098
8,428.06,53.6,4.813,-0.31335,0.0204,0.0212,0.0196,1244.444,0.0002036,0.0002036,0.0002036
9,201.53,72.15,4.638,-0.29264,0.027,0.0268,0.0272,1244.444,0.0004787,0.0004787,0.0004787
10,162.84,159.43,4.804,-0.31123,0.0184,0.023,0.0138,1244.444,0.000204,0.000204,0.000204
11,367.6,78.73,4.743,-0.31179,0.015,0.021,0.009,1244.444,0.0001799,0.0001799,0.0001799
12,366.85,367.12,4.626,-0.31372,0.06667,0.02,0.11333,1244.444,0.0004699,0.0004699,0.0004699
13,382.08,220.26,4.557,-0.31378,0.0486,0.0588,0.0384,1244.444,0.0002416,0.0002416,0.0002416
14,282.4,58.96,4.509,-0.31577,0.0141,0.0228,0.0054,1244.444,0.0003472,0.0003472,0.0003472
15,444.09,202.8,4.599,-0.32045,0.0248,0.0244,0.0252,1244.444,0.0007255,0.0007255,0.0007255
16,158.47,33.68,4.937,-0.30883,0.0519,0.0544,0.0494,1244.444,0.0008653,0.0008653,0.0008653
17,333.08,79.7,4.753,-0.31153,0.0085,0.0094,0.0076,1244.444,0.0005699,0.0005699,0.0005699
18,484.32,49.2,4.659,-0.28926,0.0273,0.0246,0.03,1244.444,0.0001779,0.0001779,0.0001779
19,323.66,63.17,4.821,-0.31198,0.0439,0.0448,0.043,1244.444,0.0003345,0.0003345,0.0003345
20,362.5,74.65,4.738,-0.31197,0.032,0.029,0.035,1244.444,0.0002811,0.0002811,0.0002811
21,350.63,22.13,4.774,-0.31143,0.0258,0.0234,0.0282,1244.444,0.0002439,0.0002439,0.0002439
22,324.41,233.55,4.668,-0.31332,0.0068,0.0062,0.0074,1244.444,0.0001124,0.0001124,0.0001124
23,364.36,70.64,4.758,-0.31174,0.0132,0.0128,0.0136,1244.444,0.0004186,0.0004186,0.0004186
24,253.1,21.47,4.611,-0.31355,0.0307,0.0212,0.0402,1244.444,0.0002599,0.0002599,0.0002599
25,210.49,372.52,4.732,-0.31226,0.0269,0.0264,0.0274,1244.444,0.0002165,0.0002165,0.0002165
26,358.08,84.55,4.777,-0.31228,0.03833,0.01667,0.06,1244.444,0.0003287,0.0003287,0.0003287
27,320.17,131.66,4.68,-0.31283,0.0087,0.0146,0.0028,1244.444,0.0002158,0.0002158,0.0002158
28,296.4,83.12,4.744,-0.27186,0.2017,0.16333,0.24,1244.444,0.0003144,0.0003144,0.0003144
29,362.74,137.4,4.792,-0.32426,0.0144,0.0152,0.0136,1244.444,0.0002008,0.0002008,0.0002008
30,135.61,407.62,4.693,-0.31268,0.0176,0.011,0.0242,1244.444,9.488e-05,9.488e-05,9.488e-05
31,224.87,26.21,5.058,-0.30701,0.0169,0.0186,0.0152,1244.444,0.0005527,0.0005527,0.0005527
32,346.68,294.43,4.93,-0.30828,0.0296,0.0364,0.0228,1244.444,0.0002797,0.0002797,0.0002797
33,438.57,362.8,4.677,-0.31373,0.0105,0.0162,0.0048,1244.444,0.0001832,0.0001832,0.0001832
34,274.52,103.79,4.71,-0.2877,0.0476,0.0454,0.0498,1244.444,0.0002468,0.0002468,0.0002468
35,389.3,56.68,4.915,-0.3092,0.0108,0.0114,0.0102,1244.444,0.0001808,0.0001808,0.0001808
36,406.55,51.67,4.854,-0.31028,0.0066,0.0076,0.0056,1244.444,0.0001354,0.0001354,0.0001354
37,211.68,288.37,4.594,-0.31539,0.0136,0.0174,0.0098,1244.444,0.0001643,0.0001643,0.0001643
38,70.11,55.42,4.486,-0.31594,0.0129,0.0186,0.0072,1244.444,0.0005061,0.0005061,0.0005061
39,330.03,198.39,4.574,-0.31403,0.0056,0.0056,0.0056,1244.444,9.338e-05,9.338e-05,9.338e-05
40,285.36,214.65,4.706,-0.31264,0.0056,0.0056,0.0056,1244.444,0.0002348,0.0002348,0.0002348
41,266.51,164.83,4.815,-0.31264,0.007,0.0112,0.0028,1244.444,0.0007507,0.0007507,0.0007507
42,193.83,249.88,4.655,-0.31429,0.035,0.03,0.04,1244.444,0.0001314,0.0001314,0.0001314
43,342.64,219.03,4.755,-0.31328,0.0056,0.0064,0.0048,1244.444,0.0001665,0.0001665,0.0001665
44,209.11,152.7,4.868,-0.3105,0.0042,0.0038,0.0046,1244.444,0.0001699,0.0001699,0.0001699
45,427.54,405.24,4.763,-0.31105,0.0072,0.009,0.0054,1244.444,0.00119,0.00119,0.00119
46,323.13,364.82,4.674,-0.31335,0.0074,0.0072,0.0076,1244.444,8.193e-05,8.193e-05,8.193e-05
47,360.96,231.38,4.795,-0.31225,0.0083,0.01,0.0066,1244.444,0.000104,0.000104,0.000104
48,330.87,236.09,4.707,-0.31165,0.0118,0.014,0.0096,1244.444,0.0001133,0.0001133,0.0001133
49,241.5,166.28,4.811,-0.31113,0.0046,0.0054,0.0038,1244.444,0.0002185,0.0002185,0.0002185
50,280.82,137.8,4.879,-0.30969,0.0088,0.003,0.0146,1244.444,0.0001577,0.0001577,0.0001577
51,382.06,319.39,4.767,-0.31094,0.0174,0.0208,0.014,1244.444,9.569e-05,9.569e-05,9.569e-05
52,323.71,85.26,4.855,-0.3096,0.0114,0.0074,0.0154,1244.444,0.0001355,0.0001355,0.0001355
53,240.49,285.95,4.768,-0.31056,0.0577,0.0928,0.0226,1244.444,0.0006284,0.0006284,0.0006284
54,125.25,52.76,4.822,-0.31041,0.0056,0.009,0.0022,1244.444,0.0002955,0.0002955,0.0002955
55,212.54,153.3,4.907,-0.30999,0.1309,0.2408,0.021,1244.444,0.00101,0.00101,0.00101
56,426.12,16.05,4.455,-0.31804,0.1544,0.1616,0.1472,1244.444,0.00125,0.00125,0.00125
57,327.88,74.1,4.835,-0.31002,0.0193,0.0162,0.0224,1244.444,0.0003247,0.0003247,0.0003247
58,408.78,279.76,4.709,-0.31367,0.0224,0.0082,0.0366,1244.444,8.862e-05,8.862e-05,8.862e-05
59,436.33,449.13,4.811,-0.31024,0.011,0.0178,0.0042,1244.444,0.0001217,0.0001217,0.0001217
60,314.21,371.18,4.672,-0.31324,0.0078,0.0096,0.006,1244.444,9.96e-05,9.96e-05,9.96e-05
61,314.19,343.09,4.902,-0.30996,0.0057,0.0074,0.004,1244.444,0.0001406,0.0001406,0.0001406
62,341.6,383.59,4.771,-0.31099,0.0248,0.0292,0.0204,1244.444,0.0001757,0.0001757,0.0001757
63,296.77,245.6,4.995,-0.30845,0.0047,0.0062,0.0032,1244.444,0.0001433,0.0001433,0.0001433
64,186.73,166.04,4.879,-0.31051,0.0051,0.0056,0.0046,1244.444,0.0001575,0.0001575,0.0001575
65,481.66,161.13,4.758,-0.31052,0.0249,0.035,0.0148,1244.444,0.0001163,0.0001163,0.0001163
66,106.85,193.02,4.81,-0.31092,0.0046,0.0056,0.0036,1244.444,0.0002649,0.0002649,0.0002649
67,153.55,207.86,4.893,-0.31039,0.0063,0.0048,0.0078,1244.444,0.0001647,0.0001647,0.0001647
68,372.08,95.08,4.741,-0.3118,0.0086,0.0076,0.0096,1244.444,0.0001663,0.0001663,0.0001663
69,292.38,19.12,4.837,-0.30965,0.0086,0.0054,0.0118,1244.444,0.0002695,0.0002695,0.0002695
