Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,492.44,222.3,4.636,-0.31328,0.0037,0.003,0.0044,1244.444,7.746e-05,7.746e-05
1,434.98,318.52,4.736,-0.31292,0.0153,0.0194,0.0112,1244.444,0.0001814,0.0001814
2,155.14,149.24,4.819,-0.3113,0.0254,0.021,0.0298,1244.444,0.000383,0.000383
3,317.34,207.22,4.747,-0.31115,0.0061,0.007,0.0052,1244.444,0.000164,0.000164
4,216.85,177.72,4.788,-0.31095,0.014,0.0116,0.0164,1244.444,0.0002052,0.0002052
5,267.6,185.83,4.851,-0.31057,0.0453,0.0312,0.0594,1244.444,0.0002697,0.0002697
6,218.72,55.8,4.9,-0.30906,0.0971,0.0954,0.0988,1244.444,0.0006273,0.0006273
7,216.15,51.64,4.756,-0.311,0.0083,0.0078,0.0088,1244.444,0.0004478,0.0004478
8,148.52,38.48,4.813,-0.31335,0.0128,0.012,0.0136,1244.444,0.0005723,0.0005723
9,559.29,66.54,4.638,-0.3224,0.052,0.0338,0.0702,1244.444,0.0001665,0.0001665
10,246.75,138.64,4.804,-0.31123,0.0888,0.1604,0.0172,1244.444,0.00139,0.00139
11,364.5,82.82,4.743,-0.31179,0.0113,0.0148,0.0078,1244.444,0.0001225,0.0001225
12,307.4,244.9,4.626,-0.31372,0.0115,0.012,0.011,1244.444,0.0002275,0.0002275
13,351.54,209.84,4.557,-0.31378,0.0458,0.051,0.0406,1244.444,0.0003527,0.0003527
14,339.0,73.56,4.509,-0.31577,0.013,0.023,0.003,1244.444,0.0002943,0.0002943
15,520.47,287.69,4.599,-0.32045,0.0256,0.0254,0.0258,1244.444,0.0005055,0.0005055
16,278.51,30.56,4.937,-0.30883,0.0876,0.047,0.1282,1244.444,0.00095,0.00095
17,121.39,83.78,4.753,-0.31153,0.0101,0.0154,0.0048,1244.444,0.0006141,0.0006141
18,433.67,65.72,4.659,-0.28926,0.0472,0.0454,0.049,1244.444,0.0001421,0.0001421
19,390.82,80.31,4.821,-0.31198,0.0429,0.0346,0.0512,1244.444,0.000172,0.000172
20,385.78,68.1,4.738,-0.31197,0.0279,0.0274,0.0284,1244.444,0.0002266,0.0002266
21,295.65,28.76,4.774,-0.31143,0.0359,0.0356,0.0362,1244.444,0.0002253,0.0002253
22,196.24,193.57,4.668,-0.31332,0.0096,0.0146,0.0046,1244.444,0.0001348,0.0001348
23,111.76,65.6,4.758,-0.31174,0.0216,0.0214,0.0218,1244.444,0.0006041,0.0006041
24,261.33,12.6,4.611,-0.31355,0.0318,0.0332,0.0304,1244.444,0.00151,0.00151
25,313.33,410.24,4.732,-0.31226,0.0262,0.0306,0.0218,1244.444,0.0001326,0.0001326
26,380.94,117.58,4.777,-0.31228,0.0043,0.0046,0.004,1244.444,0.000144,0.000144
27,285.91,156.66,4.68,-0.31283,0.0067,0.0072,0.0062,1244.444,0.0001612,0.0001612
28,335.71,77.76,4.744,-0.27186,0.0305,0.0238,0.0372,1244.444,0.0003287,0.0003287
29,210.68,130.61,4.792,-0.32426,0.0098,0.0116,0.008,1244.444,0.0002113,0.0002113
30,282.92,410.06,4.693,-0.31268,0.0078,0.01,0.0056,1244.444,8.913e-05,8.913e-05
31,351.63,32.39,5.058,-0.30701,0.0154,0.015,0.0158,1244.444,0.0006428,0.0006428
32,309.25,269.03,4.93,-0.30828,0.0303,0.025,0.0356,1244.444,0.0002871,0.0002871
33,562.16,269.76,4.677,-0.31373,0.0062,0.0064,0.006,1244.444,0.0003082,0.0003082
34,229.11,64.41,4.71,-0.2877,0.0439,0.0294,0.0584,1244.444,0.0002957,0.0002957
35,372.26,68.17,4.915,-0.3092,0.0117,0.012,0.0114,1244.444,0.0001426,0.0001426
36,350.25,62.62,4.854,-0.31028,0.0059,0.0066,0.0052,1244.444,0.0001238,0.0001238
37,395.34,323.98,4.594,-0.31539,0.0236,0.026,0.0212,1244.444,0.0001907,0.0001907
38,485.82,195.7,4.486,-0.31594,0.0222,0.018,0.0264,1244.444,0.0002259,0.0002259
39,501.22,177.6,4.574,-0.31403,0.0104,0.0126,0.0082,1244.444,0.0001835,0.0001835
40,325.58,356.24,4.706,-0.31264,0.0054,0.0076,0.0032,1244.444,0.0005333,0.0005333
41,264.42,381.81,4.815,-0.31264,0.0055,0.0078,0.0032,1244.444,0.0001537,0.0001537
42,326.87,375.66,4.655,-0.31429,0.0294,0.0314,0.0274,1244.444,0.0001202,0.0001202
43,205.71,130.92,4.755,-0.31328,0.0197,0.0312,0.0082,1244.444,0.0006225,0.0006225
44,330.79,223.66,4.868,-0.3105,0.0096,0.0156,0.0036,1244.444,0.0001824,0.0001824
45,328.35,364.21,4.763,-0.31105,0.0074,0.0088,0.006,1244.444,0.0007484,0.0007484
46,442.33,178.88,4.674,-0.31335,0.012,0.0206,0.0034,1244.444,0.00226,0.00226
47,326.64,138.21,4.795,-0.31225,0.0093,0.0094,0.0092,1244.444,0.0001628,0.0001628
48,396.7,280.04,4.707,-0.31165,0.0112,0.0138,0.0086,1244.444,0.0001173,0.0001173
49,256.31,160.02,4.811,-0.31113,0.0036,0.005,0.0022,1244.444,0.0001274,0.0001274
50,297.38,184.53,4.879,-0.30969,0.0102,0.0066,0.0138,1244.444,0.0001737,0.0001737
51,244.43,357.71,4.767,-0.31094,0.0163,0.0186,0.014,1244.444,0.0001736,0.0001736
52,332.74,73.43,4.855,-0.3096,0.0142,0.0144,0.014,1244.444,0.0001884,0.0001884
53,377.98,359.63,4.768,-0.31056,0.0128,0.0128,0.0128,1244.444,7.872e-05,7.872e-05
54,227.84,63.57,4.822,-0.31041,0.0054,0.007,0.0038,1244.444,0.0001996,0.0001996
55,291.79,336.86,4.907,-0.30999,0.0054,0.0044,0.0064,1244.444,0.0001514,0.0001514
56,515.7,16.69,4.455,-0.31804,0.0211,0.016,0.0262,1244.444,0.0002037,0.0002037
57,422.42,66.27,4.835,-0.31002,0.0202,0.0136,0.0268,1244.444,0.000309,0.000309
58,468.76,52.56,4.709,-0.31367,0.0793,0.0326,0.126,1244.444,0.00202,0.00202
59,325.44,257.5,4.811,-0.31024,0.0061,0.0088,0.0034,1244.444,0.0001472,0.0001472
60,443.4,411.15,4.672,-0.31324,0.0067,0.0086,0.0048,1244.444,8.23e-05,8.23e-05
61,345.67,347.84,4.902,-0.30996,0.0067,0.0074,0.006,1244.444,0.0001891,0.0001891
62,344.08,359.67,4.771,-0.31099,0.0198,0.0188,0.0208,1244.444,0.0001051,0.0001051
63,294.32,212.02,4.995,-0.30845,0.006,0.0064,0.0056,1244.444,0.0001673,0.0001673
64,193.49,146.63,4.879,-0.31051,0.0053,0.006,0.0046,1244.444,0.0002276,0.0002276
65,357.73,249.94,4.758,-0.31052,0.0217,0.024,0.0194,1244.444,0.0001195,0.0001195
66,313.05,256.22,4.81,-0.31092,0.0044,0.0036,0.0052,1244.444,0.0002026,0.0002026
67,174.82,198.0,4.893,-0.31039,0.0046,0.0042,0.005,1244.444,0.0001967,0.0001967
68,213.94,114.39,4.741,-0.3118,0.0079,0.0092,0.0066,1244.444,0.0002216,0.0002216
69,306.99,20.74,4.837,-0.30965,0.0086,0.0056,0.0116,1244.444,0.0002516,0.0002516
70,445.18,330.74,4.709,-0.31145,0.0062,0.0078,0.0046,1244.444,0.0001679,0.0001679
71,311.84,129.08,4.846,-0.31011,0.0311,0.0274,0.0348,1244.444,0.0001693,0.0001693
72,250.48,91.97,4.875,-0.3092,0.0539,0.0616,0.0462,1244.444,0.0001667,0.0001667
