Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,483.32,146.23,4.636,-0.31328,0.0036,0.0052,0.002,1244.444,0.0002086,0.0002086,0.0002086
1,399.98,291.85,4.736,-0.31292,0.0139,0.018,0.0098,1244.444,0.0001326,0.0001326,0.0001326
2,241.36,147.0,4.819,-0.3113,0.0258,0.0172,0.0344,1244.444,0.0002383,0.0002383,0.0002383
3,371.38,190.48,4.747,-0.31115,0.011,0.0084,0.0136,1244.444,0.0001804,0.0001804,0.0001804
4,309.07,236.92,4.788,-0.31095,0.0147,0.0112,0.0182,1244.444,0.0002392,0.0002392,0.0002392
5,215.22,165.56,4.851,-0.31057,0.0325,0.0136,0.0514,1244.444,0.0001913,0.0001913,0.0001913
6,157.26,97.51,4.9,-0.30906,0.0975,0.0988,0.0962,1244.444,0.0002463,0.0002463,0.0002463
7,295.44,51.02,4.756,-0.311,0.0047,0.0062,0.0032,1244.444,0.0008745,0.0008745,0.0008745
8,313.37,35.62,4.813,-0.31335,0.0105,0.0112,0.0098,1244.444,0.0004374,0.0004374,0.0004374
9,284.74,73.43,4.638,-0.3224,0.0245,0.0258,0.0232,1244.444,0.00336,0.00336,0.00336
10,238.38,92.63,4.804,-0.31123,0.0086,0.0094,0.0078,1244.444,0.0001215,0.0001215,0.0001215
11,346.07,85.44,4.743,-0.31179,0.0082,0.0102,0.0062,1244.444,0.0001339,0.0001339,0.0001339
12,176.51,242.23,4.626,-0.31372,0.0092,0.0104,0.008,1244.444,0.000199,0.000199,0.000199
13,377.32,322.4,4.557,-0.31378,0.038,0.0412,0.0348,1244.444,0.0001528,0.0001528,0.0001528
14,250.56,56.5,4.509,-0.31577,0.0188,0.029,0.0086,1244.444,0.0003598,0.0003598,0.0003598
15,445.5,245.48,4.599,-0.32045,0.0284,0.0332,0.0236,1244.444,0.0006974,0.0006974,0.0006974
16,327.25,25.84,4.937,-0.30883,0.0863,0.0576,0.115,1244.444,0.0008876,0.0008876,0.0008876
17,307.26,79.29,4.753,-0.31153,0.0071,0.0108,0.0034,1244.444,0.0005161,0.0005161,0.0005161
18,446.59,69.09,4.659,-0.28926,0.0445,0.0418,0.0472,1244.444,0.0001425,0.0001425,0.0001425
19,407.97,63.05,4.821,-0.31198,0.0389,0.0428,0.035,1244.444,0.0001974,0.0001974,0.0001974
20,363.15,53.0,4.738,-0.31197,0.0438,0.0622,0.0254,1244.444,0.00146,0.00146,0.00146
21,303.72,25.1,4.774,-0.31143,0.0297,0.0308,0.0286,1244.444,0.0002569,0.0002569,0.0002569
22,240.2,152.68,4.668,-0.31332,0.0147,0.0242,0.0052,1244.444,0.00074,0.00074,0.00074
23,366.7,71.2,4.758,-0.31174,0.0173,0.0182,0.0164,1244.444,0.0001598,0.0001598,0.0001598
24,258.7,17.98,4.611,-0.31355,0.0323,0.0254,0.0392,1244.444,0.0002602,0.0002602,0.0002602
25,334.37,238.36,4.732,-0.31226,0.023,0.0272,0.0188,1244.444,0.0001767,0.0001767,0.0001767
26,233.03,112.29,4.777,-0.31228,0.0053,0.0074,0.0032,1244.444,0.0002378,0.0002378,0.0002378
27,566.28,142.41,4.68,-0.31283,0.0139,0.0234,0.0044,1244.444,0.0002085,0.0002085,0.0002085
28,207.96,75.0,4.743,-0.27186,0.0287,0.0282,0.0292,1244.444,0.0005428,0.0005428,0.0005428
29,259.2,136.99,4.792,-0.32426,0.0117,0.0126,0.0108,1244.444,0.0002773,0.0002773,0.0002773
30,261.37,274.16,4.693,-0.31268,0.0084,0.0122,0.0046,1244.444,0.0002464,0.0002464,0.0002464
31,293.63,28.42,5.058,-0.30701,0.0171,0.0154,0.0188,1244.444,0.0004979,0.0004979,0.0004979
32,240.84,252.34,4.93,-0.30828,0.0336,0.0424,0.0248,1244.444,0.0001616,0.0001616,0.0001616
33,453.34,359.64,4.677,-0.31373,0.0082,0.012,0.0044,1244.444,0.0004536,0.0004536,0.0004536
34,294.16,90.12,4.71,-0.2877,0.0757,0.0442,0.1072,1244.444,0.000268,0.000268,0.000268
35,201.54,55.29,4.915,-0.3092,0.0106,0.0112,0.01,1244.444,0.0001838,0.0001838,0.0001838
36,332.38,53.04,4.854,-0.31028,0.0161,0.0246,0.0076,1244.444,0.0001474,0.0001474,0.0001474
37,320.56,329.95,4.594,-0.31539,0.0231,0.0292,0.017,1244.444,0.0002643,0.0002643,0.0002643
38,403.91,116.57,4.486,-0.31594,0.0253,0.0236,0.027,1244.444,0.0001454,0.0001454,0.0001454
39,319.61,212.8,4.574,-0.31403,0.0067,0.008,0.0054,1244.444,0.0001598,0.0001598,0.0001598
40,186.73,96.56,4.705,-0.31264,0.0119,0.0162,0.0076,1244.444,0.0003749,0.0003749,0.0003749
41,84.81,69.84,4.815,-0.31264,0.1294,0.2178,0.041,1244.444,0.01343,0.01343,0.01343
42,420.64,351.33,4.655,-0.31429,0.0286,0.0264,0.0308,1244.444,0.0001745,0.0001745,0.0001745
43,444.42,188.9,4.755,-0.31328,0.0123,0.0186,0.006,1244.444,0.0003046,0.0003046,0.0003046
44,218.51,172.41,4.868,-0.3105,0.004,0.0048,0.0032,1244.444,0.0002671,0.0002671,0.0002671
45,347.05,269.87,4.763,-0.31105,0.0073,0.0084,0.0062,1244.444,0.0002474,0.0002474,0.0002474
46,316.09,477.81,4.674,-0.31335,0.0055,0.0078,0.0032,1244.444,0.0001108,0.0001108,0.0001108
47,362.85,113.88,4.795,-0.31225,0.0086,0.0094,0.0078,1244.444,0.0001256,0.0001256,0.0001256
48,458.77,235.37,4.707,-0.31165,0.014,0.0166,0.0114,1244.444,0.0001123,0.0001123,0.0001123
49,247.66,168.13,4.811,-0.31113,0.0043,0.0054,0.0032,1244.444,0.0002147,0.0002147,0.0002147
50,273.5,173.3,4.879,-0.30969,0.012,0.005,0.019,1244.444,0.0001757,0.0001757,0.0001757
51,391.42,361.9,4.767,-0.31094,0.0135,0.0164,0.0106,1244.444,0.0001508,0.0001508,0.0001508
52,170.46,89.1,4.855,-0.3096,0.0148,0.012,0.0176,1244.444,0.0002703,0.0002703,0.0002703
53,285.31,278.58,4.768,-0.31056,0.055,0.0896,0.0204,1244.444,0.0001418,0.0001418,0.0001418
54,255.75,70.25,4.822,-0.31041,0.0059,0.0076,0.0042,1244.444,0.0002075,0.0002075,0.0002075
55,156.05,324.41,4.907,-0.30999,0.0119,0.0174,0.0064,1244.444,0.0007968,0.0007968,0.0007968
56,293.54,16.16,4.455,-0.31804,0.0166,0.0122,0.021,1244.444,0.0002941,0.0002941,0.0002941
57,386.22,59.06,4.835,-0.31002,0.0226,0.0142,0.031,1244.444,0.0003496,0.0003496,0.0003496
58,484.73,183.63,4.709,-0.31367,0.0186,0.0066,0.0306,1244.444,9.849e-05,9.849e-05,9.849e-05
59,397.02,374.05,4.811,-0.31024,0.0051,0.0064,0.0038,1244.444,0.0001388,0.0001388,0.0001388
60,424.35,184.65,4.672,-0.31324,0.0037,0.0046,0.0028,1244.444,0.0004039,0.0004039,0.0004039
61,354.91,327.5,4.902,-0.30996,0.005,0.0054,0.0046,1244.444,0.00012,0.00012,0.00012
62,416.63,263.59,4.771,-0.31099,0.0262,0.0266,0.0258,1244.444,0.0001413,0.0001413,0.0001413
63,329.99,221.25,4.995,-0.30845,0.0076,0.0094,0.0058,1244.444,0.0002566,0.0002566,0.0002566
64,149.51,178.07,4.879,-0.31051,0.006,0.0088,0.0032,1244.444,0.0002007,0.0002007,0.0002007
65,340.31,252.35,4.758,-0.31052,0.0214,0.0218,0.021,1244.444,0.0001414,0.0001414,0.0001414
66,383.49,323.01,4.81,-0.31092,0.0042,0.0048,0.0036,1244.444,0.000393,0.000393,0.000393
67,328.31,213.92,4.893,-0.31039,0.0057,0.005,0.0064,1244.444,0.0001689,0.0001689,0.0001689
68,305.9,104.14,4.741,-0.3118,0.0093,0.011,0.0076,1244.444,0.00018,0.00018,0.00018
69,252.73,17.75,4.837,-0.30965,0.0159,0.013,0.0188,1244.444,0.0002313,0.0002313,0.0002313
70,341.78,370.97,4.709,-0.31145,0.0061,0.0066,0.0056,1244.444,0.0001748,0.0001748,0.0001748
71,402.25,105.92,4.846,-0.31011,0.0318,0.0314,0.0322,1244.444,0.0001612,0.0001612,0.0001612
72,232.08,233.91,4.875,-0.3092,0.0525,0.0582,0.0468,1244.444,0.0001658,0.0001658,0.0001658
73,211.22,282.52,4.875,-0.31024,0.0209,0.0222,0.0196,1244.444,0.000194,0.000194,0.000194
74,262.7,303.6,4.814,-0.3113,0.0048,0.008,0.0016,1244.444,0.0002429,0.0002429,0.0002429
75,298.76,148.47,4.769,-0.31043,0.0504,0.0588,0.042,1244.444,0.00114,0.00114,0.00114
76,186.73,22.55,4.702,-0.31292,0.0159,0.0184,0.0134,1244.444,0.0001735,0.0001735,0.0001735
77,125.85,248.38,4.807,-0.31079,0.0076,0.0104,0.0048,1244.444,0.0002669,0.0002669,0.0002669
78,195.32,256.53,4.861,-0.30955,0.0194,0.0204,0.0184,1244.444,0.0001503,0.0001503,0.0001503
79,392.4,25.87,4.786,-0.31151,0.0051,0.0068,0.0034,1244.444,0.0001763,0.0001763,0.0001763
80,102.99,165.94,5.043,-0.30792,0.0082,0.0078,0.0086,1244.444,0.0002518,0.0002518,0.0002518
81,269.71,164.25,4.961,-0.30881,0.004,0.0064,0.0016,1244.444,0.0001763,0.0001763,0.0001763
82,351.09,174.63,4.815,-0.31103,0.0044,0.0072,0.0016,1244.444,0.0001563,0.0001563,0.0001563
83,385.64,56.93,4.738,-0.3138,0.0255,0.0156,0.0354,1244.444,0.000192,0.000192,0.000192
