Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,385.1,209.38,4.636,-0.31328,0.0132,0.0224,0.004,1244.444,0.0003098,0.0003098,0.0003098
1,362.31,284.59,4.736,-0.31292,0.0199,0.0188,0.021,1244.444,0.0001251,0.0001251,0.0001251
2,279.4,144.21,4.819,-0.3113,0.0467,0.0468,0.0466,1244.444,0.0002123,0.0002123,0.0002123
3,371.4,210.92,4.747,-0.31115,0.0072,0.0084,0.006,1244.444,0.0003691,0.0003691,0.0003691
4,325.31,288.87,4.788,-0.31095,0.0163,0.0146,0.018,1244.444,0.0001999,0.0001999,0.0001999
5,218.03,189.24,4.851,-0.31057,0.0328,0.0134,0.0522,1244.444,0.0001852,0.0001852,0.0001852
6,240.42,140.82,4.9,-0.30906,0.1079,0.1052,0.1106,1244.444,0.0006075,0.0006075,0.0006075
7,204.35,49.04,4.756,-0.311,0.0247,0.0436,0.0058,1244.444,0.0004513,0.0004513,0.0004513
8,278.41,62.45,4.813,-0.31335,0.0146,0.015,0.0142,1244.444,0.0003043,0.0003043,0.0003043
9,212.1,64.84,4.638,-0.3224,0.1186,0.1848,0.0524,1244.444,0.0001614,0.0001614,0.0001614
10,236.91,190.36,4.804,-0.31123,0.0076,0.0086,0.0066,1244.444,0.0003021,0.0003021,0.0003021
11,431.1,82.25,4.743,-0.31179,0.0089,0.01,0.0078,1244.444,0.0001364,0.0001364,0.0001364
12,187.59,112.27,4.626,-0.31372,0.0106,0.0116,0.0096,1244.444,0.0002106,0.0002106,0.0002106
13,173.68,281.04,4.557,-0.31378,0.0437,0.0432,0.0442,1244.444,0.0001655,0.0001655,0.0001655
14,153.24,46.27,4.509,-0.31577,0.0186,0.028,0.0092,1244.444,0.0002785,0.0002785,0.0002785
15,288.02,190.9,4.599,-0.32045,0.0261,0.0258,0.0264,1244.444,0.000596,0.000596,0.000596
16,353.66,32.37,4.937,-0.30883,0.0657,0.0562,0.0752,1244.444,0.0007142,0.0007142,0.0007142
17,282.1,67.47,4.753,-0.31153,0.0081,0.0114,0.0048,1244.444,0.0005971,0.0005971,0.0005971
18,441.06,52.85,4.659,-0.28926,0.0284,0.0252,0.0316,1244.444,0.0001454,0.0001454,0.0001454
19,304.11,41.58,4.821,-0.31198,0.0338,0.0322,0.0354,1244.444,0.0001824,0.0001824,0.0001824
20,321.74,55.93,4.738,-0.31197,0.0383,0.0438,0.0328,1244.444,0.0003077,0.0003077,0.0003077
21,350.25,29.21,4.774,-0.31143,0.0417,0.046,0.0374,1244.444,0.0003465,0.0003465,0.0003465
22,324.57,204.88,4.668,-0.31332,0.0046,0.0058,0.0034,1244.444,0.000162,0.000162,0.000162
23,318.91,75.26,4.758,-0.31174,0.0112,0.0138,0.0086,1244.444,0.000155,0.000155,0.000155
