Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,567.21,255.44,4.636,-0.31328,0.003,0.0032,0.0028,1244.444,0.0001065,0.0001065
1,368.76,290.73,4.736,-0.31292,0.0447,0.0608,0.0286,1244.444,0.0002148,0.0002148
2,180.79,148.61,4.819,-0.3113,0.0265,0.022,0.031,1244.444,0.0002473,0.0002473
3,349.88,207.3,4.747,-0.31115,0.0154,0.0128,0.018,1244.444,0.0002223,0.0002223
4,413.55,216.5,4.788,-0.31095,0.0188,0.0124,0.0252,1244.444,0.000207,0.000207
5,246.81,175.48,4.851,-0.31057,0.0642,0.0646,0.0638,1244.444,0.0005918,0.0005918
6,342.05,82.12,4.9,-0.30906,0.1084,0.0992,0.1176,1244.444,0.0001936,0.0001936
7,275.17,35.79,4.756,-0.311,0.0095,0.0146,0.0044,1244.444,0.00316,0.00316
8,305.59,35.88,4.813,-0.31335,0.0122,0.0126,0.0118,1244.444,0.0002584,0.0002584
9,429.19,61.79,4.637,-0.3224,0.0288,0.038,0.0196,1244.444,0.0004625,0.0004625
10,168.71,226.53,4.804,-0.31123,0.0068,0.008,0.0056,1244.444,0.0001398,0.0001398
11,403.68,74.59,4.743,-0.31179,0.0102,0.0102,0.0102,1244.444,0.0004443,0.0004443
12,348.43,325.66,4.626,-0.31372,0.0359,0.028,0.0438,1244.444,0.0001443,0.0001443
13,195.94,264.11,4.557,-0.31378,0.0671,0.091,0.0432,1244.444,0.0006238,0.0006238
14,313.42,78.98,4.509,-0.31577,0.0149,0.0236,0.0062,1244.444,0.0005714,0.0005714
15,366.71,275.3,4.599,-0.32045,0.0337,0.0462,0.0212,1244.444,0.00106,0.00106
16,284.32,22.83,4.937,-0.30883,0.0963,0.102,0.0906,1244.444,0.0008526,0.0008526
17,454.81,84.59,4.753,-0.31153,0.02,0.025,0.015,1244.444,0.0004852,0.0004852
18,433.74,13.26,4.659,-0.28926,0.0383,0.0446,0.032,1244.444,0.0001913,0.0001913
19,452.2,78.55,4.821,-0.31198,0.0403,0.032,0.0486,1244.444,0.0001744,0.0001744
20,373.52,62.32,4.738,-0.31197,0.0282,0.0246,0.0318,1244.444,0.0004019,0.0004019
21,401.99,22.35,4.774,-0.31143,0.0403,0.0464,0.0342,1244.444,0.0004311,0.0004311
22,317.21,214.57,4.668,-0.31332,0.0077,0.0076,0.0078,1244.444,0.0001221,0.0001221
23,493.27,53.85,4.758,-0.31174,0.0172,0.02,0.0144,1244.444,0.0001904,0.0001904
24,326.08,17.15,4.611,-0.31355,0.0736,0.0946,0.0526,1244.444,0.0008348,0.0008348
25,363.9,278.46,4.732,-0.31226,0.0224,0.0264,0.0184,1244.444,0.0002017,0.0002017
26,338.85,125.71,4.777,-0.31228,0.0051,0.006,0.0042,1244.444,0.000134,0.000134
27,437.29,147.89,4.68,-0.31283,0.0087,0.008,0.0094,1244.444,0.0001221,0.0001221
28,207.24,87.09,4.743,-0.27186,0.0293,0.0274,0.0312,1244.444,0.0003797,0.0003797
29,438.05,190.02,4.792,-0.32426,0.007,0.0078,0.0062,1244.444,0.0002053,0.0002053
30,368.66,244.95,4.693,-0.31268,0.0123,0.0178,0.0068,1244.444,0.000241,0.000241
31,278.76,33.24,5.058,-0.30701,0.031,0.034,0.028,1244.444,0.0004433,0.0004433
32,328.43,215.02,4.93,-0.30828,0.0281,0.0324,0.0238,1244.444,0.000171,0.000171
33,308.13,347.21,4.677,-0.31373,0.0045,0.005,0.004,1244.444,0.0001376,0.0001376
34,221.31,98.44,4.71,-0.2877,0.0742,0.0744,0.074,1244.444,0.0003083,0.0003083
35,326.46,60.01,4.915,-0.3092,0.009,0.0094,0.0086,1244.444,0.0002025,0.0002025
36,393.73,57.89,4.854,-0.31028,0.0197,0.0236,0.0158,1244.444,0.0001482,0.0001482
37,467.2,406.96,4.594,-0.31539,0.0222,0.0256,0.0188,1244.444,0.0001847,0.0001847
38,322.99,163.85,4.486,-0.31594,0.0307,0.0378,0.0236,1244.444,0.0001509,0.0001509
39,502.95,277.13,4.574,-0.31403,0.0077,0.0074,0.008,1244.444,0.000133,0.000133
40,267.87,131.95,4.705,-0.31264,0.0258,0.0334,0.0182,1244.444,0.0003326,0.0003326
41,326.63,323.01,4.815,-0.31264,0.0049,0.0062,0.0036,1244.444,0.0001221,0.0001221
