Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,542.45,262.12,4.636,-0.31328,0.0045,0.0046,0.0044,1244.444,8.984e-05,8.984e-05
1,368.76,302.67,4.736,-0.31292,0.0137,0.0134,0.014,1244.444,0.00123,0.00123
2,152.09,129.49,4.819,-0.3113,0.0252,0.0198,0.0306,1244.444,0.0001916,0.0001916
3,368.48,249.23,4.747,-0.31115,0.0151,0.0126,0.0176,1244.444,0.0002967,0.0002967
4,483.4,230.93,4.788,-0.31095,0.0205,0.025,0.016,1244.444,0.0001835,0.0001835
5,244.32,181.04,4.851,-0.31057,0.0397,0.0188,0.0606,1244.444,0.0001582,0.0001582
6,349.85,82.97,4.9,-0.30906,0.1052,0.1122,0.0982,1244.444,0.0002312,0.0002312
7,171.71,41.1,4.756,-0.311,0.0096,0.0128,0.0064,1244.444,0.00745,0.00745
8,380.89,42.14,4.813,-0.31335,0.0104,0.0144,0.0064,1244.444,0.0002636,0.0002636
9,429.19,61.79,4.638,-0.3224,0.0251,0.0304,0.0198,1244.444,0.0002809,0.0002809
10,292.62,220.5,4.804,-0.31123,0.0117,0.0084,0.015,1244.444,0.0001662,0.0001662
11,416.28,85.26,4.743,-0.31179,0.0071,0.0074,0.0068,1244.444,0.0001206,0.0001206
12,388.22,193.0,4.626,-0.31372,0.0104,0.0094,0.0114,1244.444,0.0002411,0.0002411
13,280.94,120.69,4.557,-0.31378,0.0444,0.0488,0.04,1244.444,0.000494,0.000494
14,313.42,48.25,4.509,-0.31577,0.0143,0.0234,0.0052,1244.444,0.0005557,0.0005557
15,353.23,223.8,4.599,-0.32045,0.0358,0.0398,0.0318,1244.444,0.0005934,0.0005934
16,76.92,27.91,4.937,-0.30883,0.0909,0.088,0.0938,1244.444,0.00107,0.00107
17,308.52,84.59,4.753,-0.31153,0.0106,0.0162,0.005,1244.444,0.0005683,0.0005683
18,394.31,66.31,4.659,-0.28926,0.0401,0.0394,0.0408,1244.444,0.0001466,0.0001466
19,324.89,37.45,4.821,-0.31198,0.0448,0.0356,0.054,1244.444,0.0001711,0.0001711
20,403.47,58.35,4.738,-0.31197,0.0272,0.0272,0.0272,1244.444,0.0002272,0.0002272
21,326.14,26.74,4.774,-0.31143,0.0348,0.0368,0.0328,1244.444,0.0002628,0.0002628
22,290.22,235.43,4.668,-0.31332,0.0048,0.005,0.0046,1244.444,0.0001271,0.0001271
23,301.22,52.56,4.758,-0.31174,0.0191,0.0226,0.0156,1244.444,0.0001899,0.0001899
24,111.36,12.66,4.611,-0.31355,0.0595,0.0732,0.0458,1244.444,0.0045,0.0045
25,274.72,308.86,4.732,-0.31226,0.0255,0.0206,0.0304,1244.444,0.0001899,0.0001899
26,405.72,131.9,4.777,-0.31228,0.0046,0.0058,0.0034,1244.444,0.0001361,0.0001361
27,444.35,135.07,4.68,-0.31283,0.0068,0.0064,0.0072,1244.444,0.0001399,0.0001399
28,262.88,66.46,4.743,-0.27186,0.0739,0.0342,0.1136,1244.444,0.00118,0.00118
29,456.48,153.42,4.792,-0.32426,0.0105,0.0118,0.0092,1244.444,0.0001764,0.0001764
30,324.36,266.75,4.693,-0.31268,0.0096,0.013,0.0062,1244.444,0.0001507,0.0001507
31,252.47,34.36,5.058,-0.30701,0.0157,0.0154,0.016,1244.444,0.0006103,0.0006103
32,268.49,337.5,4.93,-0.30828,0.0293,0.0396,0.019,1244.444,0.0001257,0.0001257
33,432.64,347.21,4.677,-0.31373,0.0053,0.0066,0.004,1244.444,0.0001025,0.0001025
34,321.67,20.65,4.71,-0.2877,0.062,0.0624,0.0616,1244.444,0.0013,0.0013
35,257.69,65.52,4.915,-0.3092,0.011,0.0122,0.0098,1244.444,0.0001805,0.0001805
36,447.78,63.41,4.854,-0.31028,0.0117,0.0158,0.0076,1244.444,0.0001153,0.0001153
37,386.95,406.96,4.594,-0.31539,0.021,0.0244,0.0176,1244.444,0.0001373,0.0001373
38,394.05,153.98,4.486,-0.31594,0.0257,0.0232,0.0282,1244.444,0.0001931,0.0001931
39,373.38,231.17,4.574,-0.31403,0.0067,0.0044,0.009,1244.444,0.0001059,0.0001059
40,451.3,316.08,4.705,-0.31264,0.0051,0.0082,0.002,1244.444,0.0004011,0.0004011
41,326.03,316.43,4.815,-0.31264,0.006,0.0082,0.0038,1244.444,0.000189,0.000189
42,316.77,310.53,4.655,-0.31429,0.0261,0.03,0.0222,1244.444,0.0001148,0.0001148
43,433.45,180.53,4.755,-0.31328,0.0059,0.0074,0.0044,1244.444,0.0002324,0.0002324
44,309.79,240.06,4.868,-0.3105,0.0048,0.006,0.0036,1244.444,0.0002008,0.0002008
