Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,52.31,11.67,5.088,-0.30783,0.0128,0.004,0.0216,864.0,0.0001978,0.0001978,0.0001978
1,114.46,85.96,4.981,-0.30902,0.0138,0.0056,0.022,864.0,0.0001852,0.0001852,0.0001852
2,90.64,35.85,4.892,-0.3104,0.0142,0.0186,0.0098,864.0,0.0004157,0.0004157,0.0004157
3,33.62,20.64,4.944,-0.27711,0.0866,0.0858,0.0874,864.0,0.0005491,0.0005491,0.0005491
4,116.58,82.58,4.987,-0.32195,0.3863,0.3464,0.4262,864.0,0.00104,0.00104,0.00104
5,142.55,189.26,4.882,-0.31039,0.068,0.0744,0.0616,864.0,0.000729,0.000729,0.000729
6,121.37,110.19,4.969,-0.30806,0.0421,0.047,0.0372,864.0,0.0003076,0.0003076,0.0003076
7,97.64,62.62,5.015,-0.30824,0.009,0.0058,0.0122,864.0,0.0004531,0.0004531,0.0004531
8,94.34,103.03,5.111,-0.3073,0.0137,0.0168,0.0106,864.0,0.0003046,0.0003046,0.0003046
9,76.58,98.19,4.972,-0.30941,0.1332,0.1368,0.1296,864.0,0.00487,0.00487,0.00487
10,144.7,97.36,4.876,-0.31036,0.0386,0.048,0.0292,864.0,0.00594,0.00594,0.00594
11,132.32,56.28,5.132,-0.30673,0.0293,0.029,0.0296,864.0,0.00274,0.00274,0.00274
12,199.43,122.97,4.831,-0.31113,0.4033,0.415,0.3916,864.0,0.00211,0.00211,0.00211
13,107.23,12.56,4.95,-0.30876,0.0036,0.0062,0.001,864.0,0.0002953,0.0002953,0.0002953
14,97.33,144.23,4.995,-0.30886,0.0054,0.0066,0.0042,864.0,0.0001715,0.0001715,0.0001715
15,121.37,76.62,5.118,-0.30738,0.0057,0.0082,0.0032,864.0,0.00184,0.00184,0.00184
16,134.5,172.68,4.918,-0.3091,0.008,0.01,0.006,864.0,0.0001591,0.0001591,0.0001591
17,144.63,20.14,5.003,-0.30763,0.0166,0.0248,0.0084,864.0,0.0003025,0.0003025,0.0003025
18,87.83,171.39,4.866,-0.31125,0.0491,0.0488,0.0494,864.0,0.0003679,0.0003679,0.0003679
19,87.27,119.97,5.104,-0.30768,0.0028,0.0052,0.0004,864.0,0.0008455,0.0008455,0.0008455
20,127.51,140.36,4.902,-0.30965,0.0116,0.007,0.0162,864.0,0.0002623,0.0002623,0.0002623
21,91.52,128.21,5.04,-0.30739,0.007,0.0118,0.0022,864.0,0.00025,0.00025,0.00025
22,83.26,47.32,4.979,-0.30076,0.0329,0.0256,0.0402,864.0,0.0003336,0.0003336,0.0003336
23,86.61,108.78,5.033,-0.30851,0.0403,0.0476,0.033,864.0,0.000602,0.000602,0.000602
24,148.6,157.62,4.766,-0.30398,0.0457,0.0546,0.0368,864.0,0.00223,0.00223,0.00223
25,121.62,183.06,4.87,-0.31089,0.0076,0.0112,0.004,864.0,0.0002019,0.0002019,0.0002019
26,105.88,128.32,4.999,-0.30886,0.0056,0.0104,0.0008,864.0,0.0002429,0.0002429,0.0002429
27,95.87,52.32,5.077,-0.30693,0.0546,0.057,0.0522,864.0,0.0002354,0.0002354,0.0002354
28,76.5,72.22,5.198,-0.30578,0.0026,0.0034,0.0018,864.0,0.0002048,0.0002048,0.0002048
29,94.62,18.67,4.994,-0.30757,0.0048,0.0046,0.005,864.0,0.0002497,0.0002497,0.0002497
30,150.83,179.45,5.083,-0.30708,0.0057,0.0102,0.0012,864.0,0.000658,0.000658,0.000658
31,106.6,65.84,5.129,-0.30656,0.0022,0.0038,0.0006,864.0,0.0004361,0.0004361,0.0004361
32,116.96,35.52,5.204,-0.30413,0.0029,0.0054,0.0004,864.0,0.0003045,0.0003045,0.0003045
33,112.1,60.8,4.953,-0.30938,0.0203,0.0164,0.0242,864.0,0.000278,0.000278,0.000278
34,56.19,92.13,4.937,-0.30923,0.0087,0.01,0.0074,864.0,0.0002628,0.0002628,0.0002628
35,108.43,52.04,5.074,-0.30721,0.0032,0.0042,0.0022,864.0,0.0001642,0.0001642,0.0001642
36,121.02,154.92,5.102,-0.30593,0.0029,0.0056,0.0002,864.0,0.0004559,0.0004559,0.0004559
37,72.14,57.8,5.168,-0.30222,0.0366,0.0458,0.0274,864.0,0.00406,0.00406,0.00406
38,85.33,103.47,5.106,-0.30753,0.0099,0.0126,0.0072,864.0,0.0003546,0.0003546,0.0003546
39,130.9,121.31,5.018,-0.30838,0.0172,0.012,0.0224,864.0,0.0002668,0.0002668,0.0002668
40,83.78,14.91,5.163,-0.30613,0.0133,0.0158,0.0108,864.0,0.0004814,0.0004814,0.0004814
41,88.65,41.27,5.093,-0.30775,0.005,0.004,0.006,864.0,0.0004933,0.0004933,0.0004933
42,123.71,154.24,4.925,-0.30938,0.003,0.004,0.002,864.0,0.0001652,0.0001652,0.0001652
43,112.94,164.02,5.033,-0.30812,0.007,0.01,0.004,864.0,0.000225,0.000225,0.000225
44,98.72,123.61,5.116,-0.30753,0.0116,0.0196,0.0036,864.0,0.0004455,0.0004455,0.0004455
45,90.99,190.28,4.88,-0.30948,0.0474,0.0664,0.0284,864.0,0.0002404,0.0002404,0.0002404
46,59.65,107.13,5.145,-0.30658,0.0037,0.0064,0.001,864.0,0.00115,0.00115,0.00115
47,75.83,22.47,5.001,-0.30885,0.0058,0.009,0.0026,864.0,0.0002238,0.0002238,0.0002238
48,155.3,157.1,4.934,-0.309,0.0386,0.0502,0.027,864.0,0.0001551,0.0001551,0.0001551
49,66.29,90.62,5.116,-0.30701,0.0044,0.0066,0.0022,864.0,0.0002687,0.0002687,0.0002687
50,129.57,197.33,5.017,-0.30795,0.0064,0.0056,0.0072,864.0,0.0001935,0.0001935,0.0001935
51,25.69,10.81,5.209,-0.30446,0.0043,0.0078,0.0008,864.0,0.0004194,0.0004194,0.0004194
52,60.17,75.29,5.016,-0.30785,0.0222,0.0124,0.032,864.0,0.0002578,0.0002578,0.0002578
53,59.17,15.63,5.048,-0.30705,0.088,0.092,0.084,864.0,0.00129,0.00129,0.00129
54,53.69,61.97,5.024,-0.30335,0.0329,0.0308,0.035,864.0,0.0008226,0.0008226,0.0008226
55,81.93,117.25,5.197,-0.30556,0.0027,0.004,0.0014,864.0,0.0003171,0.0003171,0.0003171
56,39.55,83.53,5.188,-0.30564,0.0121,0.0122,0.012,864.0,0.0004401,0.0004401,0.0004401
57,90.35,39.45,5.093,-0.30621,0.0077,0.0102,0.0052,864.0,0.0002385,0.0002385,0.0002385
58,99.52,81.6,4.965,-0.30941,0.0084,0.0128,0.004,864.0,0.0002521,0.0002521,0.0002521
59,24.54,63.74,5.019,-0.30794,0.007,0.0074,0.0066,864.0,0.000257,0.000257,0.000257
60,81.38,55.85,5.141,-0.30605,0.06,0.054,0.066,864.0,0.0003336,0.0003336,0.0003336
61,125.68,168.05,4.875,-0.3101,0.014,0.012,0.016,864.0,0.0001506,0.0001506,0.0001506
62,126.01,166.02,4.961,-0.30931,0.0062,0.0072,0.0052,864.0,0.0001623,0.0001623,0.0001623
63,154.13,141.56,5.045,-0.30798,0.0104,0.0058,0.015,864.0,0.0001779,0.0001779,0.0001779
64,90.35,110.07,5.258,-0.30505,0.0255,0.0272,0.0238,864.0,0.0003079,0.0003079,0.0003079
65,130.02,144.21,5.101,-0.30611,0.0042,0.0072,0.0012,864.0,0.0002144,0.0002144,0.0002144
66,70.24,25.73,5.234,-0.29458,0.0181,0.0238,0.0124,864.0,0.00321,0.00321,0.00321
67,158.97,145.2,4.912,-0.30058,0.112,0.1218,0.1022,864.0,0.0002312,0.0002312,0.0002312
68,67.43,69.77,5.136,-0.30448,0.0102,0.0116,0.0088,864.0,0.0003553,0.0003553,0.0003553
69,121.38,187.27,4.944,-0.30828,0.002,0.0032,0.0008,864.0,0.0001527,0.0001527,0.0001527
