Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,93.36,12.81,5.088,-0.30783,0.0225,0.0084,0.0366,864.0,0.0002347,0.0002347,0.0002347
1,128.88,104.1,4.981,-0.30902,0.0428,0.0072,0.0784,864.0,0.0001834,0.0001834,0.0001834
2,109.47,124.04,4.892,-0.3104,0.0291,0.0322,0.026,864.0,0.0001964,0.0001964,0.0001964
3,91.1,32.43,4.944,-0.27711,0.0901,0.0922,0.088,864.0,0.0003871,0.0003871,0.0003871
4,118.57,83.76,4.987,-0.32195,0.3342,0.3678,0.3006,864.0,0.00163,0.00163,0.00163
5,72.06,150.32,4.882,-0.31039,0.0897,0.091,0.0884,864.0,0.0006902,0.0006902,0.0006902
6,100.25,181.31,4.969,-0.30806,0.0508,0.0544,0.0472,864.0,0.0003033,0.0003033,0.0003033
7,75.86,52.8,5.015,-0.30824,0.0169,0.008,0.0258,864.0,0.000536,0.000536,0.000536
8,100.03,82.34,5.111,-0.3073,0.0145,0.018,0.011,864.0,0.0002781,0.0002781,0.0002781
9,71.53,17.05,4.972,-0.30941,0.3002,0.2792,0.3212,864.0,0.01393,0.01393,0.01393
10,77.61,18.48,4.876,-0.31036,0.1268,0.1258,0.1278,864.0,0.00532,0.00532,0.00532
11,128.67,30.92,5.132,-0.30673,0.228,0.238,0.218,864.0,0.0038,0.0038,0.0038
12,119.97,35.64,4.831,-0.31113,0.4774,0.3786,0.5762,864.0,0.00384,0.00384,0.00384
13,60.45,10.55,4.95,-0.30876,0.0675,0.0232,0.1118,864.0,0.000256,0.000256,0.000256
14,118.21,109.85,4.995,-0.30886,0.005,0.0058,0.0042,864.0,0.0002616,0.0002616,0.0002616
15,123.63,61.97,5.118,-0.30738,0.0077,0.0118,0.0036,864.0,0.00162,0.00162,0.00162
16,84.33,125.15,4.918,-0.3091,0.0046,0.0064,0.0028,864.0,0.000172,0.000172,0.000172
17,154.99,23.49,5.003,-0.30763,0.0428,0.0346,0.051,864.0,0.0002967,0.0002967,0.0002967
18,86.01,159.58,4.865,-0.31125,0.0548,0.0578,0.0518,864.0,0.0002045,0.0002045,0.0002045
19,98.56,112.31,5.104,-0.30768,0.0075,0.006,0.009,864.0,0.0003374,0.0003374,0.0003374
20,141.69,64.74,4.902,-0.30965,0.0062,0.0096,0.0028,864.0,0.0002539,0.0002539,0.0002539
21,102.94,108.84,5.04,-0.30739,0.0175,0.0342,0.0008,864.0,0.00495,0.00495,0.00495
22,101.04,52.61,4.979,-0.30076,0.027,0.0296,0.0244,864.0,0.0003906,0.0003906,0.0003906
23,87.73,119.45,5.033,-0.30851,0.0163,0.0202,0.0124,864.0,0.0002329,0.0002329,0.0002329
24,63.54,92.38,4.766,-0.30398,0.0412,0.0454,0.037,864.0,0.00182,0.00182,0.00182
25,116.19,178.91,4.87,-0.31089,0.0147,0.0216,0.0078,864.0,0.0002444,0.0002444,0.0002444
26,64.99,145.95,4.999,-0.30886,0.0029,0.004,0.0018,864.0,0.0003744,0.0003744,0.0003744
27,87.91,16.1,5.077,-0.30693,0.0896,0.0794,0.0998,864.0,0.0006337,0.0006337,0.0006337
28,99.13,67.85,5.198,-0.30578,0.0036,0.0056,0.0016,864.0,0.000266,0.000266,0.000266
29,149.46,18.13,4.994,-0.30757,0.074,0.0796,0.0684,864.0,0.0002263,0.0002263,0.0002263
30,190.87,173.0,5.083,-0.30708,0.0033,0.0064,0.0002,864.0,0.0003923,0.0003923,0.0003923
31,94.41,52.4,5.129,-0.30656,0.0026,0.0042,0.001,864.0,0.0003364,0.0003364,0.0003364
32,113.74,29.89,5.204,-0.30413,0.0028,0.0048,0.0008,864.0,0.0002161,0.0002161,0.0002161
33,109.52,69.3,4.953,-0.30938,0.0185,0.0166,0.0204,864.0,0.0007115,0.0007115,0.0007115
34,76.92,53.54,4.937,-0.30923,0.0092,0.0138,0.0046,864.0,0.0004849,0.0004849,0.0004849
35,53.63,21.81,5.074,-0.30721,0.0081,0.0154,0.0008,864.0,0.0008317,0.0008317,0.0008317
36,146.8,156.66,5.102,-0.30593,0.0023,0.0042,0.0004,864.0,0.0002606,0.0002606,0.0002606
37,71.16,67.22,5.168,-0.30222,0.0286,0.0312,0.026,864.0,0.00186,0.00186,0.00186
38,104.4,125.33,5.106,-0.30753,0.008,0.0104,0.0056,864.0,0.0002563,0.0002563,0.0002563
39,107.01,81.32,5.018,-0.30838,0.007,0.0102,0.0038,864.0,0.0003994,0.0003994,0.0003994
40,68.73,16.75,5.163,-0.30613,0.0527,0.0554,0.05,864.0,0.0002323,0.0002323,0.0002323
41,91.6,38.0,5.093,-0.30775,0.0844,0.074,0.0948,864.0,0.0003561,0.0003561,0.0003561
42,103.94,123.96,4.925,-0.30938,0.0164,0.0162,0.0166,864.0,0.0002107,0.0002107,0.0002107
43,153.1,159.57,5.033,-0.30812,0.0083,0.0044,0.0122,864.0,0.0002769,0.0002769,0.0002769
44,124.85,183.58,5.116,-0.30753,0.0029,0.0044,0.0014,864.0,0.0002499,0.0002499,0.0002499
45,139.78,165.07,4.88,-0.30948,0.0424,0.05,0.0348,864.0,0.0001948,0.0001948,0.0001948
46,86.98,150.66,5.145,-0.30658,0.0029,0.0054,0.0004,864.0,0.0002776,0.0002776,0.0002776
47,54.45,21.92,5.001,-0.30885,0.0073,0.009,0.0056,864.0,0.000313,0.000313,0.000313
48,55.43,136.84,4.934,-0.309,0.0101,0.0078,0.0124,864.0,0.000192,0.000192,0.000192
49,96.15,137.45,5.116,-0.30701,0.0042,0.0042,0.0042,864.0,0.000176,0.000176,0.000176
50,153.75,166.95,5.017,-0.30795,0.0034,0.0036,0.0032,864.0,0.0002251,0.0002251,0.0002251
51,154.42,76.53,5.209,-0.30446,0.0035,0.007,0.0,864.0,0.0002173,0.0002173,0.0002173
52,73.8,53.24,5.016,-0.30785,0.0063,0.0102,0.0024,864.0,0.0004131,0.0004131,0.0004131
53,62.1,15.66,5.048,-0.30705,0.0536,0.052,0.0552,864.0,0.00137,0.00137,0.00137
54,70.65,88.93,5.024,-0.30335,0.0153,0.0208,0.0098,864.0,0.0002669,0.0002669,0.0002669
55,78.05,131.07,5.198,-0.30556,0.0029,0.0048,0.001,864.0,0.0002417,0.0002417,0.0002417
56,54.91,87.08,5.188,-0.30564,0.0109,0.013,0.0088,864.0,0.0003035,0.0003035,0.0003035
57,81.13,58.55,5.093,-0.30621,0.0074,0.011,0.0038,864.0,0.0002257,0.0002257,0.0002257
58,155.16,83.66,4.965,-0.30941,0.039,0.0352,0.0428,864.0,0.0002083,0.0002083,0.0002083
59,87.25,87.58,5.019,-0.30794,0.0171,0.02,0.0142,864.0,0.0002199,0.0002199,0.0002199
60,101.51,50.64,5.141,-0.30605,0.0192,0.0254,0.013,864.0,0.0008527,0.0008527,0.0008527
61,67.65,155.91,4.875,-0.3101,0.0416,0.0454,0.0378,864.0,0.00022,0.00022,0.00022
62,103.26,140.03,4.961,-0.30931,0.0209,0.0178,0.024,864.0,0.000206,0.000206,0.000206
63,138.57,136.77,5.045,-0.30798,0.014,0.0066,0.0214,864.0,0.0002,0.0002,0.0002
64,114.82,98.36,5.258,-0.30505,0.0281,0.0276,0.0286,864.0,0.0003275,0.0003275,0.0003275
65,59.19,130.37,5.101,-0.30611,0.0267,0.0328,0.0206,864.0,0.0002663,0.0002663,0.0002663
