Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,576.58,158.12,4.636,-0.31328,0.0087,0.008,0.0094,1244.444,5.718e-05,5.718e-05,5.718e-05
1,360.44,311.03,4.736,-0.31292,0.0196,0.0148,0.0244,1244.444,0.0002622,0.0002622,0.0002622
2,214.59,124.68,4.819,-0.3113,0.0381,0.03,0.0462,1244.444,0.0002712,0.0002712,0.0002712
3,372.31,167.12,4.747,-0.31115,0.0236,0.0142,0.033,1244.444,0.0001549,0.0001549,0.0001549
4,453.99,241.75,4.788,-0.31095,0.0279,0.019,0.0368,1244.444,0.0002478,0.0002478,0.0002478
5,240.97,180.01,4.851,-0.31057,0.0475,0.022,0.073,1244.444,0.0001948,0.0001948,0.0001948
6,232.44,79.57,4.9,-0.30906,0.0987,0.093,0.1044,1244.444,0.0001271,0.0001271,0.0001271
7,261.97,39.68,4.756,-0.311,0.007,0.0072,0.0068,1244.444,0.00151,0.00151,0.00151
8,359.46,28.39,4.813,-0.31335,0.0164,0.011,0.0218,1244.444,0.00115,0.00115,0.00115
9,512.68,62.45,4.638,-0.3224,0.0341,0.0418,0.0264,1244.444,0.0002251,0.0002251,0.0002251
10,47.0,1.4,4.805,-0.31123,0.017,0.0254,0.0086,1244.444,0.00556,0.00556,0.00556
11,459.82,77.45,4.743,-0.31179,0.0086,0.0068,0.0104,1244.444,0.0001298,0.0001298,0.0001298
12,301.56,136.98,4.626,-0.31372,0.0161,0.018,0.0142,1244.444,0.0004448,0.0004448,0.0004448
13,298.34,168.23,4.557,-0.31378,0.0857,0.1092,0.0622,1244.444,0.0021,0.0021,0.0021
14,398.42,49.95,4.509,-0.31577,0.0174,0.0262,0.0086,1244.444,0.00025,0.00025,0.00025
15,433.86,78.13,4.599,-0.32045,0.0347,0.0348,0.0346,1244.444,0.000368,0.000368,0.000368
16,305.93,21.55,4.937,-0.30883,0.0861,0.0606,0.1116,1244.444,0.00098,0.00098,0.00098
17,324.28,80.12,4.753,-0.31153,0.026,0.0416,0.0104,1244.444,0.0004013,0.0004013,0.0004013
18,361.28,72.27,4.659,-0.28926,0.0415,0.0474,0.0356,1244.444,0.000247,0.000247,0.000247
19,174.69,33.55,4.821,-0.31198,0.0708,0.068,0.0736,1244.444,0.0001662,0.0001662,0.0001662
20,404.77,40.32,4.738,-0.31197,0.0389,0.0256,0.0522,1244.444,0.0005102,0.0005102,0.0005102
21,357.94,19.89,4.774,-0.31143,0.0337,0.035,0.0324,1244.444,0.0002383,0.0002383,0.0002383
22,306.79,94.57,4.668,-0.31332,0.0105,0.0104,0.0106,1244.444,0.0002611,0.0002611,0.0002611
23,441.44,41.34,4.758,-0.31174,0.0393,0.0364,0.0422,1244.444,0.0002485,0.0002485,0.0002485
24,292.86,12.28,4.611,-0.31355,0.0369,0.0268,0.047,1244.444,0.0003417,0.0003417,0.0003417
25,224.33,285.79,4.732,-0.31226,0.0258,0.025,0.0266,1244.444,0.0002371,0.0002371,0.0002371
26,297.88,119.56,4.777,-0.31228,0.0043,0.0054,0.0032,1244.444,0.0001482,0.0001482,0.0001482
27,406.77,101.92,4.68,-0.31283,0.0076,0.0074,0.0078,1244.444,9.619e-05,9.619e-05,9.619e-05
28,289.73,61.82,4.743,-0.27186,0.0601,0.0444,0.0758,1244.444,0.0003102,0.0003102,0.0003102
29,296.79,128.95,4.792,-0.32426,0.0115,0.0146,0.0084,1244.444,0.0002705,0.0002705,0.0002705
30,456.09,299.03,4.693,-0.31268,0.0076,0.009,0.0062,1244.444,0.0001204,0.0001204,0.0001204
31,228.84,35.08,5.058,-0.30701,0.0142,0.0154,0.013,1244.444,0.0003736,0.0003736,0.0003736
32,342.47,257.02,4.93,-0.30828,0.032,0.0328,0.0312,1244.444,0.000194,0.000194,0.000194
33,370.83,94.11,4.677,-0.31373,0.0082,0.0114,0.005,1244.444,0.0004508,0.0004508,0.0004508
34,339.58,68.99,4.71,-0.2877,0.0483,0.0336,0.063,1244.444,0.000311,0.000311,0.000311
35,355.98,74.67,4.915,-0.3092,0.0096,0.0098,0.0094,1244.444,0.0001544,0.0001544,0.0001544
36,379.35,61.03,4.854,-0.31028,0.0051,0.0058,0.0044,1244.444,0.0001624,0.0001624,0.0001624
37,245.92,303.72,4.594,-0.31539,0.0203,0.0226,0.018,1244.444,0.0002479,0.0002479,0.0002479
38,325.71,195.73,4.486,-0.31594,0.0306,0.028,0.0332,1244.444,0.0001981,0.0001981,0.0001981
39,425.22,212.7,4.574,-0.31403,0.0068,0.0066,0.007,1244.444,0.0001078,0.0001078,0.0001078
40,125.68,162.08,4.705,-0.31264,0.0076,0.0132,0.002,1244.444,0.00098,0.00098,0.00098
41,255.81,329.99,4.815,-0.31264,0.0033,0.0042,0.0024,1244.444,0.0001157,0.0001157,0.0001157
42,342.94,287.3,4.655,-0.31429,0.0293,0.0304,0.0282,1244.444,0.0001392,0.0001392,0.0001392
43,427.64,244.85,4.755,-0.31328,0.0097,0.0144,0.005,1244.444,0.0002085,0.0002085,0.0002085
44,328.29,313.12,4.868,-0.3105,0.0213,0.0256,0.017,1244.444,0.000105,0.000105,0.000105
45,373.4,332.51,4.763,-0.31105,0.018,0.0102,0.0258,1244.444,0.0001683,0.0001683,0.0001683
46,482.25,446.77,4.674,-0.31335,0.0113,0.01,0.0126,1244.444,0.0001003,0.0001003,0.0001003
47,486.03,158.37,4.795,-0.31225,0.0079,0.007,0.0088,1244.444,0.0001365,0.0001365,0.0001365
48,231.67,232.16,4.707,-0.31165,0.0134,0.019,0.0078,1244.444,8.782e-05,8.782e-05,8.782e-05
49,264.65,164.3,4.811,-0.31113,0.0088,0.0122,0.0054,1244.444,0.0001311,0.0001311,0.0001311
50,386.89,199.93,4.879,-0.30969,0.0103,0.0046,0.016,1244.444,0.0001682,0.0001682,0.0001682
51,385.64,322.92,4.767,-0.31094,0.0127,0.016,0.0094,1244.444,0.0001051,0.0001051,0.0001051
52,192.95,69.94,4.855,-0.3096,0.0145,0.0116,0.0174,1244.444,0.0003873,0.0003873,0.0003873
53,388.31,346.62,4.768,-0.31056,0.011,0.0104,0.0116,1244.444,9.652e-05,9.652e-05,9.652e-05
54,382.99,65.96,4.822,-0.31041,0.0053,0.0072,0.0034,1244.444,0.0001869,0.0001869,0.0001869
55,280.84,388.53,4.907,-0.30999,0.0071,0.007,0.0072,1244.444,0.0001768,0.0001768,0.0001768
56,501.36,16.65,4.455,-0.31804,0.0213,0.0186,0.024,1244.444,0.0002498,0.0002498,0.0002498
57,337.78,55.17,4.835,-0.31002,0.0171,0.0132,0.021,1244.444,0.0005523,0.0005523,0.0005523
58,358.54,164.23,4.709,-0.31367,0.0217,0.0166,0.0268,1244.444,0.0001116,0.0001116,0.0001116
59,420.92,74.16,4.811,-0.31024,0.0075,0.0124,0.0026,1244.444,0.0006856,0.0006856,0.0006856
60,475.48,282.48,4.672,-0.31324,0.0063,0.0084,0.0042,1244.444,0.0001283,0.0001283,0.0001283
61,274.36,377.5,4.902,-0.30996,0.0067,0.005,0.0084,1244.444,0.000117,0.000117,0.000117
62,419.89,204.44,4.771,-0.31099,0.0211,0.0268,0.0154,1244.444,0.0001253,0.0001253,0.0001253
63,251.37,190.54,4.995,-0.30845,0.0077,0.0094,0.006,1244.444,0.00041,0.00041,0.00041
64,145.45,43.61,4.879,-0.31051,0.0063,0.0088,0.0038,1244.444,0.0003139,0.0003139,0.0003139
65,400.12,260.85,4.758,-0.31052,0.019,0.0186,0.0194,1244.444,0.0001188,0.0001188,0.0001188
66,326.96,306.0,4.81,-0.31092,0.005,0.0042,0.0058,1244.444,0.0002283,0.0002283,0.0002283
67,303.78,190.55,4.893,-0.31039,0.0045,0.0058,0.0032,1244.444,0.0002796,0.0002796,0.0002796
68,160.82,118.74,4.741,-0.3118,0.0324,0.047,0.0178,1244.444,0.0001961,0.0001961,0.0001961
69,300.62,20.37,4.837,-0.30965,0.008,0.0064,0.0096,1244.444,0.0002837,0.0002837,0.0002837
70,317.79,149.0,4.709,-0.31145,0.0063,0.0082,0.0044,1244.444,0.0001009,0.0001009,0.0001009
71,455.05,138.35,4.846,-0.31011,0.0435,0.0396,0.0474,1244.444,0.0001744,0.0001744,0.0001744
72,283.33,286.77,4.875,-0.3092,0.0514,0.0598,0.043,1244.444,0.0002815,0.0002815,0.0002815
73,264.99,220.94,4.875,-0.31024,0.0153,0.0166,0.014,1244.444,0.0001795,0.0001795,0.0001795
74,332.63,172.34,4.814,-0.3113,0.0087,0.0038,0.0136,1244.444,0.0001565,0.0001565,0.0001565
75,276.91,20.24,4.769,-0.31043,0.0534,0.0628,0.044,1244.444,0.0012,0.0012,0.0012
76,82.76,16.21,4.702,-0.31292,0.0304,0.0314,0.0294,1244.444,0.0003228,0.0003228,0.0003228
77,96.59,85.72,4.807,-0.31079,0.0091,0.0094,0.0088,1244.444,0.0001756,0.0001756,0.0001756
78,97.69,304.76,4.861,-0.30955,0.024,0.0276,0.0204,1244.444,0.0002888,0.0002888,0.0002888
79,484.07,39.58,4.786,-0.31151,0.0056,0.0076,0.0036,1244.444,0.000154,0.000154,0.000154
80,173.94,159.56,5.043,-0.30792,0.0102,0.0102,0.0102,1244.444,0.0001882,0.0001882,0.0001882
81,268.03,153.74,4.961,-0.30881,0.0025,0.0032,0.0018,1244.444,0.0001293,0.0001293,0.0001293
82,297.92,258.43,4.815,-0.31103,0.0045,0.006,0.003,1244.444,0.000181,0.000181,0.000181
83,410.64,64.54,4.738,-0.3138,0.0221,0.0172,0.027,1244.444,0.0002444,0.0002444,0.0002444
84,235.38,270.51,4.666,-0.31335,0.0058,0.0058,0.0058,1244.444,0.0001373,0.0001373,0.0001373
85,470.38,98.68,4.745,-0.31197,0.017,0.018,0.016,1244.444,0.0002592,0.0002592,0.0002592
86,263.55,280.28,4.89,-0.30914,0.0053,0.0054,0.0052,1244.444,0.0001855,0.0001855,0.0001855
87,202.85,214.41,4.824,-0.30996,0.0071,0.0062,0.008,1244.444,0.0002539,0.0002539,0.0002539
88,194.29,55.91,4.69,-0.31918,0.0511,0.047,0.0552,1244.444,0.0002932,0.0002932,0.0002932
89,215.89,34.3,4.948,-0.30883,0.1343,0.127,0.1416,1244.444,0.0005658,0.0005658,0.0005658
90,252.18,56.22,4.803,-0.31023,0.0277,0.0324,0.023,1244.444,0.0006029,0.0006029,0.0006029
91,344.66,365.51,4.893,-0.30983,0.0039,0.0038,0.004,1244.444,0.0001475,0.0001475,0.0001475
92,244.54,131.11,4.826,-0.31037,0.0139,0.0128,0.015,1244.444,0.0004101,0.0004101,0.0004101
93,158.89,44.73,4.91,-0.30922,0.0475,0.0272,0.0678,1244.444,0.0005343,0.0005343,0.0005343
94,485.26,286.7,4.72,-0.31212,0.0055,0.0072,0.0038,1244.444,0.0001485,0.0001485,0.0001485
95,226.18,127.79,4.802,-0.31134,0.0113,0.011,0.0116,1244.444,0.0003888,0.0003888,0.0003888
96,96.08,167.18,4.853,-0.3072,0.0101,0.0114,0.0088,1244.444,0.0002409,0.0002409,0.0002409
97,291.38,238.97,4.95,-0.30871,0.0117,0.0074,0.016,1244.444,0.0002488,0.0002488,0.0002488
98,428.68,218.92,4.775,-0.31129,0.0146,0.0174,0.0118,1244.444,0.0001859,0.0001859,0.0001859
99,316.41,167.61,4.832,-0.31021,0.0141,0.0166,0.0116,1244.444,0.0002152,0.0002152,0.0002152
100,354.19,300.09,4.649,-0.31432,0.0095,0.0096,0.0094,1244.444,0.0001036,0.0001036,0.0001036
101,245.02,76.05,4.844,-0.31062,0.0035,0.0052,0.0018,1244.444,0.0001748,0.0001748,0.0001748
102,230.88,257.04,4.787,-0.31093,0.0139,0.0168,0.011,1244.444,0.0002657,0.0002657,0.0002657
103,247.73,243.46,4.695,-0.31226,0.0055,0.0072,0.0038,1244.444,0.000162,0.000162,0.000162
104,275.33,239.72,4.784,-0.31223,0.0038,0.0062,0.0014,1244.444,0.0003093,0.0003093,0.0003093
105,307.29,48.91,4.883,-0.30992,0.0114,0.0154,0.0074,1244.444,0.0002041,0.0002041,0.0002041
106,120.52,23.8,4.775,-0.31271,0.2519,0.2272,0.2766,1244.444,0.0004826,0.0004826,0.0004826
107,141.09,47.03,4.986,-0.30744,0.0086,0.0072,0.01,1244.444,0.0002354,0.0002354,0.0002354
108,229.82,59.15,4.858,-0.30937,0.0289,0.008,0.0498,1244.444,0.0003317,0.0003317,0.0003317
109,321.3,62.91,4.794,-0.30982,0.0231,0.0248,0.0214,1244.444,0.000467,0.000467,0.000467
110,280.66,149.08,4.835,-0.30954,0.0079,0.0086,0.0072,1244.444,0.0002813,0.0002813,0.0002813
111,185.13,208.13,4.9,-0.30966,0.0073,0.0104,0.0042,1244.444,0.0002074,0.0002074,0.0002074
112,295.74,40.78,4.931,-0.30828,0.0203,0.0128,0.0278,1244.444,0.0002019,0.0002019,0.0002019
113,239.05,88.13,4.964,-0.30844,0.0049,0.0072,0.0026,1244.444,0.0001442,0.0001442,0.0001442
114,301.14,258.51,4.885,-0.30934,0.0123,0.0126,0.012,1244.444,0.0001453,0.0001453,0.0001453
115,485.31,266.53,4.743,-0.31098,0.0049,0.0054,0.0044,1244.444,0.000113,0.000113,0.000113
116,303.23,242.42,4.931,-0.30852,0.0161,0.0256,0.0066,1244.444,0.00022,0.00022,0.00022
117,161.97,136.76,4.793,-0.31084,0.0106,0.0138,0.0074,1244.444,0.0007811,0.0007811,0.0007811
118,246.93,253.73,4.737,-0.31214,0.0063,0.0102,0.0024,1244.444,0.0008076,0.0008076,0.0008076
119,115.64,144.3,4.793,-0.3115,0.0044,0.0052,0.0036,1244.444,0.0005459,0.0005459,0.0005459
120,322.59,174.08,4.888,-0.30955,0.007,0.008,0.006,1244.444,0.0005738,0.0005738,0.0005738
121,217.61,25.85,4.848,-0.31085,0.0099,0.0074,0.0124,1244.444,0.0002461,0.0002461,0.0002461
122,347.16,339.23,4.732,-0.3116,0.0038,0.0054,0.0022,1244.444,0.0002091,0.0002091,0.0002091
123,240.77,268.04,4.821,-0.31031,0.0059,0.0068,0.005,1244.444,0.0001702,0.0001702,0.0001702
124,261.45,194.77,4.881,-0.30921,0.005,0.0058,0.0042,1244.444,0.0001466,0.0001466,0.0001466
125,234.19,74.73,4.977,-0.30776,0.0122,0.0102,0.0142,1244.444,0.0002443,0.0002443,0.0002443
126,295.99,40.9,4.831,-0.3093,0.0237,0.012,0.0354,1244.444,0.000239,0.000239,0.000239
