Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,100.91,11.62,5.088,-0.30783,0.0071,0.005,0.0092,864.0,0.0002699,0.0002699,0.0002699
1,105.17,84.49,4.981,-0.30902,0.0033,0.0042,0.0024,864.0,0.000174,0.000174,0.000174
2,95.78,15.42,4.892,-0.3104,0.0168,0.0208,0.0128,864.0,0.0004037,0.0004037,0.0004037
3,32.29,22.01,4.944,-0.27711,0.0915,0.0986,0.0844,864.0,0.0005072,0.0005072,0.0005072
4,134.41,107.52,4.987,-0.32195,0.3591,0.2668,0.4514,864.0,0.00154,0.00154,0.00154
5,110.46,166.41,4.882,-0.31039,0.09,0.0926,0.0874,864.0,0.0006065,0.0006065,0.0006065
6,101.79,143.57,4.969,-0.30806,0.1055,0.0724,0.1386,864.0,0.00032,0.00032,0.00032
7,69.68,60.31,5.015,-0.30824,0.0404,0.0138,0.067,864.0,0.0003343,0.0003343,0.0003343
8,121.86,110.9,5.111,-0.3073,0.0148,0.0184,0.0112,864.0,0.0004009,0.0004009,0.0004009
9,98.66,110.93,4.972,-0.30941,0.1879,0.2066,0.1692,864.0,0.01073,0.01073,0.01073
10,137.73,132.9,4.876,-0.31036,0.041,0.047,0.035,864.0,0.00644,0.00644,0.00644
11,158.5,54.12,5.132,-0.30673,0.0259,0.0258,0.026,864.0,0.0044,0.0044,0.0044
12,194.09,139.62,4.83,-0.31113,0.399,0.4456,0.3524,864.0,0.00159,0.00159,0.00159
13,102.48,13.42,4.95,-0.30876,0.004,0.004,0.004,864.0,0.0002563,0.0002563,0.0002563
14,105.41,104.81,4.995,-0.30886,0.0091,0.008,0.0102,864.0,0.0003205,0.0003205,0.0003205
15,65.42,58.45,5.118,-0.30738,0.0062,0.0076,0.0048,864.0,0.00275,0.00275,0.00275
16,136.95,197.1,4.918,-0.3091,0.0044,0.0072,0.0016,864.0,0.0001541,0.0001541,0.0001541
17,179.07,158.05,5.003,-0.30763,0.0077,0.0136,0.0018,864.0,0.0002979,0.0002979,0.0002979
18,95.63,162.27,4.865,-0.31125,0.048,0.0548,0.0412,864.0,0.0001692,0.0001692,0.0001692
19,108.18,130.97,5.104,-0.30768,0.0269,0.0096,0.0442,864.0,0.0004235,0.0004235,0.0004235
20,96.4,195.93,4.902,-0.30965,0.0056,0.0074,0.0038,864.0,0.0002199,0.0002199,0.0002199
21,101.32,123.48,5.04,-0.30739,0.0041,0.0076,0.0006,864.0,0.0003057,0.0003057,0.0003057
22,81.33,53.01,4.979,-0.30076,0.0522,0.0314,0.073,864.0,0.0003634,0.0003634,0.0003634
23,101.61,151.09,5.033,-0.30851,0.0403,0.0492,0.0314,864.0,0.000396,0.000396,0.000396
24,144.68,159.43,4.766,-0.30398,0.0445,0.0546,0.0344,864.0,0.00153,0.00153,0.00153
25,117.29,144.24,4.87,-0.31089,0.0096,0.0122,0.007,864.0,0.0002293,0.0002293,0.0002293
26,66.54,134.25,4.999,-0.30886,0.0051,0.0066,0.0036,864.0,0.0003372,0.0003372,0.0003372
27,137.09,62.81,5.077,-0.30693,0.0409,0.0414,0.0404,864.0,0.0002221,0.0002221,0.0002221
28,91.82,72.05,5.198,-0.30578,0.0019,0.0028,0.001,864.0,0.0002594,0.0002594,0.0002594
29,130.38,20.48,4.994,-0.30757,0.0034,0.0056,0.0012,864.0,0.0001765,0.0001765,0.0001765
30,107.7,121.59,5.083,-0.30708,0.003,0.0052,0.0008,864.0,0.0002698,0.0002698,0.0002698
31,94.81,65.87,5.129,-0.30656,0.0018,0.0034,0.0002,864.0,0.0003012,0.0003012,0.0003012
32,75.22,37.53,5.204,-0.30413,0.0038,0.0056,0.002,864.0,0.0002235,0.0002235,0.0002235
33,66.98,39.04,4.952,-0.30938,0.0379,0.059,0.0168,864.0,0.02306,0.02306,0.02306
34,57.87,80.02,4.937,-0.30923,0.0111,0.0146,0.0076,864.0,0.0002797,0.0002797,0.0002797
35,117.33,31.94,5.074,-0.30721,0.0045,0.0078,0.0012,864.0,0.000207,0.000207,0.000207
36,94.88,165.56,5.102,-0.30593,0.0176,0.0136,0.0216,864.0,0.0002861,0.0002861,0.0002861
37,81.7,69.83,5.168,-0.30222,0.0287,0.0328,0.0246,864.0,0.00093,0.00093,0.00093
38,74.33,112.87,5.106,-0.30753,0.0077,0.0108,0.0046,864.0,0.0003024,0.0003024,0.0003024
39,60.39,82.43,5.018,-0.30838,0.0616,0.0422,0.081,864.0,0.0003919,0.0003919,0.0003919
40,74.73,14.32,5.163,-0.30613,0.0155,0.013,0.018,864.0,0.0002465,0.0002465,0.0002465
41,93.78,47.04,5.093,-0.30775,0.0193,0.0238,0.0148,864.0,0.000359,0.000359,0.000359
42,99.65,291.21,4.925,-0.30938,0.0178,0.0244,0.0112,864.0,0.000524,0.000524,0.000524
43,80.49,89.63,5.033,-0.30812,0.0178,0.0078,0.0278,864.0,0.0003713,0.0003713,0.0003713
44,90.28,38.34,5.116,-0.30753,0.011,0.0184,0.0036,864.0,0.0005627,0.0005627,0.0005627
45,105.69,81.31,4.88,-0.30948,0.0491,0.0642,0.034,864.0,0.0002254,0.0002254,0.0002254
46,78.54,157.78,5.145,-0.30658,0.0195,0.0322,0.0068,864.0,0.0002766,0.0002766,0.0002766
47,138.66,20.96,5.001,-0.30885,0.0057,0.0064,0.005,864.0,0.0001927,0.0001927,0.0001927
48,107.0,125.85,4.934,-0.309,0.0547,0.0566,0.0528,864.0,0.000313,0.000313,0.000313
49,94.65,143.46,5.116,-0.30701,0.0021,0.0036,0.0006,864.0,0.0002039,0.0002039,0.0002039
50,173.6,170.37,5.017,-0.30795,0.0049,0.0054,0.0044,864.0,0.0003279,0.0003279,0.0003279
51,135.85,79.4,5.209,-0.30446,0.0034,0.0064,0.0004,864.0,0.0002161,0.0002161,0.0002161
52,79.86,63.33,5.016,-0.30785,0.0323,0.0236,0.041,864.0,0.0002405,0.0002405,0.0002405
53,43.06,16.41,5.048,-0.30705,0.0177,0.0156,0.0198,864.0,0.00114,0.00114,0.00114
54,65.77,76.71,5.024,-0.30335,0.0189,0.021,0.0168,864.0,0.0002171,0.0002171,0.0002171
55,78.24,112.25,5.197,-0.30556,0.0094,0.0042,0.0146,864.0,0.0003047,0.0003047,0.0003047
56,62.96,75.67,5.188,-0.30564,0.0043,0.0062,0.0024,864.0,0.000286,0.000286,0.000286
57,100.74,52.97,5.093,-0.30621,0.0089,0.0128,0.005,864.0,0.0003004,0.0003004,0.0003004
58,86.41,105.65,4.965,-0.30941,0.0062,0.0086,0.0038,864.0,0.0002114,0.0002114,0.0002114
