Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,439.61,360.99,4.656,-0.31111,0.059,0.019,0.099,1244.444,0.0001248,0.0001248,0.0001248
1,326.22,326.05,4.535,0.0,0.0045,0.0064,0.0026,1244.444,0.0001136,0.0001136,0.0001136
2,251.72,106.46,4.68,-0.31073,0.0033,0.0038,0.0028,1244.444,0.0001293,0.0001293,0.0001293
3,361.24,146.67,4.607,0.0,0.0109,0.0142,0.0076,1244.444,0.0002321,0.0002321,0.0002321
4,234.5,108.21,4.462,-0.32295,0.0092,0.0152,0.0032,1244.444,0.0004605,0.0004605,0.0004605
5,352.28,401.35,4.427,0.0,0.006,0.0078,0.0042,1244.444,0.0002423,0.0002423,0.0002423
6,480.14,175.09,4.64,-0.31059,0.0019,0.0026,0.0012,1244.444,8.996e-05,8.996e-05,8.996e-05
7,306.37,323.74,4.476,0.0,0.0031,0.0056,0.0006,1244.444,0.000116,0.000116,0.000116
8,461.09,163.66,4.402,-0.31475,0.0029,0.0038,0.002,1244.444,0.0002961,0.0002961,0.0002961
9,488.16,384.97,4.519,0.0,0.0032,0.002,0.0044,1244.444,0.0001176,0.0001176,0.0001176
10,315.72,56.16,4.628,-0.31213,0.0035,0.0034,0.0036,1244.444,0.0001458,0.0001458,0.0001458
11,208.05,231.01,4.572,0.0,0.0903,0.155,0.0256,1244.444,0.00151,0.00151,0.00151
12,404.98,265.26,4.464,-0.31549,0.0034,0.0052,0.0016,1244.444,0.0002835,0.0002835,0.0002835
13,422.58,83.82,4.573,0.0,0.0052,0.007,0.0034,1244.444,0.0001682,0.0001682,0.0001682
14,121.74,153.9,4.604,0.0,0.0915,0.174,0.009,1244.444,0.01994,0.01994,0.01994
15,381.97,60.69,4.497,0.0,0.0182,0.0122,0.0242,1244.444,0.0008342,0.0008342,0.0008342
16,380.06,147.73,4.513,0.0,0.0021,0.0024,0.0018,1244.444,9.793e-05,9.793e-05,9.793e-05
17,235.81,40.57,4.676,0.0,0.0058,0.007,0.0046,1244.444,0.0005735,0.0005735,0.0005735
18,374.38,58.11,4.515,-0.31437,0.0545,0.016,0.093,1244.444,0.000113,0.000113,0.000113
19,294.41,200.33,4.444,0.0,0.001,0.0014,0.0006,1244.444,0.0001255,0.0001255,0.0001255
20,529.69,460.4,4.341,-0.31506,0.0223,0.0228,0.0218,1244.444,0.0001374,0.0001374,0.0001374
21,317.79,133.51,4.485,0.0,0.015,0.0182,0.0118,1244.444,0.0002322,0.0002322,0.0002322
22,451.6,394.96,4.383,-0.3144,0.0025,0.0038,0.0012,1244.444,0.0002444,0.0002444,0.0002444
23,17.37,26.39,4.532,0.0,0.0197,0.0378,0.0016,1244.444,0.00172,0.00172,0.00172
24,299.44,81.39,4.646,-0.31097,0.0018,0.0026,0.001,1244.444,0.0003425,0.0003425,0.0003425
25,122.0,208.01,4.702,0.0,0.01,0.0122,0.0078,1244.444,0.0001604,0.0001604,0.0001604
26,158.19,107.01,4.649,-0.3113,0.0093,0.0128,0.0058,1244.444,0.0004051,0.0004051,0.0004051
27,339.04,47.77,4.604,0.0,0.0234,0.0162,0.0306,1244.444,0.0002649,0.0002649,0.0002649
28,134.89,14.43,4.517,-0.31294,0.0135,0.0188,0.0082,1244.444,0.000266,0.000266,0.000266
29,447.69,261.5,4.46,0.0,0.0085,0.0082,0.0088,1244.444,0.0001126,0.0001126,0.0001126
