Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,530.23,233.53,4.636,-0.31328,0.0632,0.1232,0.0032,1244.444,0.0001442,0.0001442
1,394.27,274.32,4.736,-0.31292,0.0168,0.0168,0.0168,1244.444,0.0001444,0.0001444
2,219.79,205.65,4.819,-0.3113,0.0336,0.0386,0.0286,1244.444,0.0004423,0.0004423
3,362.51,271.6,4.747,-0.31115,0.0073,0.0092,0.0054,1244.444,0.0002302,0.0002302
4,360.66,202.18,4.788,-0.31095,0.0209,0.0268,0.015,1244.444,0.0001648,0.0001648
5,279.82,220.6,4.851,-0.31057,0.037,0.0196,0.0544,1244.444,0.0001798,0.0001798
6,412.34,114.65,4.9,-0.30906,0.1018,0.0894,0.1142,1244.444,0.0001789,0.0001789
7,321.5,64.66,4.756,-0.311,0.0052,0.0044,0.006,1244.444,0.0002777,0.0002777
8,138.01,53.26,4.813,-0.31335,0.0181,0.0192,0.017,1244.444,0.0003195,0.0003195
9,423.55,66.5,4.638,-0.3224,0.0489,0.0618,0.036,1244.444,0.0002876,0.0002876
10,259.65,210.29,4.804,-0.31123,0.0144,0.0242,0.0046,1244.444,0.0001906,0.0001906
11,530.06,78.81,4.743,-0.31179,0.0104,0.0098,0.011,1244.444,0.0001181,0.0001181
12,239.86,213.92,4.626,-0.31372,0.0286,0.0218,0.0354,1244.444,0.0002034,0.0002034
13,236.76,260.5,4.557,-0.31378,0.0448,0.0404,0.0492,1244.444,0.000134,0.000134
14,417.03,58.25,4.509,-0.31577,0.0166,0.0262,0.007,1244.444,0.0003158,0.0003158
15,497.64,310.29,4.599,-0.32045,0.0321,0.034,0.0302,1244.444,0.0004632,0.0004632
16,296.16,28.09,4.937,-0.30883,0.0717,0.0568,0.0866,1244.444,0.0007836,0.0007836
17,464.61,80.12,4.753,-0.31153,0.0089,0.0128,0.005,1244.444,0.0003982,0.0003982
18,420.24,69.31,4.659,-0.28926,0.043,0.0452,0.0408,1244.444,0.0002347,0.0002347
19,380.6,52.45,4.821,-0.31198,0.045,0.0434,0.0466,1244.444,0.0002672,0.0002672
20,326.63,63.04,4.738,-0.31197,0.0276,0.0332,0.022,1244.444,0.0002824,0.0002824
21,322.39,28.65,4.774,-0.31143,0.0328,0.0344,0.0312,1244.444,0.0002388,0.0002388
22,318.31,198.95,4.668,-0.31332,0.008,0.0094,0.0066,1244.444,0.0001465,0.0001465
23,363.68,61.17,4.758,-0.31174,0.042,0.0632,0.0208,1244.444,0.0001682,0.0001682
24,325.16,21.64,4.611,-0.31355,0.0307,0.0254,0.036,1244.444,0.0003428,0.0003428
25,360.16,240.27,4.732,-0.31226,0.025,0.023,0.027,1244.444,0.0006846,0.0006846
26,179.17,86.53,4.777,-0.31228,0.0038,0.0044,0.0032,1244.444,0.000315,0.000315
27,425.67,144.48,4.68,-0.31283,0.0088,0.0096,0.008,1244.444,0.0002251,0.0002251
28,261.4,74.63,4.744,-0.27186,0.0539,0.0436,0.0642,1244.444,0.0002639,0.0002639
29,275.16,174.72,4.792,-0.32426,0.0126,0.0152,0.01,1244.444,0.0005181,0.0005181
30,402.63,375.88,4.693,-0.31268,0.0094,0.0132,0.0056,1244.444,0.0001284,0.0001284
31,321.95,28.14,5.058,-0.30701,0.012,0.0128,0.0112,1244.444,0.0004118,0.0004118
32,311.9,235.79,4.93,-0.30828,0.0326,0.0378,0.0274,1244.444,0.0002694,0.0002694
33,310.91,361.14,4.677,-0.31373,0.0056,0.0068,0.0044,1244.444,0.0002763,0.0002763
34,319.51,75.39,4.71,-0.2877,0.0492,0.044,0.0544,1244.444,0.0003902,0.0003902
35,361.36,59.46,4.915,-0.3092,0.0107,0.0104,0.011,1244.444,0.0001474,0.0001474
36,161.68,52.4,4.854,-0.31028,0.0074,0.008,0.0068,1244.444,0.0001749,0.0001749
37,387.04,328.95,4.594,-0.31539,0.024,0.035,0.013,1244.444,0.0001902,0.0001902
38,494.86,170.61,4.486,-0.31594,0.0299,0.0292,0.0306,1244.444,0.0001498,0.0001498
39,461.79,206.78,4.574,-0.31403,0.0076,0.0094,0.0058,1244.444,0.000117,0.000117
40,455.82,302.92,4.705,-0.31264,0.0035,0.0052,0.0018,1244.444,0.0004174,0.0004174
41,299.39,351.33,4.815,-0.31264,0.0047,0.006,0.0034,1244.444,0.0001097,0.0001097
42,266.27,355.54,4.655,-0.31429,0.0338,0.037,0.0306,1244.444,0.0001722,0.0001722
43,372.21,238.3,4.755,-0.31328,0.0192,0.0314,0.007,1244.444,0.00148,0.00148
44,171.04,226.37,4.868,-0.3105,0.0048,0.0064,0.0032,1244.444,0.0001506,0.0001506
45,223.54,233.8,4.763,-0.31105,0.0056,0.0062,0.005,1244.444,0.000281,0.000281
46,350.0,357.04,4.674,-0.31335,0.0057,0.0078,0.0036,1244.444,0.0001155,0.0001155
47,554.9,115.31,4.795,-0.31225,0.0148,0.0196,0.01,1244.444,0.0001279,0.0001279
48,468.14,230.96,4.707,-0.31165,0.0096,0.0122,0.007,1244.444,8.415e-05,8.415e-05
49,220.14,148.05,4.811,-0.31113,0.0093,0.0144,0.0042,1244.444,0.0007039,0.0007039
50,327.33,150.27,4.879,-0.30969,0.0103,0.0056,0.015,1244.444,0.0001789,0.0001789
51,412.34,347.97,4.767,-0.31094,0.0114,0.0148,0.008,1244.444,0.0001187,0.0001187
52,315.3,11.21,4.855,-0.3096,0.0112,0.0078,0.0146,1244.444,0.000338,0.000338
53,377.2,256.27,4.768,-0.31056,0.0743,0.1216,0.027,1244.444,9.569e-05,9.569e-05
54,48.06,56.0,4.822,-0.31041,0.0056,0.0078,0.0034,1244.444,0.0002047,0.0002047
55,339.2,273.74,4.907,-0.30999,0.0065,0.0068,0.0062,1244.444,0.000328,0.000328
56,536.21,16.99,4.455,-0.31804,0.0166,0.01,0.0232,1244.444,0.0002771,0.0002771
57,56.85,34.97,4.835,-0.31002,0.022,0.0196,0.0244,1244.444,0.0007687,0.0007687
58,504.73,320.92,4.709,-0.31367,0.0119,0.0106,0.0132,1244.444,0.0001352,0.0001352
59,402.65,279.02,4.811,-0.31024,0.0038,0.0052,0.0024,1244.444,0.000174,0.000174
60,485.83,410.45,4.672,-0.31324,0.0056,0.006,0.0052,1244.444,0.0001126,0.0001126
61,370.13,205.67,4.902,-0.30996,0.0083,0.009,0.0076,1244.444,0.0001142,0.0001142
62,457.12,330.99,4.771,-0.31099,0.0219,0.02,0.0238,1244.444,0.0001147,0.0001147
63,86.15,181.98,4.995,-0.30845,0.0044,0.0032,0.0056,1244.444,0.0001727,0.0001727
64,189.1,163.13,4.879,-0.31051,0.0099,0.014,0.0058,1244.444,0.0002438,0.0002438
65,459.64,275.25,4.758,-0.31052,0.02,0.0212,0.0188,1244.444,9.814e-05,9.814e-05
66,307.06,284.38,4.81,-0.31092,0.0048,0.0042,0.0054,1244.444,0.0001133,0.0001133
67,299.09,210.51,4.893,-0.31039,0.0049,0.005,0.0048,1244.444,0.0001556,0.0001556
68,202.58,110.82,4.741,-0.3118,0.0107,0.014,0.0074,1244.444,0.0001591,0.0001591
69,239.39,18.4,4.837,-0.30965,0.0077,0.006,0.0094,1244.444,0.0002048,0.0002048
70,448.26,343.05,4.709,-0.31145,0.0053,0.0066,0.004,1244.444,0.0001222,0.0001222
71,430.39,133.38,4.846,-0.31011,0.0303,0.0276,0.033,1244.444,0.0001609,0.0001609
72,224.89,186.09,4.875,-0.3092,0.0491,0.0446,0.0536,1244.444,0.0001444,0.0001444
73,280.29,274.94,4.875,-0.31024,0.0189,0.0196,0.0182,1244.444,0.0001444,0.0001444
74,329.99,192.02,4.814,-0.3113,0.0026,0.0042,0.001,1244.444,0.0001366,0.0001366
75,36.98,16.63,4.769,-0.31043,0.0545,0.0626,0.0464,1244.444,0.00126,0.00126
76,483.14,15.33,4.702,-0.31292,0.0166,0.0252,0.008,1244.444,0.0001506,0.0001506
77,262.38,195.42,4.807,-0.31079,0.0069,0.009,0.0048,1244.444,0.0003906,0.0003906
78,363.15,308.95,4.861,-0.30955,0.0182,0.02,0.0164,1244.444,0.0001722,0.0001722
79,356.14,34.06,4.786,-0.31151,0.0062,0.0094,0.003,1244.444,0.0001965,0.0001965
80,165.2,218.48,5.043,-0.30792,0.0082,0.0054,0.011,1244.444,0.0002361,0.0002361
81,273.28,161.94,4.961,-0.30881,0.0032,0.0038,0.0026,1244.444,0.0001472,0.0001472
82,208.77,173.61,4.815,-0.31103,0.0036,0.0038,0.0034,1244.444,0.0001567,0.0001567
83,349.11,58.03,4.738,-0.3138,0.0211,0.0134,0.0288,1244.444,0.0001913,0.0001913
84,264.66,184.3,4.666,-0.31335,0.0053,0.0062,0.0044,1244.444,0.000118,0.000118
85,436.69,135.48,4.745,-0.31197,0.0164,0.017,0.0158,1244.444,0.0002229,0.0002229
86,220.05,208.45,4.89,-0.30914,0.0042,0.0034,0.005,1244.444,0.000182,0.000182
87,330.06,91.23,4.824,-0.30996,0.0061,0.0066,0.0056,1244.444,0.0001571,0.0001571
88,209.1,134.04,4.69,-0.31918,0.0036,0.0054,0.0018,1244.444,0.0002577,0.0002577
