Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,121.86,12.85,5.088,-0.30783,0.0171,0.0142,0.02,864.0,0.0002285,0.0002285,0.0002285
1,128.49,80.88,4.981,-0.30902,0.0475,0.0176,0.0774,864.0,0.0001958,0.0001958,0.0001958
2,74.45,14.14,4.892,-0.3104,0.0184,0.0186,0.0182,864.0,0.0003755,0.0003755,0.0003755
3,130.51,31.8,4.944,-0.27711,0.0973,0.0952,0.0994,864.0,0.000391,0.000391,0.000391
4,101.64,64.18,4.987,-0.32195,0.3065,0.3054,0.3076,864.0,0.00104,0.00104,0.00104
5,96.71,60.21,4.882,-0.31039,0.0923,0.0972,0.0874,864.0,0.0006248,0.0006248,0.0006248
6,120.31,166.82,4.969,-0.30806,0.0525,0.0544,0.0506,864.0,0.0003148,0.0003148,0.0003148
7,75.77,61.36,5.015,-0.30824,0.0034,0.003,0.0038,864.0,0.0002969,0.0002969,0.0002969
8,117.6,112.99,5.111,-0.3073,0.0066,0.0082,0.005,864.0,0.0002887,0.0002887,0.0002887
9,133.76,14.96,4.972,-0.30941,0.3158,0.3202,0.3114,864.0,0.01437,0.01437,0.01437
10,105.54,17.64,4.876,-0.31036,0.1633,0.188,0.1386,864.0,0.00686,0.00686,0.00686
11,81.81,20.69,5.132,-0.30673,0.3431,0.3528,0.3334,864.0,0.00554,0.00554,0.00554
12,179.48,27.25,4.83,-0.31113,0.479,0.5412,0.4168,864.0,0.0007702,0.0007702,0.0007702
13,111.79,11.33,4.95,-0.30876,0.0975,0.0526,0.1424,864.0,0.0005503,0.0005503,0.0005503
14,74.48,102.34,4.995,-0.30886,0.0123,0.014,0.0106,864.0,0.0002726,0.0002726,0.0002726
15,79.66,62.6,5.118,-0.30738,0.0099,0.0094,0.0104,864.0,0.00224,0.00224,0.00224
16,140.7,144.11,4.918,-0.3091,0.0101,0.0104,0.0098,864.0,0.00019,0.00019,0.00019
17,129.25,19.78,5.003,-0.30763,0.0574,0.0598,0.055,864.0,0.0003231,0.0003231,0.0003231
