Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,118.95,12.69,5.088,-0.30783,0.0052,0.004,0.0064,864.0,0.0002022,0.0002022,0.0002022
1,132.82,109.44,4.981,-0.30902,0.0085,0.0046,0.0124,864.0,0.0001776,0.0001776,0.0001776
2,98.92,103.84,4.892,-0.3104,0.0231,0.027,0.0192,864.0,0.0003011,0.0003011,0.0003011
3,84.02,30.41,4.944,-0.27711,0.0999,0.1034,0.0964,864.0,0.0003753,0.0003753,0.0003753
4,95.09,89.16,4.987,-0.32195,0.3122,0.3104,0.314,864.0,0.0014,0.0014,0.0014
5,77.62,158.24,4.882,-0.31039,0.1032,0.114,0.0924,864.0,0.0005446,0.0005446,0.0005446
6,57.07,178.25,4.969,-0.30806,0.069,0.0762,0.0618,864.0,0.0003167,0.0003167,0.0003167
7,66.25,33.3,5.015,-0.30824,0.0051,0.007,0.0032,864.0,0.0004875,0.0004875,0.0004875
8,100.97,93.53,5.111,-0.3073,0.0116,0.0148,0.0084,864.0,0.0002801,0.0002801,0.0002801
9,59.46,16.18,4.972,-0.30941,0.2764,0.2556,0.2972,864.0,0.00728,0.00728,0.00728
10,141.01,21.39,4.876,-0.31036,0.1284,0.1506,0.1062,864.0,0.00559,0.00559,0.00559
11,121.41,25.68,5.132,-0.30673,0.2413,0.2168,0.2658,864.0,0.00345,0.00345,0.00345
12,127.47,46.83,4.831,-0.31113,0.4795,0.6028,0.3562,864.0,0.00259,0.00259,0.00259
13,86.51,11.02,4.95,-0.30876,0.009,0.0102,0.0078,864.0,0.0002865,0.0002865,0.0002865
14,98.52,109.65,4.995,-0.30886,0.0173,0.015,0.0196,864.0,0.0001955,0.0001955,0.0001955
15,121.26,71.72,5.118,-0.30738,0.0093,0.013,0.0056,864.0,0.00297,0.00297,0.00297
16,128.08,183.23,4.918,-0.3091,0.0065,0.0108,0.0022,864.0,0.0001912,0.0001912,0.0001912
17,126.9,25.13,5.003,-0.30763,0.026,0.034,0.018,864.0,0.0004862,0.0004862,0.0004862
18,93.19,113.54,4.865,-0.31125,0.0545,0.0584,0.0506,864.0,0.0001968,0.0001968,0.0001968
19,78.82,117.09,5.104,-0.30768,0.0045,0.008,0.001,864.0,0.0002945,0.0002945,0.0002945
20,117.39,203.28,4.902,-0.30965,0.0245,0.0256,0.0234,864.0,0.0002543,0.0002543,0.0002543
21,82.0,61.6,5.04,-0.30739,0.0051,0.007,0.0032,864.0,0.0002494,0.0002494,0.0002494
22,88.55,56.19,4.979,-0.30076,0.0436,0.0454,0.0418,864.0,0.00161,0.00161,0.00161
23,102.69,116.9,5.033,-0.30851,0.0078,0.0096,0.006,864.0,0.0002135,0.0002135,0.0002135
24,43.55,64.68,4.766,-0.30398,0.0409,0.0518,0.03,864.0,0.00123,0.00123,0.00123
25,89.19,171.06,4.87,-0.31089,0.045,0.0584,0.0316,864.0,0.0002714,0.0002714,0.0002714
26,87.15,135.98,4.999,-0.30886,0.0051,0.0066,0.0036,864.0,0.0002489,0.0002489,0.0002489
27,68.9,25.47,5.077,-0.30693,0.0931,0.0924,0.0938,864.0,0.0011,0.0011,0.0011
28,118.83,80.75,5.198,-0.30578,0.0039,0.0036,0.0042,864.0,0.0001884,0.0001884,0.0001884
29,75.23,17.56,4.994,-0.30757,0.1538,0.2194,0.0882,864.0,0.0008517,0.0008517,0.0008517
30,143.94,160.2,5.083,-0.30708,0.0038,0.006,0.0016,864.0,0.0003595,0.0003595,0.0003595
31,98.77,62.6,5.129,-0.30656,0.0014,0.0026,0.0002,864.0,0.000287,0.000287,0.000287
32,105.23,28.1,5.204,-0.30413,0.0022,0.0028,0.0016,864.0,0.0002332,0.0002332,0.0002332
33,96.31,69.79,4.953,-0.30938,0.0243,0.0202,0.0284,864.0,0.0002622,0.0002622,0.0002622
34,62.31,154.39,4.937,-0.30923,0.0108,0.0086,0.013,864.0,0.0001642,0.0001642,0.0001642
35,127.61,29.83,5.074,-0.30721,0.007,0.008,0.006,864.0,0.0001775,0.0001775,0.0001775
36,124.46,148.45,5.102,-0.30593,0.0056,0.0064,0.0048,864.0,0.0002519,0.0002519,0.0002519
37,87.21,65.57,5.168,-0.30222,0.0401,0.0522,0.028,864.0,0.00309,0.00309,0.00309
38,71.6,106.45,5.106,-0.30753,0.0093,0.0126,0.006,864.0,0.0004513,0.0004513,0.0004513
39,107.56,110.47,5.018,-0.30838,0.0163,0.015,0.0176,864.0,0.0002267,0.0002267,0.0002267
40,54.07,16.03,5.163,-0.30613,0.0708,0.0746,0.067,864.0,0.0003009,0.0003009,0.0003009
41,96.75,44.17,5.093,-0.30775,0.0817,0.0866,0.0768,864.0,0.0003396,0.0003396,0.0003396
42,154.91,240.52,4.925,-0.30938,0.0103,0.0136,0.007,864.0,0.0001445,0.0001445,0.0001445
43,47.89,89.41,5.033,-0.30812,0.0091,0.0058,0.0124,864.0,0.0003297,0.0003297,0.0003297
44,93.2,174.45,5.116,-0.30753,0.003,0.0048,0.0012,864.0,0.0001843,0.0001843,0.0001843
45,84.83,177.57,4.88,-0.30948,0.0495,0.0632,0.0358,864.0,0.0001634,0.0001634,0.0001634
46,81.22,125.56,5.145,-0.30658,0.0035,0.0068,0.0002,864.0,0.0002813,0.0002813,0.0002813
47,119.67,22.7,5.001,-0.30885,0.0057,0.0084,0.003,864.0,0.000262,0.000262,0.000262
48,140.46,190.52,4.934,-0.309,0.0082,0.0082,0.0082,864.0,0.0001753,0.0001753,0.0001753
49,115.98,155.83,5.116,-0.30701,0.0048,0.0062,0.0034,864.0,0.0002231,0.0002231,0.0002231
50,152.27,208.17,5.017,-0.30795,0.0219,0.014,0.0298,864.0,0.0001762,0.0001762,0.0001762
51,68.15,40.28,5.209,-0.30446,0.0031,0.0054,0.0008,864.0,0.000259,0.000259,0.000259
52,72.56,59.85,5.016,-0.30785,0.0426,0.025,0.0602,864.0,0.0002598,0.0002598,0.0002598
53,69.68,17.36,5.048,-0.30705,0.0511,0.0518,0.0504,864.0,0.00111,0.00111,0.00111
54,38.02,52.75,5.024,-0.30335,0.0183,0.0242,0.0124,864.0,0.0005161,0.0005161,0.0005161
55,84.1,124.77,5.198,-0.30556,0.0022,0.004,0.0004,864.0,0.0002517,0.0002517,0.0002517
56,40.61,58.16,5.188,-0.30564,0.0065,0.009,0.004,864.0,0.0003144,0.0003144,0.0003144
57,64.24,47.69,5.093,-0.30621,0.009,0.0116,0.0064,864.0,0.0002325,0.0002325,0.0002325
58,124.12,81.74,4.965,-0.30941,0.0385,0.0414,0.0356,864.0,0.000206,0.000206,0.000206
59,51.67,78.05,5.019,-0.30794,0.0148,0.0188,0.0108,864.0,0.0003624,0.0003624,0.0003624
60,97.06,55.68,5.141,-0.30605,0.0163,0.0204,0.0122,864.0,0.0007363,0.0007363,0.0007363
61,101.13,185.12,4.875,-0.3101,0.0393,0.0444,0.0342,864.0,0.0001627,0.0001627,0.0001627
62,115.5,151.93,4.961,-0.30931,0.0069,0.0092,0.0046,864.0,0.0001846,0.0001846,0.0001846
63,88.95,160.61,5.045,-0.30798,0.0202,0.0112,0.0292,864.0,0.00118,0.00118,0.00118
64,72.0,99.05,5.258,-0.30505,0.0273,0.0262,0.0284,864.0,0.0003525,0.0003525,0.0003525
65,122.95,170.78,5.101,-0.30611,0.0267,0.0384,0.015,864.0,0.0002094,0.0002094,0.0002094
66,100.18,79.18,5.234,-0.29458,0.0172,0.0206,0.0138,864.0,0.00212,0.00212,0.00212
67,141.07,141.67,4.912,-0.30058,0.0819,0.0904,0.0734,864.0,0.0003156,0.0003156,0.0003156
68,103.32,80.83,5.136,-0.30448,0.0092,0.0098,0.0086,864.0,0.0002424,0.0002424,0.0002424
69,85.69,116.46,4.944,-0.30828,0.0063,0.0106,0.002,864.0,0.0002042,0.0002042,0.0002042
70,82.78,76.87,5.155,-0.30506,0.0051,0.007,0.0032,864.0,0.0001735,0.0001735,0.0001735
71,77.27,116.4,5.119,-0.31568,0.0798,0.0764,0.0832,864.0,0.0005519,0.0005519,0.0005519
72,56.2,94.26,5.145,-0.3059,0.0059,0.0082,0.0036,864.0,0.0002309,0.0002309,0.0002309
73,115.18,146.88,5.019,-0.30805,0.0051,0.0096,0.0006,864.0,0.0002477,0.0002477,0.0002477
74,153.62,27.51,4.874,-0.32062,0.0721,0.0766,0.0676,864.0,0.0001838,0.0001838,0.0001838
75,123.45,130.89,5.008,-0.30781,0.0129,0.0224,0.0034,864.0,0.0002057,0.0002057,0.0002057
76,96.56,155.09,4.904,-0.31017,0.0043,0.0084,0.0002,864.0,0.0001948,0.0001948,0.0001948
77,65.19,126.86,5.071,-0.30801,0.0648,0.069,0.0606,864.0,0.0003373,0.0003373,0.0003373
78,56.71,17.03,5.277,-0.3036,0.0026,0.005,0.0002,864.0,0.0002626,0.0002626,0.0002626
79,92.44,17.51,5.017,-0.30802,0.0246,0.019,0.0302,864.0,0.0005529,0.0005529,0.0005529
80,90.98,118.14,5.081,-0.30759,0.0996,0.0978,0.1014,864.0,0.0002064,0.0002064,0.0002064
81,124.28,117.28,4.945,-0.3096,0.0123,0.0114,0.0132,864.0,0.0001669,0.0001669,0.0001669
82,122.41,33.08,5.08,-0.30778,0.0288,0.0304,0.0272,864.0,0.00099,0.00099,0.00099
83,150.52,202.67,5.052,-0.30815,0.0217,0.0222,0.0212,864.0,0.0004308,0.0004308,0.0004308
84,100.98,13.85,4.909,-0.30897,0.0022,0.004,0.0004,864.0,0.000169,0.000169,0.000169
85,47.89,62.64,5.092,-0.30693,0.0026,0.0042,0.001,864.0,0.0002338,0.0002338,0.0002338
86,99.16,153.06,4.931,-0.30902,0.0068,0.0102,0.0034,864.0,0.0002372,0.0002372,0.0002372
87,103.95,146.92,5.195,-0.30516,0.0192,0.0238,0.0146,864.0,0.0003108,0.0003108,0.0003108
88,68.99,87.12,5.097,-0.30661,0.029,0.0322,0.0258,864.0,0.0004793,0.0004793,0.0004793
89,122.98,39.4,4.958,-0.30863,0.003,0.0044,0.0016,864.0,0.0002275,0.0002275,0.0002275
90,83.86,118.09,5.256,-0.3033,0.0066,0.0114,0.0018,864.0,0.0004105,0.0004105,0.0004105
91,18.21,12.22,5.055,-0.30788,0.1292,0.2378,0.0206,864.0,0.04036,0.04036,0.04036
92,87.75,106.17,5.124,-0.30626,0.004,0.0058,0.0022,864.0,0.0002834,0.0002834,0.0002834
93,77.23,89.24,5.14,-0.30575,0.0089,0.0098,0.008,864.0,0.0002093,0.0002093,0.0002093
94,112.41,44.37,5.176,-0.30523,0.0149,0.0178,0.012,864.0,0.0003751,0.0003751,0.0003751
95,106.1,143.95,5.221,-0.30548,0.1625,0.157,0.168,864.0,0.0003934,0.0003934,0.0003934
96,95.56,28.76,5.142,-0.30586,0.0405,0.0392,0.0418,864.0,0.0004795,0.0004795,0.0004795
97,89.85,80.2,5.052,-0.30754,0.0073,0.0078,0.0068,864.0,0.0003077,0.0003077,0.0003077
98,90.83,56.77,5.122,-0.29461,0.0283,0.0326,0.024,864.0,0.00488,0.00488,0.00488
99,108.84,37.64,5.175,-0.30474,0.0583,0.0552,0.0614,864.0,0.00307,0.00307,0.00307
100,110.88,60.86,5.028,-0.30765,0.0197,0.0254,0.014,864.0,0.0002315,0.0002315,0.0002315
101,99.72,139.12,5.095,-0.30715,0.0098,0.0128,0.0068,864.0,0.000778,0.000778,0.000778
102,99.65,100.44,4.985,-0.30865,0.0227,0.0172,0.0282,864.0,0.000282,0.000282,0.000282
103,62.29,84.29,5.227,-0.30411,0.1443,0.286,0.0026,864.0,0.01744,0.01744,0.01744
104,73.38,21.59,5.135,-0.30632,0.0073,0.0142,0.0004,864.0,0.00229,0.00229,0.00229
105,134.65,104.87,4.985,-0.30863,0.0165,0.0146,0.0184,864.0,0.0002978,0.0002978,0.0002978
106,79.91,37.22,5.04,-0.30814,0.0072,0.0114,0.003,864.0,0.0006027,0.0006027,0.0006027
107,115.14,131.72,5.122,-0.30525,0.0057,0.009,0.0024,864.0,0.0001996,0.0001996,0.0001996
108,117.53,59.15,5.254,-0.30352,0.0717,0.0776,0.0658,864.0,0.0007064,0.0007064,0.0007064
109,0.0,0.0,4.973,-0.3249,0.469,0.246,0.692,864.0,1.0,1.0,1.0
110,92.64,50.09,5.292,-0.30295,0.0088,0.0102,0.0074,864.0,0.0002224,0.0002224,0.0002224
111,81.42,113.17,5.191,-0.3056,0.0027,0.0032,0.0022,864.0,0.0002611,0.0002611,0.0002611
112,109.75,87.44,5.216,-0.27862,0.0568,0.0496,0.064,864.0,0.000592,0.000592,0.000592
