Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,281.64,362.41,4.656,-0.31111,0.0023,0.0042,0.0004,1244.444,0.0001081,0.0001081,0.0001081
1,476.21,333.51,4.535,0.0,0.0019,0.003,0.0008,1244.444,8.798e-05,8.798e-05,8.798e-05
2,251.72,108.84,4.68,-0.31073,0.0039,0.0056,0.0022,1244.444,0.0001156,0.0001156,0.0001156
3,349.09,146.67,4.607,0.0,0.0103,0.0102,0.0104,1244.444,0.0001118,0.0001118,0.0001118
4,333.87,127.85,4.462,-0.32295,0.0096,0.0116,0.0076,1244.444,0.0005622,0.0005622,0.0005622
5,406.84,297.63,4.427,0.0,0.0122,0.015,0.0094,1244.444,0.0003252,0.0003252,0.0003252
6,181.22,101.26,4.64,-0.31059,0.1073,0.1048,0.1098,1244.444,0.000204,0.000204,0.000204
7,257.12,332.91,4.476,0.0,0.0145,0.0072,0.0218,1244.444,0.0003168,0.0003168,0.0003168
8,344.44,196.58,4.402,-0.31475,0.0096,0.0072,0.012,1244.444,0.0004238,0.0004238,0.0004238
9,515.65,392.82,4.519,0.0,0.0044,0.0036,0.0052,1244.444,0.0001004,0.0001004,0.0001004
10,253.79,57.15,4.628,-0.31213,0.0049,0.0082,0.0016,1244.444,0.000129,0.000129,0.000129
11,125.08,147.73,4.572,0.0,0.0535,0.0946,0.0124,1244.444,0.01713,0.01713,0.01713
12,239.63,242.1,4.464,-0.31549,0.019,0.0062,0.0318,1244.444,0.0001206,0.0001206,0.0001206
13,274.17,78.18,4.573,0.0,0.0037,0.0038,0.0036,1244.444,0.0001592,0.0001592,0.0001592
14,223.76,284.42,4.604,0.0,0.0925,0.1374,0.0476,1244.444,0.00331,0.00331,0.00331
15,439.9,61.64,4.497,0.0,0.0187,0.0122,0.0252,1244.444,0.0008104,0.0008104,0.0008104
16,413.24,105.85,4.513,0.0,0.3621,0.6562,0.068,1244.444,0.0001987,0.0001987,0.0001987
17,277.45,40.26,4.676,0.0,0.0056,0.0084,0.0028,1244.444,0.0003441,0.0003441,0.0003441
18,398.86,53.44,4.515,-0.31437,0.0043,0.0062,0.0024,1244.444,0.0001016,0.0001016,0.0001016
19,364.0,228.32,4.444,0.0,0.0069,0.0054,0.0084,1244.444,0.0001079,0.0001079,0.0001079
20,440.71,425.75,4.341,-0.31506,0.0213,0.0236,0.019,1244.444,0.0001109,0.0001109,0.0001109
21,420.33,199.69,4.485,0.0,0.0098,0.0098,0.0098,1244.444,0.000228,0.000228,0.000228
22,157.3,207.89,4.383,-0.3144,0.0053,0.008,0.0026,1244.444,0.0002175,0.0002175,0.0002175
