Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
109,255.05,254.8,4.794,-0.30982,0.0286,0.0294,0.0278,1244.444,0.0002551,0.0002551
110,294.16,299.37,4.835,-0.30954,0.0056,0.0054,0.0058,1244.444,0.0002227,0.0002227
111,170.86,128.74,4.9,-0.30966,0.0085,0.014,0.003,1244.444,0.000426,0.000426
112,306.31,54.78,4.931,-0.30828,0.0161,0.0106,0.0216,1244.444,0.0001411,0.0001411
113,245.5,62.2,4.964,-0.30844,0.0043,0.006,0.0026,1244.444,0.0002713,0.0002713
114,279.58,420.65,4.885,-0.30934,0.0097,0.0128,0.0066,1244.444,0.0001231,0.0001231
115,289.04,247.99,4.743,-0.31098,0.0068,0.0106,0.003,1244.444,0.0002102,0.0002102
116,262.29,298.4,4.931,-0.30852,0.0072,0.0062,0.0082,1244.444,0.000123,0.000123
117,265.76,99.72,4.793,-0.31084,0.0071,0.0088,0.0054,1244.444,0.0005618,0.0005618
118,261.98,216.36,4.737,-0.31214,0.0042,0.0062,0.0022,1244.444,0.0001658,0.0001658
119,341.27,117.87,4.793,-0.3115,0.0054,0.006,0.0048,1244.444,0.000857,0.000857
120,216.95,278.87,4.888,-0.30955,0.0084,0.0104,0.0064,1244.444,0.0001573,0.0001573
121,278.2,21.64,4.848,-0.31085,0.006,0.007,0.005,1244.444,0.0002275,0.0002275
122,319.32,402.5,4.732,-0.3116,0.0068,0.0086,0.005,1244.444,0.0001704,0.0001704
123,270.15,235.85,4.821,-0.31031,0.0042,0.0048,0.0036,1244.444,0.0001534,0.0001534
124,320.87,196.35,4.881,-0.30921,0.0119,0.0176,0.0062,1244.444,0.0001987,0.0001987
125,315.68,88.06,4.977,-0.30776,0.0097,0.0132,0.0062,1244.444,0.0001785,0.0001785
126,286.73,83.36,4.831,-0.3093,0.0119,0.0072,0.0166,1244.444,0.0001573,0.0001573
