Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,445.04,121.34,4.636,-0.31328,0.0516,0.0878,0.0154,1244.444,0.00148,0.00148,0.00148
1,260.4,225.28,4.736,-0.31292,0.0204,0.0228,0.018,1244.444,0.0002014,0.0002014,0.0002014
2,234.89,167.71,4.819,-0.3113,0.0412,0.0452,0.0372,1244.444,0.0002004,0.0002004,0.0002004
3,376.3,188.88,4.747,-0.31115,0.0044,0.0044,0.0044,1244.444,0.0001264,0.0001264,0.0001264
4,278.99,32.92,4.788,-0.31095,0.0187,0.021,0.0164,1244.444,0.0008939,0.0008939,0.0008939
5,130.54,280.55,4.851,-0.31057,0.0323,0.0154,0.0492,1244.444,0.0003049,0.0003049,0.0003049
6,298.05,74.56,4.9,-0.30906,0.0976,0.0832,0.112,1244.444,0.0002438,0.0002438,0.0002438
7,208.22,57.31,4.756,-0.311,0.0064,0.0078,0.005,1244.444,0.0003371,0.0003371,0.0003371
8,85.54,29.06,4.813,-0.31335,0.0114,0.0134,0.0094,1244.444,0.0005876,0.0005876,0.0005876
9,424.44,61.89,4.638,-0.3224,0.132,0.147,0.117,1244.444,0.00378,0.00378,0.00378
10,270.2,185.29,4.804,-0.31123,0.0095,0.0114,0.0076,1244.444,0.0001558,0.0001558,0.0001558
11,268.79,83.94,4.743,-0.31179,0.0089,0.0092,0.0086,1244.444,0.0001405,0.0001405,0.0001405
12,437.17,275.39,4.626,-0.31372,0.0104,0.012,0.0088,1244.444,0.0001616,0.0001616,0.0001616
13,486.39,290.42,4.557,-0.31378,0.0458,0.0506,0.041,1244.444,0.0001486,0.0001486,0.0001486
14,383.6,27.75,4.509,-0.31577,0.0174,0.0274,0.0074,1244.444,0.0002876,0.0002876,0.0002876
15,246.05,302.59,4.599,-0.32045,0.0241,0.0202,0.028,1244.444,0.0004275,0.0004275,0.0004275
16,350.59,29.81,4.937,-0.30883,0.0605,0.0484,0.0726,1244.444,0.00098,0.00098,0.00098
17,387.98,72.72,4.753,-0.31153,0.0084,0.0116,0.0052,1244.444,0.0004317,0.0004317,0.0004317
18,496.1,58.92,4.659,-0.28926,0.0262,0.0246,0.0278,1244.444,0.0001743,0.0001743,0.0001743
19,444.25,20.06,4.821,-0.31198,0.0362,0.0328,0.0396,1244.444,0.0001773,0.0001773,0.0001773
20,430.99,56.41,4.738,-0.31197,0.0332,0.035,0.0314,1244.444,0.0001959,0.0001959,0.0001959
21,354.28,27.23,4.774,-0.31143,0.0345,0.0328,0.0362,1244.444,0.0002346,0.0002346,0.0002346
22,381.46,283.4,4.668,-0.31332,0.0061,0.0046,0.0076,1244.444,0.0001137,0.0001137,0.0001137
