Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,571.15,283.42,4.636,-0.31328,0.0265,0.0144,0.0386,1244.444,0.0001297,0.0001297
1,337.17,191.05,4.736,-0.31292,0.0273,0.0412,0.0134,1244.444,0.0002148,0.0002148
2,150.21,129.86,4.819,-0.3113,0.0257,0.0254,0.026,1244.444,0.0002625,0.0002625
3,296.56,174.51,4.747,-0.31115,0.0138,0.014,0.0136,1244.444,0.00097,0.00097
4,370.63,237.46,4.788,-0.31095,0.0152,0.0128,0.0176,1244.444,0.0001903,0.0001903
5,259.26,162.05,4.851,-0.31057,0.0377,0.0186,0.0568,1244.444,0.0003466,0.0003466
6,366.54,64.07,4.9,-0.30906,0.1029,0.1062,0.0996,1244.444,0.0005035,0.0005035
7,405.5,35.6,4.756,-0.311,0.0073,0.0096,0.005,1244.444,0.00122,0.00122
8,362.93,34.69,4.813,-0.31335,0.0175,0.0136,0.0214,1244.444,0.0003059,0.0003059
9,509.78,76.41,4.638,-0.3224,0.0399,0.0334,0.0464,1244.444,0.0004638,0.0004638
10,245.77,210.92,4.805,-0.31123,0.0835,0.1488,0.0182,1244.444,0.03575,0.03575
11,348.39,78.92,4.743,-0.31179,0.0152,0.0204,0.01,1244.444,0.0001765,0.0001765
12,504.15,201.92,4.626,-0.31372,0.1361,0.2208,0.0514,1244.444,0.0002133,0.0002133
13,325.6,222.29,4.557,-0.31378,0.04,0.043,0.037,1244.444,0.0001968,0.0001968
14,358.12,71.15,4.509,-0.31577,0.0148,0.023,0.0066,1244.444,0.0003856,0.0003856
15,410.07,82.83,4.599,-0.32045,0.0456,0.0376,0.0536,1244.444,0.0005629,0.0005629
16,109.79,20.96,4.937,-0.30883,0.0694,0.0662,0.0726,1244.444,0.00286,0.00286
17,242.58,73.89,4.753,-0.31153,0.0087,0.013,0.0044,1244.444,0.00119,0.00119
18,552.43,59.71,4.659,-0.28926,0.0449,0.0462,0.0436,1244.444,0.000256,0.000256
19,386.06,24.12,4.821,-0.31198,0.0426,0.0478,0.0374,1244.444,0.0005309,0.0005309
20,360.66,33.96,4.738,-0.31197,0.0297,0.0308,0.0286,1244.444,0.0002749,0.0002749
21,375.46,19.08,4.774,-0.31143,0.0375,0.045,0.03,1244.444,0.0002773,0.0002773
22,362.0,89.57,4.668,-0.31332,0.0084,0.0104,0.0064,1244.444,0.0002036,0.0002036
23,329.57,34.71,4.758,-0.31174,0.0178,0.0218,0.0138,1244.444,0.0003123,0.0003123
24,308.61,14.66,4.611,-0.31355,0.0319,0.0238,0.04,1244.444,0.00106,0.00106
25,228.83,165.3,4.732,-0.31226,0.0297,0.0332,0.0262,1244.444,0.00052,0.00052
26,308.42,144.71,4.777,-0.31228,0.0044,0.0044,0.0044,1244.444,0.0001692,0.0001692
27,368.51,149.58,4.68,-0.31283,0.0085,0.01,0.007,1244.444,0.0002194,0.0002194
28,261.75,80.94,4.743,-0.27186,0.0495,0.035,0.064,1244.444,0.0002717,0.0002717
29,351.36,182.85,4.792,-0.32426,0.0113,0.0136,0.009,1244.444,0.0001783,0.0001783
30,411.41,379.18,4.693,-0.31268,0.0359,0.0618,0.01,1244.444,0.0001119,0.0001119
31,286.74,38.12,5.058,-0.30701,0.0144,0.0114,0.0174,1244.444,0.0004991,0.0004991
32,319.84,261.07,4.93,-0.30828,0.06167,0.03,0.09333,1244.444,0.0004551,0.0004551
33,475.45,123.11,4.677,-0.31373,0.0057,0.0076,0.0038,1244.444,0.0002186,0.0002186
34,308.92,53.06,4.71,-0.2877,0.0514,0.0336,0.0692,1244.444,0.0005052,0.0005052
35,412.8,68.54,4.915,-0.3092,0.0099,0.01,0.0098,1244.444,0.0001768,0.0001768
36,377.37,61.24,4.854,-0.31028,0.03333,0.01333,0.05333,1244.444,0.0001294,0.0001294
37,465.13,297.47,4.594,-0.31539,0.0235,0.0214,0.0256,1244.444,0.000173,0.000173
38,428.6,161.53,4.486,-0.31594,0.0299,0.0338,0.026,1244.444,0.0018,0.0018
39,494.96,271.51,4.574,-0.31403,0.0075,0.007,0.008,1244.444,0.0001165,0.0001165
40,431.8,203.32,4.705,-0.31264,0.0086,0.0078,0.0094,1244.444,0.0005271,0.0005271
41,260.61,485.75,4.815,-0.31264,0.0063,0.0086,0.004,1244.444,0.0001088,0.0001088
42,261.04,446.01,4.655,-0.31429,0.0313,0.0294,0.0332,1244.444,0.0001182,0.0001182
43,424.64,200.73,4.755,-0.31328,0.0218,0.0324,0.0112,1244.444,0.0005078,0.0005078
44,282.54,221.21,4.868,-0.3105,0.0036,0.005,0.0022,1244.444,0.0001353,0.0001353
