Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,562.16,297.42,4.636,-0.31328,0.012,0.0162,0.0078,1244.444,0.0001349,0.0001349
1,459.73,98.86,4.736,-0.31292,0.0164,0.0158,0.017,1244.444,0.0007734,0.0007734
2,225.12,126.01,4.819,-0.3113,0.026,0.0236,0.0284,1244.444,0.0002596,0.0002596
3,462.09,207.95,4.747,-0.31115,0.006,0.0056,0.0064,1244.444,0.000208,0.000208
4,355.27,222.31,4.788,-0.31095,0.0153,0.012,0.0186,1244.444,0.0001421,0.0001421
5,180.39,158.46,4.851,-0.31057,0.0421,0.0186,0.0656,1244.444,0.0001997,0.0001997
6,418.43,92.39,4.9,-0.30906,0.0994,0.101,0.0978,1244.444,0.0001927,0.0001927
7,219.95,41.73,4.756,-0.311,0.016,0.018,0.014,1244.444,0.00194,0.00194
8,247.49,38.55,4.813,-0.31335,0.0171,0.0128,0.0214,1244.444,0.0004994,0.0004994
9,494.21,61.79,4.637,-0.3224,0.0254,0.0298,0.021,1244.444,0.0002841,0.0002841
10,214.08,146.17,4.804,-0.31123,0.0054,0.0064,0.0044,1244.444,0.0002024,0.0002024
11,419.28,78.76,4.743,-0.31179,0.0105,0.0122,0.0088,1244.444,0.0001412,0.0001412
12,475.59,294.17,4.626,-0.31372,0.0109,0.0112,0.0106,1244.444,0.0002295,0.0002295
13,332.14,207.58,4.557,-0.31378,0.0388,0.0416,0.036,1244.444,0.0006913,0.0006913
14,105.51,55.9,4.509,-0.31577,0.0205,0.0314,0.0096,1244.444,0.000284,0.000284
15,290.58,344.65,4.599,-0.32045,0.0345,0.0348,0.0342,1244.444,0.000732,0.000732
16,7.34,20.07,4.937,-0.30883,0.101,0.0946,0.1074,1244.444,0.00119,0.00119
17,402.45,84.59,4.753,-0.31153,0.0136,0.0192,0.008,1244.444,0.0005805,0.0005805
18,530.74,55.46,4.659,-0.28926,0.0358,0.029,0.0426,1244.444,0.0002227,0.0002227
19,414.13,47.06,4.821,-0.31198,0.0426,0.0382,0.047,1244.444,0.0003961,0.0003961
20,393.6,47.73,4.738,-0.31197,0.0374,0.051,0.0238,1244.444,0.0044,0.0044
21,313.45,26.45,4.774,-0.31143,0.041,0.051,0.031,1244.444,0.0003701,0.0003701
22,325.16,237.5,4.668,-0.31332,0.0067,0.0078,0.0056,1244.444,0.0001599,0.0001599
23,419.94,50.6,4.758,-0.31174,0.0191,0.0174,0.0208,1244.444,0.0002044,0.0002044
24,62.89,12.92,4.611,-0.31355,0.0719,0.0968,0.047,1244.444,0.00184,0.00184
25,328.62,280.68,4.732,-0.31226,0.0204,0.0176,0.0232,1244.444,0.0001212,0.0001212
26,375.51,147.64,4.777,-0.31228,0.0049,0.0062,0.0036,1244.444,0.0001697,0.0001697
27,345.74,165.9,4.68,-0.31283,0.0063,0.0072,0.0054,1244.444,0.0001115,0.0001115
28,194.66,81.54,4.743,-0.27186,0.0308,0.0326,0.029,1244.444,0.0003172,0.0003172
29,445.44,166.11,4.792,-0.32426,0.0118,0.0132,0.0104,1244.444,0.000221,0.000221
30,204.23,195.43,4.693,-0.31268,0.0168,0.0142,0.0194,1244.444,0.0002287,0.0002287
31,159.22,27.45,5.058,-0.30701,0.0178,0.0236,0.012,1244.444,0.00133,0.00133
32,288.8,363.92,4.93,-0.30828,0.0279,0.0328,0.023,1244.444,0.00014,0.00014
33,306.28,292.85,4.677,-0.31373,0.0047,0.007,0.0024,1244.444,0.0001385,0.0001385
34,271.91,88.85,4.71,-0.2877,0.0691,0.066,0.0722,1244.444,0.0004798,0.0004798
35,259.79,55.94,4.915,-0.3092,0.0099,0.0104,0.0094,1244.444,0.0001808,0.0001808
36,200.64,56.06,4.854,-0.31028,0.0055,0.0056,0.0054,1244.444,0.0001137,0.0001137
37,533.06,277.17,4.594,-0.31539,0.0217,0.0202,0.0232,1244.444,0.0001334,0.0001334
38,497.6,163.23,4.486,-0.31594,0.0233,0.0216,0.025,1244.444,0.0003409,0.0003409
39,456.42,267.9,4.574,-0.31403,0.0055,0.0054,0.0056,1244.444,9.579e-05,9.579e-05
40,303.31,131.95,4.705,-0.31264,0.0059,0.0074,0.0044,1244.444,0.0002924,0.0002924
41,335.31,412.89,4.815,-0.31264,0.006,0.0082,0.0038,1244.444,0.000134,0.000134
42,406.94,310.53,4.655,-0.31429,0.0244,0.0286,0.0202,1244.444,0.00029,0.00029
43,408.81,191.83,4.755,-0.31328,0.0066,0.0076,0.0056,1244.444,0.0001971,0.0001971
44,262.36,202.33,4.868,-0.3105,0.0045,0.005,0.004,1244.444,0.0001746,0.0001746
45,414.35,312.03,4.763,-0.31105,0.0193,0.0104,0.0282,1244.444,0.0005119,0.0005119
46,343.77,263.8,4.674,-0.31335,0.0066,0.0088,0.0044,1244.444,0.00098,0.00098
47,199.5,127.78,4.795,-0.31225,0.0094,0.0126,0.0062,1244.444,0.0001233,0.0001233
48,408.84,252.52,4.707,-0.31165,0.0158,0.0198,0.0118,1244.444,0.000107,0.000107
49,173.38,178.0,4.811,-0.31113,0.0026,0.0032,0.002,1244.444,0.0001728,0.0001728
50,272.66,179.71,4.879,-0.30969,0.0082,0.0058,0.0106,1244.444,0.0001578,0.0001578
51,222.21,231.9,4.767,-0.31094,0.014,0.0176,0.0104,1244.444,0.0003981,0.0003981
52,233.46,80.24,4.855,-0.3096,0.0127,0.0096,0.0158,1244.444,0.0002015,0.0002015
53,149.16,351.46,4.768,-0.31056,0.0375,0.0566,0.0184,1244.444,0.0002046,0.0002046
54,191.54,60.56,4.822,-0.31041,0.0093,0.0154,0.0032,1244.444,0.0003833,0.0003833
55,324.63,417.77,4.907,-0.30999,0.0054,0.0056,0.0052,1244.444,0.0001642,0.0001642
56,445.98,18.24,4.455,-0.31804,0.0158,0.0142,0.0174,1244.444,0.0002473,0.0002473
57,226.44,63.52,4.835,-0.31002,0.0178,0.0134,0.0222,1244.444,0.000348,0.000348
58,434.88,23.96,4.709,-0.31367,0.1054,0.0402,0.1706,1244.444,0.0001472,0.0001472
59,429.4,490.0,4.811,-0.31024,0.0075,0.0116,0.0034,1244.444,0.0001123,0.0001123
60,455.4,496.77,4.672,-0.31324,0.0108,0.0094,0.0122,1244.444,0.0001064,0.0001064
61,91.77,31.2,4.902,-0.30996,0.0092,0.0086,0.0098,1244.444,0.0003279,0.0003279
62,449.31,285.21,4.771,-0.31099,0.0223,0.0194,0.0252,1244.444,0.0001543,0.0001543
63,310.72,217.61,4.995,-0.30845,0.0063,0.0066,0.006,1244.444,9.235e-05,9.235e-05
64,165.73,186.2,4.879,-0.31051,0.0057,0.0074,0.004,1244.444,0.0002701,0.0002701
65,342.62,254.99,4.758,-0.31052,0.0203,0.0238,0.0168,1244.444,0.0001922,0.0001922
66,224.44,399.45,4.81,-0.31092,0.0178,0.0168,0.0188,1244.444,0.0001327,0.0001327
67,136.99,169.36,4.893,-0.31039,0.0082,0.0114,0.005,1244.444,0.0001551,0.0001551
68,410.15,121.45,4.741,-0.3118,0.0101,0.0118,0.0084,1244.444,0.0001993,0.0001993
69,414.03,17.65,4.837,-0.30965,0.0114,0.0116,0.0112,1244.444,0.0002976,0.0002976
70,296.12,306.69,4.709,-0.31145,0.0059,0.0066,0.0052,1244.444,0.000148,0.000148
71,432.37,134.45,4.846,-0.31011,0.0425,0.04,0.045,1244.444,0.0002703,0.0002703
72,153.86,3.4,4.874,-0.3092,0.1627,0.2,0.1254,1244.444,0.00807,0.00807
73,297.66,121.67,4.875,-0.31024,0.0202,0.0262,0.0142,1244.444,0.000137,0.000137
74,290.96,257.9,4.814,-0.3113,0.0067,0.003,0.0104,1244.444,0.000129,0.000129
75,452.26,111.98,4.769,-0.31043,0.0438,0.0536,0.034,1244.444,0.0001945,0.0001945
76,435.17,17.33,4.702,-0.31292,0.0218,0.021,0.0226,1244.444,0.0001246,0.0001246
77,92.34,73.71,4.807,-0.31079,0.0097,0.0086,0.0108,1244.444,0.0001231,0.0001231
78,407.96,423.36,4.861,-0.30955,0.0202,0.0194,0.021,1244.444,0.0001979,0.0001979
79,417.23,33.75,4.786,-0.31151,0.006,0.0064,0.0056,1244.444,0.0001582,0.0001582
