Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,76.15,12.65,5.088,-0.30783,0.0025,0.005,0.0,864.0,0.000233,0.000233,0.000233
1,86.17,100.96,4.981,-0.30902,0.002,0.003,0.001,864.0,0.0001846,0.0001846,0.0001846
2,87.77,13.8,4.892,-0.3104,0.0257,0.0276,0.0238,864.0,0.0002591,0.0002591,0.0002591
3,127.51,32.55,4.944,-0.27711,0.098,0.0964,0.0996,864.0,0.0004337,0.0004337,0.0004337
4,34.27,42.07,4.987,-0.32195,0.3436,0.31,0.3772,864.0,0.00171,0.00171,0.00171
5,135.64,163.75,4.882,-0.31039,0.0817,0.0802,0.0832,864.0,0.0005651,0.0005651,0.0005651
6,98.46,191.67,4.969,-0.30806,0.0463,0.0514,0.0412,864.0,0.0003188,0.0003188,0.0003188
7,71.23,57.69,5.015,-0.30824,0.0044,0.0064,0.0024,864.0,0.0003769,0.0003769,0.0003769
8,112.41,106.72,5.111,-0.3073,0.0106,0.0124,0.0088,864.0,0.0003168,0.0003168,0.0003168
9,100.86,13.15,4.972,-0.30941,0.3095,0.2958,0.3232,864.0,0.00413,0.00413,0.00413
10,129.02,17.74,4.876,-0.31036,0.1396,0.165,0.1142,864.0,0.00705,0.00705,0.00705
11,131.81,28.84,5.132,-0.30673,0.291,0.2518,0.3302,864.0,0.00356,0.00356,0.00356
12,122.19,28.77,4.831,-0.31113,0.4788,0.437,0.5206,864.0,0.0029,0.0029,0.0029
13,99.13,10.37,4.95,-0.30876,0.0195,0.0196,0.0194,864.0,0.0003014,0.0003014,0.0003014
14,88.59,63.49,4.995,-0.30886,0.013,0.0196,0.0064,864.0,0.0004841,0.0004841,0.0004841
15,66.7,68.76,5.118,-0.30738,0.0134,0.017,0.0098,864.0,0.00143,0.00143,0.00143
16,132.98,122.36,4.918,-0.3091,0.0032,0.0052,0.0012,864.0,0.0001812,0.0001812,0.0001812
17,42.37,12.25,5.003,-0.30763,0.0495,0.051,0.048,864.0,0.0007291,0.0007291,0.0007291
18,111.44,154.77,4.865,-0.31125,0.045,0.0536,0.0364,864.0,0.0001921,0.0001921,0.0001921
19,70.27,127.71,5.104,-0.30768,0.0152,0.0058,0.0246,864.0,0.0002463,0.0002463,0.0002463
20,101.37,174.59,4.902,-0.30965,0.0101,0.0156,0.0046,864.0,0.00023,0.00023,0.00023
21,114.13,161.71,5.04,-0.30739,0.0068,0.011,0.0026,864.0,0.0003884,0.0003884,0.0003884
22,115.3,54.92,4.979,-0.30076,0.0245,0.0154,0.0336,864.0,0.0003519,0.0003519,0.0003519
23,99.41,123.32,5.033,-0.30851,0.0163,0.0256,0.007,864.0,0.0002721,0.0002721,0.0002721
24,147.72,178.69,4.766,-0.30398,0.0429,0.048,0.0378,864.0,0.00295,0.00295,0.00295
25,108.47,174.09,4.87,-0.31089,0.012,0.0156,0.0084,864.0,0.0002489,0.0002489,0.0002489
26,94.44,107.22,4.999,-0.30886,0.0042,0.007,0.0014,864.0,0.0004315,0.0004315,0.0004315
27,94.35,23.78,5.077,-0.30693,0.1072,0.1072,0.1072,864.0,0.0002728,0.0002728,0.0002728
28,98.02,69.87,5.198,-0.30578,0.007,0.0068,0.0072,864.0,0.0002152,0.0002152,0.0002152
29,121.8,16.72,4.994,-0.30757,0.0835,0.0854,0.0816,864.0,0.0003519,0.0003519,0.0003519
30,163.94,177.87,5.083,-0.30708,0.0025,0.0028,0.0022,864.0,0.0002479,0.0002479,0.0002479
31,100.82,60.9,5.129,-0.30656,0.0055,0.0088,0.0022,864.0,0.0003544,0.0003544,0.0003544
32,74.6,21.06,5.204,-0.30413,0.005,0.0074,0.0026,864.0,0.0003497,0.0003497,0.0003497
