Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,365.31,252.81,4.636,-0.31328,0.0058,0.0086,0.003,1244.444,0.0001998,0.0001998,0.0001998
1,405.02,177.07,4.736,-0.31292,0.0374,0.0546,0.0202,1244.444,0.0001961,0.0001961,0.0001961
2,223.13,165.57,4.819,-0.3113,0.0271,0.023,0.0312,1244.444,0.0001582,0.0001582,0.0001582
3,264.0,241.5,4.747,-0.31115,0.005,0.006,0.004,1244.444,0.0001737,0.0001737,0.0001737
4,368.76,168.28,4.788,-0.31095,0.0141,0.0158,0.0124,1244.444,0.0001652,0.0001652,0.0001652
5,258.2,143.48,4.851,-0.31057,0.037,0.0218,0.0522,1244.444,0.0001897,0.0001897,0.0001897
6,316.21,79.98,4.9,-0.30906,0.0962,0.1052,0.0872,1244.444,0.0002155,0.0002155,0.0002155
7,207.67,47.11,4.756,-0.311,0.006,0.0066,0.0054,1244.444,0.0002195,0.0002195,0.0002195
8,246.51,42.8,4.813,-0.31335,0.0123,0.0136,0.011,1244.444,0.0005817,0.0005817,0.0005817
9,371.59,68.97,4.638,-0.3224,0.036,0.0422,0.0298,1244.444,0.0001979,0.0001979,0.0001979
10,162.61,174.42,4.804,-0.31123,0.0072,0.0086,0.0058,1244.444,0.0002234,0.0002234,0.0002234
11,320.1,86.52,4.743,-0.31179,0.0081,0.008,0.0082,1244.444,0.0001833,0.0001833,0.0001833
12,332.55,344.46,4.626,-0.31372,0.0127,0.0128,0.0126,1244.444,0.0001197,0.0001197,0.0001197
13,549.31,290.14,4.557,-0.31378,0.0405,0.0478,0.0332,1244.444,0.0002586,0.0002586,0.0002586
14,330.98,57.4,4.509,-0.31577,0.0149,0.0256,0.0042,1244.444,0.000265,0.000265,0.000265
15,443.49,168.32,4.599,-0.32045,0.0256,0.0326,0.0186,1244.444,0.000851,0.000851,0.000851
16,243.56,21.66,4.937,-0.30883,0.091,0.065,0.117,1244.444,0.00105,0.00105,0.00105
17,396.55,124.5,4.753,-0.31153,0.0083,0.0102,0.0064,1244.444,0.0006128,0.0006128,0.0006128
18,171.34,60.83,4.659,-0.28926,0.0263,0.0288,0.0238,1244.444,0.0002208,0.0002208,0.0002208
19,345.5,60.03,4.821,-0.31198,0.0421,0.0412,0.043,1244.444,0.000149,0.000149,0.000149
20,420.55,62.83,4.738,-0.31197,0.0276,0.0234,0.0318,1244.444,0.0001963,0.0001963,0.0001963
21,381.45,23.12,4.774,-0.31143,0.0354,0.0382,0.0326,1244.444,0.000365,0.000365,0.000365
22,249.26,219.66,4.668,-0.31332,0.0129,0.0186,0.0072,1244.444,0.0006523,0.0006523,0.0006523
