Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
96,89.41,173.2,4.853,-0.3072,0.0214,0.0152,0.0276,1244.444,0.0001498,0.0001498
97,242.37,179.39,4.95,-0.30871,0.0109,0.006,0.0158,1244.444,0.0002375,0.0002375
98,383.18,313.36,4.775,-0.31129,0.0147,0.018,0.0114,1244.444,0.0002711,0.0002711
99,324.51,245.19,4.832,-0.31021,0.0145,0.0168,0.0122,1244.444,0.0003352,0.0003352
100,313.5,311.54,4.649,-0.31432,0.0109,0.0126,0.0092,1244.444,0.0001254,0.0001254
101,266.68,56.4,4.844,-0.31062,0.0043,0.0054,0.0032,1244.444,0.0002361,0.0002361
102,303.03,197.22,4.787,-0.31093,0.0131,0.0148,0.0114,1244.444,0.000262,0.000262
103,275.32,166.32,4.695,-0.31226,0.0055,0.0066,0.0044,1244.444,0.0002369,0.0002369
104,33.61,207.74,4.784,-0.31223,0.004,0.006,0.002,1244.444,0.0003525,0.0003525
105,88.96,47.87,4.883,-0.30992,0.0111,0.0136,0.0086,1244.444,0.0001721,0.0001721
106,403.25,229.12,4.775,-0.31271,0.0099,0.0116,0.0082,1244.444,0.0001862,0.0001862
107,257.62,172.31,4.986,-0.30744,0.0069,0.0084,0.0054,1244.444,0.0001975,0.0001975
108,219.42,235.59,4.858,-0.30937,0.0064,0.008,0.0048,1244.444,0.0001498,0.0001498
109,322.59,342.67,4.794,-0.30982,0.0263,0.0242,0.0284,1244.444,0.0003092,0.0003092
110,113.17,98.28,4.835,-0.30954,0.0147,0.0226,0.0068,1244.444,0.0003306,0.0003306
111,97.29,151.89,4.9,-0.30966,0.0056,0.008,0.0032,1244.444,0.0003842,0.0003842
112,319.73,38.3,4.931,-0.30828,0.0097,0.009,0.0104,1244.444,0.0001353,0.0001353
113,284.26,67.71,4.964,-0.30844,0.0043,0.006,0.0026,1244.444,0.000176,0.000176
114,238.72,333.82,4.885,-0.30934,0.0121,0.012,0.0122,1244.444,0.00117,0.00117
115,352.43,269.33,4.743,-0.31098,0.0047,0.006,0.0034,1244.444,0.000123,0.000123
116,158.13,223.29,4.931,-0.30852,0.0074,0.0084,0.0064,1244.444,0.0001768,0.0001768
117,225.06,108.56,4.793,-0.31084,0.0069,0.0094,0.0044,1244.444,0.0007257,0.0007257
118,273.9,288.33,4.737,-0.31214,0.0034,0.004,0.0028,1244.444,0.0001206,0.0001206
119,256.51,179.56,4.793,-0.3115,0.0065,0.0082,0.0048,1244.444,0.00092,0.00092
120,220.45,286.05,4.888,-0.30955,0.0184,0.0284,0.0084,1244.444,0.0002156,0.0002156
121,246.56,23.81,4.848,-0.31085,0.0086,0.0072,0.01,1244.444,0.0002867,0.0002867
122,323.94,266.45,4.732,-0.3116,0.0034,0.0044,0.0024,1244.444,0.0001962,0.0001962
123,243.35,167.34,4.821,-0.31031,0.0042,0.004,0.0044,1244.444,0.0001858,0.0001858
124,115.83,174.7,4.881,-0.30921,0.0077,0.0062,0.0092,1244.444,0.0001829,0.0001829
125,223.69,60.21,4.977,-0.30776,0.0257,0.0412,0.0102,1244.444,0.0004667,0.0004667
126,240.07,97.38,4.831,-0.3093,0.0068,0.0068,0.0068,1244.444,0.0001108,0.0001108
