Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,88.52,12.47,5.088,-0.30783,0.0048,0.0054,0.0042,864.0,0.0002858,0.0002858,0.0002858
1,118.4,101.53,4.981,-0.30902,0.0062,0.0044,0.008,864.0,0.0001784,0.0001784,0.0001784
2,78.5,14.75,4.892,-0.3104,0.0251,0.0308,0.0194,864.0,0.0002617,0.0002617,0.0002617
3,128.12,35.37,4.944,-0.27711,0.0873,0.0948,0.0798,864.0,0.0008236,0.0008236,0.0008236
4,60.22,59.49,4.987,-0.32195,0.3389,0.2814,0.3964,864.0,0.00152,0.00152,0.00152
5,92.13,147.85,4.882,-0.31039,0.082,0.0882,0.0758,864.0,0.0007037,0.0007037,0.0007037
6,114.06,155.75,4.969,-0.30806,0.1053,0.1102,0.1004,864.0,0.0002864,0.0002864,0.0002864
7,71.82,62.01,5.015,-0.30824,0.0052,0.0062,0.0042,864.0,0.0003406,0.0003406,0.0003406
8,117.82,127.08,5.111,-0.3073,0.0103,0.0144,0.0062,864.0,0.000331,0.000331,0.000331
9,92.93,11.78,4.972,-0.30941,0.3261,0.3108,0.3414,864.0,0.00637,0.00637,0.00637
10,208.47,17.43,4.876,-0.31036,0.1442,0.1572,0.1312,864.0,0.00477,0.00477,0.00477
11,133.87,32.24,5.132,-0.30673,0.2903,0.3224,0.2582,864.0,0.00409,0.00409,0.00409
12,97.72,27.05,4.831,-0.31113,0.48,0.6952,0.2648,864.0,0.00257,0.00257,0.00257
13,77.23,9.69,4.95,-0.30876,0.0186,0.0172,0.02,864.0,0.000308,0.000308,0.000308
14,74.74,79.56,4.995,-0.30886,0.02,0.0344,0.0056,864.0,0.0004159,0.0004159,0.0004159
15,103.21,46.41,5.118,-0.30738,0.0094,0.0096,0.0092,864.0,0.00193,0.00193,0.00193
16,110.45,179.93,4.918,-0.3091,0.0113,0.0094,0.0132,864.0,0.0001653,0.0001653,0.0001653
17,66.29,11.19,5.003,-0.30763,0.0571,0.0528,0.0614,864.0,0.000349,0.000349,0.000349
18,100.72,112.38,4.865,-0.31125,0.0539,0.0556,0.0522,864.0,0.0001523,0.0001523,0.0001523
19,88.76,138.88,5.104,-0.30768,0.0169,0.0224,0.0114,864.0,0.00097,0.00097,0.00097
20,110.42,116.44,4.902,-0.30965,0.0095,0.0158,0.0032,864.0,0.0003877,0.0003877,0.0003877
21,79.14,62.88,5.04,-0.30739,0.0056,0.0094,0.0018,864.0,0.0002353,0.0002353,0.0002353
22,81.47,38.3,4.979,-0.30076,0.0342,0.0398,0.0286,864.0,0.0002887,0.0002887,0.0002887
23,107.47,119.94,5.033,-0.30851,0.0122,0.0194,0.005,864.0,0.0003925,0.0003925,0.0003925
24,89.74,119.51,4.766,-0.30398,0.0401,0.0468,0.0334,864.0,0.00203,0.00203,0.00203
25,113.87,102.52,4.87,-0.31089,0.0104,0.0144,0.0064,864.0,0.0002879,0.0002879,0.0002879
26,141.32,201.79,4.999,-0.30886,0.003,0.004,0.002,864.0,0.0001564,0.0001564,0.0001564
27,52.85,22.67,5.077,-0.30693,0.1022,0.1066,0.0978,864.0,0.0003287,0.0003287,0.0003287
28,110.76,74.6,5.198,-0.30578,0.0064,0.0084,0.0044,864.0,0.0002268,0.0002268,0.0002268
29,86.8,13.77,4.994,-0.30757,0.0836,0.0808,0.0864,864.0,0.0003484,0.0003484,0.0003484
30,163.36,133.66,5.083,-0.30708,0.0039,0.0048,0.003,864.0,0.0002465,0.0002465,0.0002465
31,83.77,61.91,5.129,-0.30656,0.0025,0.004,0.001,864.0,0.0003183,0.0003183,0.0003183
32,94.45,38.19,5.204,-0.30413,0.0067,0.0066,0.0068,864.0,0.0002246,0.0002246,0.0002246
33,80.38,49.59,4.953,-0.30938,0.1203,0.2036,0.037,864.0,0.00142,0.00142,0.00142
34,61.81,127.37,4.937,-0.30923,0.0087,0.0124,0.005,864.0,0.000222,0.000222,0.000222
35,52.61,26.35,5.074,-0.30721,0.0068,0.0084,0.0052,864.0,0.0003726,0.0003726,0.0003726
