Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,478.57,231.23,4.636,-0.31328,0.0265,0.0144,0.0386,1244.444,9.114e-05,9.114e-05
1,337.17,284.59,4.736,-0.31292,0.0273,0.0412,0.0134,1244.444,0.000129,0.000129
2,193.71,129.55,4.819,-0.3113,0.0257,0.0254,0.026,1244.444,0.0002625,0.0002625
3,299.58,214.41,4.747,-0.31115,0.0138,0.014,0.0136,1244.444,0.000319,0.000319
4,524.8,211.68,4.788,-0.31095,0.0152,0.0128,0.0176,1244.444,0.0001939,0.0001939
5,242.95,99.97,4.851,-0.31057,0.0377,0.0186,0.0568,1244.444,0.0004418,0.0004418
6,344.63,96.97,4.9,-0.30906,0.1029,0.1062,0.0996,1244.444,0.0001341,0.0001341
7,279.43,56.87,4.756,-0.311,0.0073,0.0096,0.005,1244.444,0.00142,0.00142
8,390.78,48.39,4.813,-0.31335,0.0175,0.0136,0.0214,1244.444,0.0004949,0.0004949
9,539.36,76.41,4.638,-0.3224,0.0399,0.0334,0.0464,1244.444,0.0002115,0.0002115
10,235.15,134.0,4.805,-0.31123,0.0835,0.1488,0.0182,1244.444,0.02503,0.02503
11,408.68,101.02,4.743,-0.31179,0.0152,0.0204,0.01,1244.444,0.0001267,0.0001267
12,382.86,201.92,4.626,-0.31372,0.1361,0.2208,0.0514,1244.444,0.01365,0.01365
13,331.97,320.34,4.557,-0.31378,0.04,0.043,0.037,1244.444,0.0002088,0.0002088
14,358.12,67.3,4.509,-0.31577,0.0148,0.023,0.0066,1244.444,0.0003494,0.0003494
15,527.63,239.41,4.599,-0.32045,0.0456,0.0376,0.0536,1244.444,0.0006772,0.0006772
16,106.07,26.92,4.937,-0.30883,0.0694,0.0662,0.0726,1244.444,0.00109,0.00109
17,66.33,77.35,4.753,-0.31153,0.0087,0.013,0.0044,1244.444,0.0007224,0.0007224
18,388.75,59.01,4.659,-0.28926,0.0449,0.0462,0.0436,1244.444,0.0001934,0.0001934
19,209.34,62.42,4.821,-0.31198,0.0426,0.0478,0.0374,1244.444,0.0003085,0.0003085
20,351.69,48.89,4.738,-0.31197,0.0297,0.0308,0.0286,1244.444,0.0001723,0.0001723
21,437.49,22.67,4.774,-0.31143,0.0375,0.045,0.03,1244.444,0.0002012,0.0002012
22,336.81,169.87,4.668,-0.31332,0.0084,0.0104,0.0064,1244.444,0.0001391,0.0001391
23,432.24,43.73,4.758,-0.31174,0.0178,0.0218,0.0138,1244.444,0.0007722,0.0007722
24,136.26,17.38,4.611,-0.31355,0.0319,0.0238,0.04,1244.444,0.00178,0.00178
25,209.26,119.11,4.732,-0.31226,0.0297,0.0332,0.0262,1244.444,0.0005314,0.0005314
26,273.39,96.23,4.777,-0.31228,0.0044,0.0044,0.0044,1244.444,0.0001661,0.0001661
27,357.6,113.5,4.68,-0.31283,0.0085,0.01,0.007,1244.444,0.0002577,0.0002577
28,141.21,68.08,4.743,-0.27186,0.0495,0.035,0.064,1244.444,0.0005214,0.0005214
29,407.91,178.02,4.792,-0.32426,0.0113,0.0136,0.009,1244.444,0.0002173,0.0002173
30,422.34,379.18,4.693,-0.31268,0.0359,0.0618,0.01,1244.444,0.0001149,0.0001149
31,290.37,33.17,5.058,-0.30701,0.0144,0.0114,0.0174,1244.444,0.0004481,0.0004481
32,314.45,326.33,4.93,-0.30828,0.0319,0.0312,0.0326,1244.444,0.0001331,0.0001331
33,391.65,351.8,4.677,-0.31373,0.0057,0.0076,0.0038,1244.444,0.0001487,0.0001487
34,308.92,89.51,4.71,-0.2877,0.0514,0.0336,0.0692,1244.444,0.0003842,0.0003842
35,509.1,65.34,4.915,-0.3092,0.0099,0.01,0.0098,1244.444,0.000178,0.000178
36,306.41,52.26,4.854,-0.31028,0.0084,0.0092,0.0076,1244.444,0.0001094,0.0001094
37,424.19,297.47,4.594,-0.31539,0.0235,0.0214,0.0256,1244.444,0.0003132,0.0003132
38,558.54,186.49,4.486,-0.31594,0.0299,0.0338,0.026,1244.444,0.0002409,0.0002409
39,538.99,197.62,4.574,-0.31403,0.0075,0.007,0.008,1244.444,0.0001684,0.0001684
40,431.8,203.32,4.705,-0.31264,0.0086,0.0078,0.0094,1244.444,0.0002568,0.0002568
41,270.41,276.33,4.815,-0.31264,0.0063,0.0086,0.004,1244.444,0.0001436,0.0001436
42,313.34,260.12,4.655,-0.31429,0.0313,0.0294,0.0332,1244.444,0.0001896,0.0001896
43,444.68,211.93,4.755,-0.31328,0.0218,0.0324,0.0112,1244.444,0.0001836,0.0001836
44,220.49,221.21,4.868,-0.3105,0.0036,0.005,0.0022,1244.444,0.0001448,0.0001448
45,400.94,119.29,4.763,-0.31105,0.0069,0.0066,0.0072,1244.444,0.0003706,0.0003706
46,381.96,442.85,4.674,-0.31335,0.0083,0.011,0.0056,1244.444,0.0001119,0.0001119
