Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,90.08,11.81,5.088,-0.30783,0.032,0.044,0.02,864.0,0.0003609,0.0003609,0.0003609
1,123.51,103.19,4.981,-0.30902,0.0595,0.017,0.102,864.0,0.0001847,0.0001847,0.0001847
2,72.73,10.3,4.892,-0.3104,0.019,0.0228,0.0152,864.0,0.0004314,0.0004314,0.0004314
3,117.19,30.99,4.944,-0.27711,0.0956,0.0954,0.0958,864.0,0.0004817,0.0004817,0.0004817
4,105.94,92.35,4.987,-0.32195,0.3635,0.3508,0.3762,864.0,0.00096,0.00096,0.00096
5,129.05,174.52,4.882,-0.31039,0.0787,0.0814,0.076,864.0,0.0005844,0.0005844,0.0005844
6,120.77,189.44,4.969,-0.30806,0.0623,0.0524,0.0722,864.0,0.0003055,0.0003055,0.0003055
7,99.1,46.99,5.015,-0.30824,0.0102,0.0088,0.0116,864.0,0.0004328,0.0004328,0.0004328
8,115.66,126.44,5.111,-0.3073,0.0215,0.0242,0.0188,864.0,0.0002781,0.0002781,0.0002781
9,58.46,93.65,4.972,-0.30941,0.1507,0.1506,0.1508,864.0,0.0083,0.0083,0.0083
10,150.55,121.87,4.876,-0.31036,0.0395,0.0494,0.0296,864.0,0.00461,0.00461,0.00461
11,126.59,59.47,5.132,-0.30673,0.0282,0.0234,0.033,864.0,0.00368,0.00368,0.00368
12,160.0,128.69,4.831,-0.31113,0.4009,0.406,0.3958,864.0,0.00225,0.00225,0.00225
13,115.9,13.41,4.95,-0.30876,0.0024,0.0028,0.002,864.0,0.0002317,0.0002317,0.0002317
14,74.74,50.17,4.995,-0.30886,0.0164,0.0152,0.0176,864.0,0.0004673,0.0004673,0.0004673
15,85.96,71.64,5.118,-0.30738,0.0071,0.0094,0.0048,864.0,0.00215,0.00215,0.00215
16,119.83,196.16,4.918,-0.3091,0.0044,0.0066,0.0022,864.0,0.0001464,0.0001464,0.0001464
17,130.8,157.85,5.003,-0.30763,0.0061,0.0118,0.0004,864.0,0.0002817,0.0002817,0.0002817
18,107.27,127.21,4.865,-0.31125,0.0517,0.0564,0.047,864.0,0.0001678,0.0001678,0.0001678
19,97.47,111.64,5.104,-0.30768,0.0124,0.006,0.0188,864.0,0.0002443,0.0002443,0.0002443
20,133.05,142.83,4.902,-0.30965,0.0176,0.0156,0.0196,864.0,0.0002314,0.0002314,0.0002314
21,106.5,145.01,5.04,-0.30739,0.0027,0.0048,0.0006,864.0,0.0003762,0.0003762,0.0003762
22,88.83,49.67,4.979,-0.30076,0.0212,0.0194,0.023,864.0,0.0003002,0.0003002,0.0003002
23,104.36,140.3,5.033,-0.30851,0.0401,0.0496,0.0306,864.0,0.0003272,0.0003272,0.0003272
24,96.95,134.26,4.766,-0.30398,0.0466,0.06,0.0332,864.0,0.00165,0.00165,0.00165
25,112.85,220.85,4.87,-0.31089,0.0126,0.0152,0.01,864.0,0.000264,0.000264,0.000264
26,113.03,171.35,4.999,-0.30886,0.0027,0.0042,0.0012,864.0,0.0001753,0.0001753,0.0001753
27,124.08,55.0,5.077,-0.30693,0.0414,0.0418,0.041,864.0,0.0003689,0.0003689,0.0003689
28,134.57,69.56,5.198,-0.30578,0.0038,0.0032,0.0044,864.0,0.0002375,0.0002375,0.0002375
29,72.43,19.25,4.994,-0.30757,0.0051,0.0078,0.0024,864.0,0.0002462,0.0002462,0.0002462
30,135.54,37.81,5.083,-0.30708,0.0022,0.0044,0.0,864.0,0.0002346,0.0002346,0.0002346
31,15.12,19.16,5.129,-0.30656,0.0071,0.0098,0.0044,864.0,0.0006227,0.0006227,0.0006227
32,112.96,33.87,5.204,-0.30413,0.002,0.0032,0.0008,864.0,0.000176,0.000176,0.000176
33,29.14,33.3,4.952,-0.30938,0.1337,0.2306,0.0368,864.0,0.11874,0.11874,0.11874
34,104.53,140.59,4.937,-0.30923,0.0181,0.0168,0.0194,864.0,0.0002508,0.0002508,0.0002508
35,13.63,14.01,5.074,-0.30721,0.009,0.0176,0.0004,864.0,0.00109,0.00109,0.00109
36,126.52,118.82,5.102,-0.30593,0.0089,0.0084,0.0094,864.0,0.0002772,0.0002772,0.0002772
37,76.55,67.62,5.168,-0.30222,0.0323,0.0406,0.024,864.0,0.00178,0.00178,0.00178
38,59.17,94.01,5.106,-0.30753,0.0058,0.0082,0.0034,864.0,0.0002943,0.0002943,0.0002943
39,107.1,114.44,5.018,-0.30838,0.0137,0.0162,0.0112,864.0,0.000571,0.000571,0.000571
40,104.56,16.06,5.163,-0.30613,0.0071,0.0072,0.007,864.0,0.0002715,0.0002715,0.0002715
41,96.24,38.11,5.093,-0.30775,0.0162,0.0156,0.0168,864.0,0.0003582,0.0003582,0.0003582
42,146.5,232.54,4.925,-0.30938,0.0151,0.0194,0.0108,864.0,0.0002134,0.0002134,0.0002134
43,107.32,103.25,5.033,-0.30812,0.0276,0.0202,0.035,864.0,0.0004011,0.0004011,0.0004011
44,84.32,153.25,5.116,-0.30753,0.0109,0.0176,0.0042,864.0,0.0004906,0.0004906,0.0004906
45,103.23,163.46,4.88,-0.30948,0.0556,0.07,0.0412,864.0,0.0002285,0.0002285,0.0002285
46,84.93,114.94,5.145,-0.30658,0.0032,0.0064,0.0,864.0,0.000253,0.000253,0.000253
47,110.83,22.01,5.001,-0.30885,0.0071,0.0094,0.0048,864.0,0.0002129,0.0002129,0.0002129
48,89.82,154.85,4.934,-0.309,0.0494,0.0522,0.0466,864.0,0.0001466,0.0001466,0.0001466
49,112.39,114.09,5.116,-0.30701,0.003,0.0036,0.0024,864.0,0.0001922,0.0001922,0.0001922
50,113.02,182.27,5.017,-0.30795,0.0269,0.007,0.0468,864.0,0.0001864,0.0001864,0.0001864
51,131.07,79.4,5.209,-0.30446,0.003,0.0054,0.0006,864.0,0.0004562,0.0004562,0.0004562
52,83.72,67.95,5.016,-0.30785,0.0371,0.0292,0.045,864.0,0.0002657,0.0002657,0.0002657
53,74.92,17.82,5.048,-0.30705,0.0208,0.0204,0.0212,864.0,0.00124,0.00124,0.00124
54,118.21,117.49,5.024,-0.30335,0.0206,0.029,0.0122,864.0,0.0002146,0.0002146,0.0002146
55,91.55,98.56,5.198,-0.30556,0.003,0.0048,0.0012,864.0,0.0003638,0.0003638,0.0003638
56,63.34,78.05,5.188,-0.30564,0.005,0.0076,0.0024,864.0,0.000272,0.000272,0.000272
57,94.85,56.38,5.093,-0.30621,0.0081,0.0136,0.0026,864.0,0.0002394,0.0002394,0.0002394
