Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,126.14,12.74,5.088,-0.30783,0.0048,0.0038,0.0058,864.0,0.000223,0.000223,0.000223
1,108.81,84.46,4.981,-0.30902,0.0414,0.0356,0.0472,864.0,0.0001659,0.0001659,0.0001659
2,100.97,38.56,4.892,-0.3104,0.022,0.033,0.011,864.0,0.0003676,0.0003676,0.0003676
3,95.62,22.69,4.944,-0.27711,0.0964,0.1034,0.0894,864.0,0.0008007,0.0008007,0.0008007
4,95.59,103.73,4.987,-0.32195,0.3528,0.2858,0.4198,864.0,0.00192,0.00192,0.00192
5,129.4,165.64,4.882,-0.31039,0.0873,0.0958,0.0788,864.0,0.0005952,0.0005952,0.0005952
6,89.89,141.1,4.969,-0.30806,0.0468,0.0564,0.0372,864.0,0.0003177,0.0003177,0.0003177
7,98.26,61.94,5.015,-0.30824,0.0122,0.011,0.0134,864.0,0.0003723,0.0003723,0.0003723
8,107.91,109.72,5.111,-0.3073,0.017,0.0208,0.0132,864.0,0.0003562,0.0003562,0.0003562
9,97.41,86.35,4.972,-0.30941,0.1482,0.1686,0.1278,864.0,0.01072,0.01072,0.01072
10,117.79,115.23,4.876,-0.31036,0.0395,0.053,0.026,864.0,0.00718,0.00718,0.00718
11,125.02,63.42,5.132,-0.30673,0.0332,0.0356,0.0308,864.0,0.009,0.009,0.009
12,195.8,186.97,4.831,-0.31113,0.3983,0.39,0.4066,864.0,0.0008539,0.0008539,0.0008539
13,87.39,12.81,4.95,-0.30876,0.0305,0.0062,0.0548,864.0,0.0002215,0.0002215,0.0002215
14,108.96,138.06,4.995,-0.30886,0.0068,0.0084,0.0052,864.0,0.0001954,0.0001954,0.0001954
15,96.42,60.87,5.118,-0.30738,0.0068,0.0102,0.0034,864.0,0.00174,0.00174,0.00174
16,113.36,218.17,4.918,-0.3091,0.008,0.0068,0.0092,864.0,0.0001569,0.0001569,0.0001569
17,170.24,116.49,5.003,-0.30763,0.007,0.0138,0.0002,864.0,0.0002824,0.0002824,0.0002824
18,89.59,215.31,4.865,-0.31125,0.0657,0.0676,0.0638,864.0,0.0001697,0.0001697,0.0001697
19,79.65,88.36,5.104,-0.30768,0.0205,0.0084,0.0326,864.0,0.0002962,0.0002962,0.0002962
20,125.17,167.63,4.902,-0.30965,0.011,0.0118,0.0102,864.0,0.0005602,0.0005602,0.0005602
21,65.47,89.58,5.04,-0.30739,0.004,0.0072,0.0008,864.0,0.0002546,0.0002546,0.0002546
22,116.08,47.6,4.979,-0.30076,0.0416,0.0498,0.0334,864.0,0.0002491,0.0002491,0.0002491
23,98.43,118.21,5.033,-0.30851,0.0239,0.0272,0.0206,864.0,0.00104,0.00104,0.00104
24,110.45,193.61,4.766,-0.30398,0.0456,0.0488,0.0424,864.0,0.0029,0.0029,0.0029
25,90.96,178.85,4.87,-0.31089,0.0062,0.0074,0.005,864.0,0.00021,0.00021,0.00021
26,99.5,156.61,4.999,-0.30886,0.0051,0.0072,0.003,864.0,0.0002763,0.0002763,0.0002763
27,106.96,65.85,5.077,-0.30693,0.0496,0.0538,0.0454,864.0,0.0004345,0.0004345,0.0004345
28,84.09,75.94,5.198,-0.30578,0.0033,0.005,0.0016,864.0,0.0002276,0.0002276,0.0002276
29,112.6,19.04,4.994,-0.30757,0.0056,0.0062,0.005,864.0,0.0002123,0.0002123,0.0002123
30,109.37,174.09,5.083,-0.30708,0.0025,0.0036,0.0014,864.0,0.0003377,0.0003377,0.0003377
31,106.6,58.2,5.129,-0.30656,0.0031,0.0052,0.001,864.0,0.0004618,0.0004618,0.0004618
32,115.02,41.36,5.204,-0.30413,0.0022,0.0036,0.0008,864.0,0.0002258,0.0002258,0.0002258
33,42.88,37.4,4.952,-0.30938,0.0526,0.088,0.0172,864.0,0.05779,0.05779,0.05779
34,61.8,78.31,4.937,-0.30923,0.0098,0.0116,0.008,864.0,0.0002527,0.0002527,0.0002527
35,101.41,30.85,5.074,-0.30721,0.0045,0.008,0.001,864.0,0.0002129,0.0002129,0.0002129
36,80.82,141.19,5.102,-0.30593,0.0045,0.0074,0.0016,864.0,0.0002866,0.0002866,0.0002866
37,79.12,72.88,5.168,-0.30222,0.0265,0.0304,0.0226,864.0,0.00135,0.00135,0.00135
38,83.17,124.61,5.106,-0.30753,0.0086,0.0116,0.0056,864.0,0.0002839,0.0002839,0.0002839
39,60.32,91.41,5.018,-0.30838,0.0789,0.0468,0.111,864.0,0.0003547,0.0003547,0.0003547
40,101.58,14.49,5.163,-0.30613,0.0216,0.0182,0.025,864.0,0.0002555,0.0002555,0.0002555
41,96.08,41.81,5.093,-0.30775,0.0188,0.0214,0.0162,864.0,0.0003614,0.0003614,0.0003614
42,92.55,183.51,4.925,-0.30938,0.0125,0.02,0.005,864.0,0.0002762,0.0002762,0.0002762
43,92.0,150.58,5.033,-0.30812,0.023,0.0184,0.0276,864.0,0.000303,0.000303,0.000303
44,41.92,97.02,5.116,-0.30753,0.0277,0.0506,0.0048,864.0,0.002,0.002,0.002
45,109.29,172.68,4.88,-0.30948,0.049,0.0632,0.0348,864.0,0.0001973,0.0001973,0.0001973
46,56.32,89.75,5.145,-0.30658,0.0054,0.0096,0.0012,864.0,0.00327,0.00327,0.00327
47,98.06,22.8,5.001,-0.30885,0.0059,0.0074,0.0044,864.0,0.0001903,0.0001903,0.0001903
48,146.24,161.5,4.934,-0.309,0.0213,0.0182,0.0244,864.0,0.000177,0.000177,0.000177
49,106.44,147.24,5.116,-0.30701,0.0024,0.0028,0.002,864.0,0.000206,0.000206,0.000206
50,165.32,188.63,5.017,-0.30795,0.0622,0.0416,0.0828,864.0,0.0001955,0.0001955,0.0001955
51,156.56,60.27,5.209,-0.30446,0.0031,0.006,0.0002,864.0,0.0001998,0.0001998,0.0001998
52,86.74,68.79,5.016,-0.30785,0.0252,0.0074,0.043,864.0,0.0002334,0.0002334,0.0002334
53,57.97,15.52,5.048,-0.30705,0.0201,0.0178,0.0224,864.0,0.00124,0.00124,0.00124
54,91.87,85.95,5.024,-0.30335,0.0198,0.0306,0.009,864.0,0.0003552,0.0003552,0.0003552
55,80.48,151.22,5.197,-0.30556,0.0035,0.0054,0.0016,864.0,0.0003111,0.0003111,0.0003111
56,59.19,89.49,5.188,-0.30564,0.0086,0.008,0.0092,864.0,0.0003698,0.0003698,0.0003698
57,90.54,49.88,5.093,-0.30621,0.0082,0.0106,0.0058,864.0,0.0002849,0.0002849,0.0002849
58,111.4,80.08,4.965,-0.30941,0.0078,0.0114,0.0042,864.0,0.0002512,0.0002512,0.0002512
59,59.07,86.21,5.019,-0.30794,0.0039,0.0066,0.0012,864.0,0.000266,0.000266,0.000266
60,92.61,50.62,5.141,-0.30605,0.0196,0.0316,0.0076,864.0,0.00177,0.00177,0.00177
61,169.07,175.22,4.875,-0.3101,0.0191,0.0172,0.021,864.0,0.0001454,0.0001454,0.0001454
62,107.34,101.03,4.961,-0.30931,0.0073,0.0092,0.0054,864.0,0.0003379,0.0003379,0.0003379
63,132.18,149.27,5.045,-0.30798,0.0326,0.0244,0.0408,864.0,0.000223,0.000223,0.000223
64,102.92,116.04,5.258,-0.30505,0.0243,0.0242,0.0244,864.0,0.0003536,0.0003536,0.0003536
65,145.81,185.55,5.101,-0.30611,0.0037,0.0064,0.001,864.0,0.000229,0.000229,0.000229
66,94.03,72.34,5.234,-0.29458,0.02,0.0264,0.0136,864.0,0.00172,0.00172,0.00172
67,87.1,167.0,4.912,-0.30058,0.0955,0.1066,0.0844,864.0,0.0003314,0.0003314,0.0003314
68,110.36,65.1,5.136,-0.30448,0.0106,0.0088,0.0124,864.0,0.0002234,0.0002234,0.0002234
69,127.06,160.52,4.944,-0.30828,0.0048,0.0082,0.0014,864.0,0.0001629,0.0001629,0.0001629
70,116.68,81.22,5.155,-0.30506,0.006,0.009,0.003,864.0,0.0002443,0.0002443,0.0002443
71,124.31,37.05,5.119,-0.31568,0.088,0.0944,0.0816,864.0,0.00092,0.00092,0.00092
72,91.61,133.56,5.145,-0.3059,0.0083,0.0084,0.0082,864.0,0.0002271,0.0002271,0.0002271
73,99.18,148.16,5.019,-0.30805,0.015,0.008,0.022,864.0,0.0001978,0.0001978,0.0001978
74,96.37,27.49,4.874,-0.32062,0.0813,0.0898,0.0728,864.0,0.000247,0.000247,0.000247
75,64.04,125.48,5.008,-0.30781,0.0066,0.0108,0.0024,864.0,0.0002156,0.0002156,0.0002156
76,98.31,122.54,4.904,-0.31017,0.0044,0.0084,0.0004,864.0,0.000583,0.000583,0.000583
77,82.55,96.84,5.071,-0.30801,0.0838,0.0718,0.0958,864.0,0.0004119,0.0004119,0.0004119
78,43.29,19.34,5.277,-0.3036,0.0038,0.0066,0.001,864.0,0.0003327,0.0003327,0.0003327
79,110.14,23.25,5.017,-0.30802,0.0198,0.0168,0.0228,864.0,0.0004856,0.0004856,0.0004856
80,93.6,123.48,5.081,-0.30759,0.1138,0.1082,0.1194,864.0,0.0002095,0.0002095,0.0002095
81,69.72,118.42,4.945,-0.3096,0.0379,0.0084,0.0674,864.0,0.000185,0.000185,0.000185
82,96.04,34.7,5.08,-0.30778,0.0533,0.0604,0.0462,864.0,0.00123,0.00123,0.00123
83,83.29,186.19,5.052,-0.30815,0.0224,0.0278,0.017,864.0,0.000743,0.000743,0.000743
84,93.36,13.81,4.909,-0.30897,0.0029,0.0058,0.0,864.0,0.0003272,0.0003272,0.0003272
85,97.44,74.1,5.092,-0.30693,0.006,0.01,0.002,864.0,0.0002455,0.0002455,0.0002455
86,116.63,92.66,4.931,-0.30902,0.0212,0.0192,0.0232,864.0,0.0003567,0.0003567,0.0003567
87,90.42,127.2,5.195,-0.30516,0.0112,0.0154,0.007,864.0,0.0002486,0.0002486,0.0002486
88,94.06,99.46,5.097,-0.30661,0.0256,0.0208,0.0304,864.0,0.0002766,0.0002766,0.0002766
89,91.03,29.8,4.958,-0.30863,0.0031,0.005,0.0012,864.0,0.0002183,0.0002183,0.0002183
90,102.04,96.48,5.256,-0.3033,0.0059,0.0088,0.003,864.0,0.0002501,0.0002501,0.0002501
91,14.1,44.98,5.058,-0.30788,0.2178,0.2414,0.1942,864.0,0.0005367,0.0005367,0.0005367
92,78.07,118.65,5.124,-0.30626,0.0051,0.0088,0.0014,864.0,0.0002273,0.0002273,0.0002273
