Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,√x (sx) error,Pauli-X error
0,85.8,11.91,5.088,-0.30783,0.0047,0.0042,0.0052,864.0,0.0002125,0.0002125,0.0002125
1,94.26,91.27,4.981,-0.30902,0.0031,0.0042,0.002,864.0,0.0001657,0.0001657,0.0001657
2,116.67,41.13,4.892,-0.3104,0.0161,0.0216,0.0106,864.0,0.0002548,0.0002548,0.0002548
3,88.65,26.9,4.944,-0.27711,0.0854,0.0906,0.0802,864.0,0.0004807,0.0004807,0.0004807
4,108.74,84.81,4.987,-0.32195,0.3554,0.3064,0.4044,864.0,0.00108,0.00108,0.00108
5,121.06,196.55,4.882,-0.31039,0.0884,0.0956,0.0812,864.0,0.0005247,0.0005247,0.0005247
6,76.38,91.75,4.969,-0.30806,0.0487,0.0558,0.0416,864.0,0.0002647,0.0002647,0.0002647
7,91.33,59.54,5.015,-0.30824,0.0089,0.0058,0.012,864.0,0.0003521,0.0003521,0.0003521
8,67.55,124.43,5.111,-0.3073,0.0129,0.0164,0.0094,864.0,0.0002987,0.0002987,0.0002987
9,58.75,98.17,4.972,-0.30941,0.1695,0.1622,0.1768,864.0,0.00571,0.00571,0.00571
10,164.38,108.65,4.876,-0.31036,0.0371,0.042,0.0322,864.0,0.00536,0.00536,0.00536
11,130.94,56.63,5.132,-0.30673,0.0234,0.0204,0.0264,864.0,0.00459,0.00459,0.00459
12,167.35,140.96,4.831,-0.31113,0.4094,0.4462,0.3726,864.0,0.00167,0.00167,0.00167
13,103.77,12.11,4.95,-0.30876,0.0028,0.0054,0.0002,864.0,0.0002925,0.0002925,0.0002925
14,97.23,133.31,4.995,-0.30886,0.009,0.0136,0.0044,864.0,0.0002054,0.0002054,0.0002054
15,137.36,63.65,5.118,-0.30738,0.0073,0.009,0.0056,864.0,0.00306,0.00306,0.00306
16,141.09,210.54,4.918,-0.3091,0.0064,0.0108,0.002,864.0,0.0001774,0.0001774,0.0001774
17,154.6,175.48,5.003,-0.30763,0.006,0.0114,0.0006,864.0,0.0003194,0.0003194,0.0003194
18,121.3,144.6,4.865,-0.31125,0.0488,0.0538,0.0438,864.0,0.0003098,0.0003098,0.0003098
19,81.99,109.72,5.104,-0.30768,0.0038,0.0066,0.001,864.0,0.000646,0.000646,0.000646
20,81.05,135.13,4.902,-0.30965,0.0051,0.0084,0.0018,864.0,0.0002373,0.0002373,0.0002373
21,101.54,117.81,5.04,-0.30739,0.0032,0.0058,0.0006,864.0,0.0002918,0.0002918,0.0002918
22,88.19,49.34,4.979,-0.30076,0.0198,0.016,0.0236,864.0,0.0002976,0.0002976,0.0002976
23,94.97,123.2,5.033,-0.30851,0.0304,0.0382,0.0226,864.0,0.0002305,0.0002305,0.0002305
24,169.42,182.95,4.766,-0.30398,0.0557,0.0682,0.0432,864.0,0.00264,0.00264,0.00264
25,101.41,103.45,4.87,-0.31089,0.0084,0.0106,0.0062,864.0,0.0002375,0.0002375,0.0002375
26,85.39,138.21,4.999,-0.30886,0.0033,0.0056,0.001,864.0,0.0002671,0.0002671,0.0002671
27,116.19,72.76,5.077,-0.30693,0.0505,0.0512,0.0498,864.0,0.0002145,0.0002145,0.0002145
28,139.65,58.91,5.198,-0.30578,0.0035,0.0044,0.0026,864.0,0.0002166,0.0002166,0.0002166
29,117.14,18.85,4.994,-0.30757,0.0101,0.0102,0.01,864.0,0.0002343,0.0002343,0.0002343
30,135.54,220.64,5.083,-0.30708,0.0023,0.0038,0.0008,864.0,0.0002012,0.0002012,0.0002012
31,104.43,66.56,5.129,-0.30656,0.0022,0.0034,0.001,864.0,0.0002989,0.0002989,0.0002989
32,86.45,39.95,5.204,-0.30413,0.0031,0.0046,0.0016,864.0,0.000329,0.000329,0.000329
33,109.57,62.63,4.953,-0.30938,0.0139,0.012,0.0158,864.0,0.0003096,0.0003096,0.0003096
34,94.37,120.33,4.937,-0.30923,0.011,0.0092,0.0128,864.0,0.0003011,0.0003011,0.0003011
35,136.51,43.56,5.074,-0.30721,0.0017,0.0028,0.0006,864.0,0.0001942,0.0001942,0.0001942
36,97.19,158.74,5.102,-0.30593,0.0045,0.0056,0.0034,864.0,0.0004585,0.0004585,0.0004585
37,77.54,74.07,5.168,-0.30222,0.0262,0.0282,0.0242,864.0,0.00183,0.00183,0.00183
38,71.36,105.36,5.106,-0.30753,0.0093,0.012,0.0066,864.0,0.0003043,0.0003043,0.0003043
39,104.96,112.94,5.018,-0.30838,0.0646,0.0484,0.0808,864.0,0.0002599,0.0002599,0.0002599
40,84.06,14.85,5.163,-0.30613,0.0109,0.0128,0.009,864.0,0.0002788,0.0002788,0.0002788
41,89.04,42.45,5.093,-0.30775,0.0194,0.0224,0.0164,864.0,0.0004009,0.0004009,0.0004009
42,125.58,133.79,4.925,-0.30938,0.0081,0.01,0.0062,864.0,0.0001937,0.0001937,0.0001937
43,20.37,141.8,5.033,-0.30812,0.0288,0.0092,0.0484,864.0,0.0002624,0.0002624,0.0002624
44,82.6,127.4,5.116,-0.30753,0.0106,0.0192,0.002,864.0,0.0004154,0.0004154,0.0004154
45,111.05,147.05,4.88,-0.30948,0.0498,0.0702,0.0294,864.0,0.0002073,0.0002073,0.0002073
46,78.69,99.94,5.145,-0.30658,0.0069,0.0126,0.0012,864.0,0.0006241,0.0006241,0.0006241
47,97.89,26.93,5.001,-0.30885,0.006,0.0098,0.0022,864.0,0.0002155,0.0002155,0.0002155
48,65.35,175.29,4.934,-0.309,0.0092,0.006,0.0124,864.0,0.0001922,0.0001922,0.0001922
49,119.95,102.91,5.116,-0.30701,0.0043,0.0074,0.0012,864.0,0.0002825,0.0002825,0.0002825
50,107.04,227.61,5.017,-0.30795,0.0025,0.0038,0.0012,864.0,0.0001571,0.0001571,0.0001571
51,141.77,87.44,5.209,-0.30446,0.0029,0.0054,0.0004,864.0,0.0001979,0.0001979,0.0001979
52,79.26,65.06,5.016,-0.30785,0.031,0.0248,0.0372,864.0,0.0002389,0.0002389,0.0002389
53,69.45,14.09,5.048,-0.30705,0.0219,0.0282,0.0156,864.0,0.00191,0.00191,0.00191
54,105.88,116.59,5.024,-0.30335,0.053,0.0316,0.0744,864.0,0.0002017,0.0002017,0.0002017
55,83.8,105.92,5.197,-0.30556,0.0037,0.0066,0.0008,864.0,0.0007602,0.0007602,0.0007602
56,21.5,70.14,5.188,-0.30564,0.005,0.007,0.003,864.0,0.0003539,0.0003539,0.0003539
57,84.54,50.82,5.093,-0.30621,0.0083,0.0122,0.0044,864.0,0.0002413,0.0002413,0.0002413
58,133.42,95.63,4.965,-0.30941,0.0064,0.0064,0.0064,864.0,0.0002077,0.0002077,0.0002077
59,71.48,84.73,5.019,-0.30794,0.0073,0.008,0.0066,864.0,0.0002807,0.0002807,0.0002807
60,79.73,55.46,5.141,-0.30605,0.0098,0.0168,0.0028,864.0,0.000334,0.000334,0.000334
61,134.12,199.14,4.875,-0.3101,0.0186,0.021,0.0162,864.0,0.0001907,0.0001907,0.0001907
62,114.42,194.2,4.961,-0.30931,0.0056,0.0076,0.0036,864.0,0.0001891,0.0001891,0.0001891
63,152.97,124.18,5.045,-0.30798,0.009,0.0044,0.0136,864.0,0.0001881,0.0001881,0.0001881
64,109.59,96.91,5.258,-0.30505,0.0234,0.0224,0.0244,864.0,0.0003474,0.0003474,0.0003474
65,95.02,180.0,5.101,-0.30611,0.0045,0.0086,0.0004,864.0,0.0002093,0.0002093,0.0002093
66,69.21,74.75,5.234,-0.29458,0.0173,0.0226,0.012,864.0,0.00282,0.00282,0.00282
67,132.45,158.08,4.912,-0.30058,0.1031,0.1196,0.0866,864.0,0.00111,0.00111,0.00111
68,82.84,75.62,5.136,-0.30448,0.0068,0.0084,0.0052,864.0,0.000303,0.000303,0.000303
69,149.19,243.05,4.944,-0.30828,0.0037,0.0054,0.002,864.0,0.0001509,0.0001509,0.0001509
70,103.67,85.98,5.155,-0.30506,0.0081,0.0114,0.0048,864.0,0.0002116,0.0002116,0.0002116
71,110.09,128.24,5.119,-0.31568,0.0832,0.0866,0.0798,864.0,0.0004411,0.0004411,0.0004411
72,112.37,117.9,5.145,-0.3059,0.0042,0.0078,0.0006,864.0,0.0002115,0.0002115,0.0002115
73,34.93,50.41,5.019,-0.30805,0.0033,0.0058,0.0008,864.0,0.0002639,0.0002639,0.0002639
74,130.38,24.87,4.874,-0.32062,0.0756,0.0862,0.065,864.0,0.0003652,0.0003652,0.0003652
75,94.1,109.08,5.008,-0.30781,0.0065,0.0104,0.0026,864.0,0.0002914,0.0002914,0.0002914
76,52.43,126.62,4.904,-0.31017,0.0047,0.0084,0.001,864.0,0.0001852,0.0001852,0.0001852
77,69.03,92.66,5.071,-0.30801,0.0721,0.0686,0.0756,864.0,0.0003893,0.0003893,0.0003893
78,83.81,18.36,5.277,-0.3036,0.0033,0.0062,0.0004,864.0,0.0002429,0.0002429,0.0002429
79,102.48,26.78,5.017,-0.30802,0.0175,0.0192,0.0158,864.0,0.0006499,0.0006499,0.0006499
80,119.6,125.58,5.081,-0.30759,0.1124,0.1158,0.109,864.0,0.0002294,0.0002294,0.0002294
81,140.9,164.58,4.945,-0.3096,0.01,0.0094,0.0106,864.0,0.0001861,0.0001861,0.0001861
82,99.59,31.25,5.08,-0.30778,0.0451,0.0492,0.041,864.0,0.0003297,0.0003297,0.0003297
83,96.81,114.68,5.052,-0.30815,0.0222,0.0288,0.0156,864.0,0.0004826,0.0004826,0.0004826
84,83.25,13.6,4.909,-0.30897,0.0044,0.0078,0.001,864.0,0.000258,0.000258,0.000258
85,111.19,86.49,5.092,-0.30693,0.0025,0.0042,0.0008,864.0,0.0002026,0.0002026,0.0002026
86,70.26,172.6,4.931,-0.30902,0.0133,0.0118,0.0148,864.0,0.0002247,0.0002247,0.0002247
87,113.64,112.54,5.195,-0.30516,0.0112,0.0162,0.0062,864.0,0.0002506,0.0002506,0.0002506
88,115.44,118.16,5.097,-0.30661,0.0265,0.022,0.031,864.0,0.0003096,0.0003096,0.0003096
89,90.8,34.45,4.958,-0.30863,0.0032,0.0042,0.0022,864.0,0.00021,0.00021,0.00021
90,91.19,95.42,5.256,-0.3033,0.0043,0.0066,0.002,864.0,0.0002686,0.0002686,0.0002686
91,59.08,44.98,5.057,-0.30788,0.0235,0.0314,0.0156,864.0,0.0005367,0.0005367,0.0005367
92,69.03,125.59,5.124,-0.30626,0.0028,0.0046,0.001,864.0,0.0002236,0.0002236,0.0002236
93,95.22,151.36,5.14,-0.30575,0.003,0.0042,0.0018,864.0,0.0002837,0.0002837,0.0002837
