Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),√x (sx) error,Pauli-X error
0,493.41,283.42,4.636,-0.31328,0.0265,0.0144,0.0386,1244.444,0.0001297,0.0001297
1,337.17,191.05,4.736,-0.31292,0.0273,0.0412,0.0134,1244.444,0.0002148,0.0002148
2,153.71,129.86,4.819,-0.3113,0.0257,0.0254,0.026,1244.444,0.0002625,0.0002625
3,348.47,174.51,4.747,-0.31115,0.0138,0.014,0.0136,1244.444,0.00097,0.00097
4,410.65,237.46,4.788,-0.31095,0.0152,0.0128,0.0176,1244.444,0.0001903,0.0001903
5,261.14,162.05,4.851,-0.31057,0.0377,0.0186,0.0568,1244.444,0.0003466,0.0003466
6,364.84,64.07,4.9,-0.30906,0.1029,0.1062,0.0996,1244.444,0.0005035,0.0005035
7,395.6,35.6,4.756,-0.311,0.0073,0.0096,0.005,1244.444,0.00122,0.00122
8,531.33,34.69,4.813,-0.31335,0.0175,0.0136,0.0214,1244.444,0.0003059,0.0003059
9,509.78,76.41,4.638,-0.3224,0.0399,0.0334,0.0464,1244.444,0.0004638,0.0004638
10,253.08,210.92,4.805,-0.31123,0.0835,0.1488,0.0182,1244.444,0.03575,0.03575
11,411.77,78.92,4.743,-0.31179,0.0152,0.0204,0.01,1244.444,0.0001765,0.0001765
12,572.2,201.92,4.626,-0.31372,0.1361,0.2208,0.0514,1244.444,0.0002133,0.0002133
13,376.65,222.29,4.557,-0.31378,0.04,0.043,0.037,1244.444,0.0001968,0.0001968
14,358.12,71.15,4.509,-0.31577,0.0148,0.023,0.0066,1244.444,0.0003856,0.0003856
15,500.99,82.83,4.599,-0.32045,0.0456,0.0376,0.0536,1244.444,0.0005629,0.0005629
16,272.76,20.96,4.937,-0.30883,0.0694,0.0662,0.0726,1244.444,0.00286,0.00286
17,242.58,73.89,4.753,-0.31153,0.0087,0.013,0.0044,1244.444,0.00119,0.00119
18,521.55,59.71,4.659,-0.28926,0.0449,0.0462,0.0436,1244.444,0.000256,0.000256
19,386.06,24.12,4.821,-0.31198,0.0426,0.0478,0.0374,1244.444,0.0005309,0.0005309
20,280.37,33.96,4.738,-0.31197,0.0297,0.0308,0.0286,1244.444,0.0002749,0.0002749
21,418.75,19.08,4.774,-0.31143,0.0375,0.045,0.03,1244.444,0.0002773,0.0002773
22,276.18,89.57,4.668,-0.31332,0.0084,0.0104,0.0064,1244.444,0.0002036,0.0002036
23,337.87,34.71,4.758,-0.31174,0.0178,0.0218,0.0138,1244.444,0.0003123,0.0003123
24,298.19,14.66,4.611,-0.31355,0.0319,0.0238,0.04,1244.444,0.00106,0.00106
25,196.26,165.3,4.732,-0.31226,0.0297,0.0332,0.0262,1244.444,0.00052,0.00052
26,260.53,144.71,4.777,-0.31228,0.0044,0.0044,0.0044,1244.444,0.0001692,0.0001692
27,478.32,149.58,4.68,-0.31283,0.0085,0.01,0.007,1244.444,0.0002194,0.0002194
28,261.75,80.94,4.743,-0.27186,0.0495,0.035,0.064,1244.444,0.0002717,0.0002717
29,443.23,182.85,4.792,-0.32426,0.0113,0.0136,0.009,1244.444,0.0001783,0.0001783
30,329.06,379.18,4.693,-0.31268,0.0359,0.0618,0.01,1244.444,0.0001119,0.0001119
31,340.16,38.12,5.058,-0.30701,0.0144,0.0114,0.0174,1244.444,0.0004991,0.0004991
32,324.83,261.07,4.93,-0.30828,0.055,0.03667,0.07333,1244.444,0.0004551,0.0004551
33,475.45,123.11,4.677,-0.31373,0.0057,0.0076,0.0038,1244.444,0.0002186,0.0002186
34,308.92,53.06,4.71,-0.2877,0.0514,0.0336,0.0692,1244.444,0.0005052,0.0005052
35,364.17,68.54,4.915,-0.3092,0.0099,0.01,0.0098,1244.444,0.0001768,0.0001768
36,411.36,61.24,4.854,-0.31028,0.05167,0.02333,0.08,1244.444,0.0001294,0.0001294
37,332.82,297.47,4.594,-0.31539,0.0235,0.0214,0.0256,1244.444,0.000173,0.000173
38,482.66,161.53,4.486,-0.31594,0.0299,0.0338,0.026,1244.444,0.0018,0.0018
39,512.73,271.51,4.574,-0.31403,0.0075,0.007,0.008,1244.444,0.0001165,0.0001165
40,376.46,203.32,4.705,-0.31264,0.0086,0.0078,0.0094,1244.444,0.0005271,0.0005271
41,289.07,485.75,4.815,-0.31264,0.0063,0.0086,0.004,1244.444,0.0001088,0.0001088
42,315.98,446.01,4.655,-0.31429,0.0313,0.0294,0.0332,1244.444,0.0001182,0.0001182
43,390.79,200.73,4.755,-0.31328,0.0218,0.0324,0.0112,1244.444,0.0005078,0.0005078
44,323.16,221.21,4.868,-0.3105,0.0036,0.005,0.0022,1244.444,0.0001353,0.0001353
45,414.06,383.28,4.763,-0.31105,0.0069,0.0066,0.0072,1244.444,0.000258,0.000258
46,599.25,442.85,4.674,-0.31335,0.0083,0.011,0.0056,1244.444,0.000178,0.000178
47,199.13,183.76,4.795,-0.31225,0.0158,0.0196,0.012,1244.444,0.000196,0.000196
48,237.28,106.26,4.707,-0.31165,0.0119,0.0144,0.0094,1244.444,0.0002055,0.0002055
49,324.71,132.74,4.811,-0.31113,0.004,0.0044,0.0036,1244.444,0.0002238,0.0002238
50,276.24,200.23,4.879,-0.30969,0.0124,0.0062,0.0186,1244.444,0.0001546,0.0001546
51,219.98,363.81,4.767,-0.31094,0.0134,0.0172,0.0096,1244.444,0.0007714,0.0007714
52,247.93,56.06,4.855,-0.3096,0.0188,0.0154,0.0222,1244.444,0.0005009,0.0005009
53,250.33,303.91,4.768,-0.31056,0.0116,0.0116,0.0116,1244.444,0.0001795,0.0001795
54,275.19,63.71,4.822,-0.31041,0.0076,0.0108,0.0044,1244.444,0.0002955,0.0002955
55,295.51,254.68,4.907,-0.30999,0.009,0.0122,0.0058,1244.444,0.000152,0.000152
56,141.55,15.67,4.455,-0.31804,0.0193,0.0104,0.0282,1244.444,0.0003033,0.0003033
57,415.88,55.7,4.835,-0.31002,0.0195,0.015,0.024,1244.444,0.0002994,0.0002994
58,364.54,208.56,4.709,-0.31367,0.0176,0.0222,0.013,1244.444,0.0001833,0.0001833
59,425.39,292.7,4.811,-0.31024,0.0048,0.0066,0.003,1244.444,0.0001971,0.0001971
60,292.5,201.01,4.672,-0.31324,0.0072,0.012,0.0024,1244.444,0.0004349,0.0004349
61,278.42,283.74,4.902,-0.30996,0.0049,0.0056,0.0042,1244.444,0.0001783,0.0001783
62,485.89,351.38,4.771,-0.31099,0.0225,0.0266,0.0184,1244.444,0.0001677,0.0001677
63,406.02,255.7,4.995,-0.30845,0.0064,0.0076,0.0052,1244.444,0.0002998,0.0002998
64,229.29,175.08,4.879,-0.31051,0.0054,0.0072,0.0036,1244.444,0.0002766,0.0002766
65,253.97,265.36,4.758,-0.31052,0.0215,0.0238,0.0192,1244.444,0.0001048,0.0001048
66,235.8,185.11,4.81,-0.31092,0.0051,0.0044,0.0058,1244.444,0.0001046,0.0001046
67,6.5,1.6,4.893,-0.31039,0.0616,0.118,0.0052,1244.444,0.01328,0.01328
68,212.47,146.2,4.741,-0.3118,0.0102,0.011,0.0094,1244.444,0.0001491,0.0001491
